	SRR1795409merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795411merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795413merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795415merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795417merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795419merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795421merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795423merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795425merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795427merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795429merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795431merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795433merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795435merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795437merged_dedupRemoved_cufflinks_counts_fpkm_counts	SRR1795439merged_dedupRemoved_cufflinks_counts_fpkm_counts
ENSG00000138303	9.75303	9.54491	10.765	10.1475	12.1023	12.3716	12.5704	10.0769	55.9134	56.438	83.0697	60.1864	61.4595	42.4262	51.6691	54.5816
ENSG00000166295	7.51875	8.17186	9.42155	8.05557	10.8883	10.2219	9.77162	7.98849	20.345	9.66393	17.167	8.58815	4.3849	12.3956	5.20432	5.9298
ENSG00000168209	5.983	6.64244	4.34387	4.29275	6.859960000000001	6.679880000000002	4.80052	4.1645400000000015	24.6698	27.1649	36.7663	44.2584	24.6516	28.5307	19.5055	20.7755
ENSG00000148719	10.2959	9.0905	11.4954	11.9723	11.534	13.321	13.1345	11.8866	20.2956	17.0717	20.795	34.3882	20.6562	20.0815	25.7421	26.1125
ENSG00000107745	18.6766	18.5336	21.7355	17.3527	25.4228	23.3029	23.8468	19.1495	51.5788	49.0002	46.6307	68.0399	50.0249	46.3173	42.8807	47.4292
ENSG00000156026	7.19428	7.893860000000001	8.147210000000001	6.7892100000000015	9.42704	9.06935	9.87861	7.87383	17.6754	21.6643	25.8719	29.4452	25.4422	22.4858	19.2161	14.6194
ENSG00000138315	0.0	0.0	0.06898480000000001	0.0	0.0	0.151559	0.0562554	0.0793674	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000138308	0.0	0.153971	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000122884	13.2343	13.2292	15.3609	13.759	16.8251	15.0133	14.9691	12.8325	26.2537	10.6	16.1399	21.195	24.0482	23.3791	25.6879	36.4806
ENSG00000166321	5.73083	3.67717	3.48367	4.76564	4.26499	3.42812	5.50394	4.6342	0.0	3.40495	3.45632	3.02591	3.08992	0.0	1.83367	1.95306
ENSG00000122882	11.842	12.4898	15.7683	14.1679	15.7177	15.7215	15.5773	13.7412	60.485	62.2735	17.3526	52.0859	73.133	40.012	49.9755	57.4317
ENSG00000138286	8.36998	8.550980000000001	9.54239	7.98562	11.0046	10.0112	9.67822	9.16581	0.666295	1.34509	4.09615	1.19536	1.22064	0.0	2.17312	0.771536
ENSG00000213551	0.0	0.0	0.0	0.0	4.82066e-07	1.85508e-07	1.16761	0.8329469999999999	66.3804	100.505	68.014	238.178	60.8039	168.892	108.25	0.0
ENSG00000182180	19.7429	19.9436	22.0867	17.3511	27.1661	23.9256	23.7165	16.9761	61.3175	63.3321	55.5211	61.3986	83.5964	54.4223	60.4611	66.0489
ENSG00000156042	1.33877	1.22254	0.85229	1.08353	1.16477	1.5449	1.77276	1.37284	3.96278	0.0	2.03015	0.0	3.62987	0.0	1.07705	1.14717
ENSG00000138279	26.1828	23.0144	30.373	25.0757	39.6963	33.0005	32.8271	24.8731	100.184	91.789	94.753	105.075	93.1791	78.4301	108.916	98.1603
ENSG00000166343	1.77055	1.8338	1.66826	2.11996	1.36794	1.8325	1.29222	2.39912	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000107758	12.2109	13.4927	10.6277	12.5527	12.4847	12.2218	12.0624	10.6407	27.3348	23.3464	6.46326	24.5198	13.4822	8.02478	14.8587	18.2609
ENSG00000166348	7.58533	7.364330000000002	8.020380000000001	8.10647	8.0268	7.40158	8.23444	8.276869999999999	3.443	4.05451	4.70364	8.23581	5.25626	2.92001	7.486210000000002	5.31576
ENSG00000177791	0.189271	0.10651	0.0	0.117999	0.152329	0.122426	0.4542850000000001	0.192345	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000166317	0.161056	0.0302349	0.12645399999999998	0.200979	0.0432044	0.0347309	0.0257895	0.0727471	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ENSG00000172650	0.0983205	0.166074	0.0	0.12266	0.158254	0.127207	0.283321	0.06661399999999999	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
