	SRR1795409merged_dedupRemoved	SRR1795411merged_dedupRemoved	SRR1795413merged_dedupRemoved	SRR1795415merged_dedupRemoved	SRR1795417merged_dedupRemoved	SRR1795419merged_dedupRemoved	SRR1795421merged_dedupRemoved	SRR1795423merged_dedupRemoved	SRR1795425merged_dedupRemoved	SRR1795427merged_dedupRemoved	SRR1795429merged_dedupRemoved	SRR1795431merged_dedupRemoved	SRR1795433merged_dedupRemoved	SRR1795435merged_dedupRemoved	SRR1795437merged_dedupRemoved	SRR1795439merged_dedupRemoved
ENSG00000120337	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000120341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120370	87	70	97	85	66	83	119	177	3	5	1	0	1	1	4	3
ENSG00000120436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120437	354	321	336	292	317	341	426	452	65	53	33	37	28	32	67	56
ENSG00000120438	1058	989	1059	852	959	1025	1189	1264	141	155	76	83	82	64	119	116
ENSG00000120440	2	3	3	1	2	5	4	13	0	0	0	0	0	0	0	0
ENSG00000120451	2	1	4	7	1	4	6	13	19	17	2	5	5	4	13	15
ENSG00000120457	0	2	0	1	1	0	1	2	0	0	0	0	0	0	0	1
ENSG00000120458	111	108	130	90	85	101	135	183	1	0	0	1	0	0	0	1
ENSG00000120471	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000120498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120500	8	4	1	4	4	2	7	15	0	0	0	0	0	0	0	0
ENSG00000120509	138	127	128	115	127	151	203	213	15	13	5	12	12	8	11	12
ENSG00000120519	87	79	114	72	77	98	143	190	2	2	0	0	1	0	1	3
ENSG00000120526	344	307	325	232	264	307	430	504	31	31	14	15	20	12	19	28
ENSG00000120533	223	237	240	181	198	246	307	343	26	42	22	19	21	12	36	29
ENSG00000120539	381	353	400	296	275	367	498	619	41	38	11	13	15	11	29	26
ENSG00000120549	20	14	16	19	13	19	18	34	8	8	1	6	5	8	8	3
ENSG00000120563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120594	209	178	197	170	168	192	291	403	4	3	1	3	3	1	2	4
ENSG00000120616	260	225	254	266	184	243	357	454	4	8	1	0	5	3	12	10
ENSG00000120645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120647	250	217	218	176	173	221	312	380	14	11	3	7	4	3	11	7
ENSG00000120656	149	136	168	114	133	146	202	246	7	2	1	1	6	1	1	6
ENSG00000120658	119	118	90	96	87	96	135	205	4	6	1	2	1	0	3	3
ENSG00000120659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120662	85	68	80	57	56	63	98	126	10	6	2	1	1	2	4	5
ENSG00000120669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000120675	4	1	3	5	2	5	6	4	0	0	0	0	0	0	0	0
ENSG00000120685	405	335	294	300	218	275	367	542	27	39	22	14	14	9	27	20
ENSG00000120686	259	240	270	182	223	265	342	393	14	20	7	8	11	8	14	20
ENSG00000120688	135	116	106	81	94	111	155	192	19	13	2	1	9	3	14	10
ENSG00000120690	168	141	130	133	123	128	201	285	26	28	13	15	10	11	20	15
ENSG00000120693	206	185	220	205	145	201	273	412	27	23	16	12	13	11	29	25
ENSG00000120694	870	786	845	718	717	846	985	1099	143	110	59	64	51	36	116	83
ENSG00000120696	176	161	147	124	122	162	214	294	10	15	2	4	7	2	6	6
ENSG00000120697	162	164	173	134	153	182	216	270	33	36	31	21	27	15	45	48
ENSG00000120699	201	212	181	143	171	208	249	277	41	34	21	18	12	16	39	32
ENSG00000120705	998	979	1029	851	944	1028	1253	1336	83	68	31	46	49	37	74	65
ENSG00000120708	0	0	0	0	1	1	0	1	1	1	0	0	0	1	0	0
ENSG00000120709	17	10	19	14	11	19	30	34	7	3	2	1	4	4	7	3
ENSG00000120725	87	91	93	71	70	79	121	147	25	31	7	12	8	5	23	17
ENSG00000120727	142	147	131	105	128	146	181	178	36	22	13	13	17	10	25	29
ENSG00000120729	33	26	24	18	14	23	25	43	0	0	0	0	0	0	1	0
ENSG00000120733	1041	1000	1002	889	800	972	1250	1485	71	71	33	37	40	29	71	62
ENSG00000120738	12	4	5	10	9	4	7	17	10	22	4	13	8	3	10	12
ENSG00000120742	602	561	604	437	570	616	824	887	23	23	12	8	16	10	14	14
ENSG00000120756	273	242	244	229	233	256	371	453	32	24	10	12	10	5	21	31
ENSG00000120784	9	7	6	9	5	4	13	8	0	1	0	0	2	0	2	0
ENSG00000120798	295	253	267	223	223	262	327	449	22	25	5	12	14	11	14	20
