	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b	untr_a_hek	untr_b_hek	tmisrib_a_hek	tmisrib_b_hek
ACO2	770	1065	749	716	1654	1438	2291	3421
ACOT1	19	27	16	16	26	18	40	48
ACOT13	631	557	494	506	384	350	593	785
ACOT2	128	186	128	139	140	128	214	279
ACOT7	1883	2597	1500	1468	545	532	641	992
ACOT8	327	396	242	281	232	178	308	475
ACOT9	851	940	638	661	582	517	869	1173
ACOX1	1246	1450	964	1079	933	906	1344	1958
ACOX3	114	168	124	114	285	260	312	528
ACP1	1114	1270	919	993	902	773	1341	1754
ACP2	312	413	290	301	249	235	337	570
ACP4	1	1	1	1	27	25	64	75
ACP6	201	227	159	175	471	409	642	878
ACRV1	0	0	0	0	37	31	45	73
ACSBG2	1	2	1	1	12	15	21	31
ACSF2	191	187	122	115	147	121	214	330
ACSF3	325	406	231	242	419	384	571	827
ACSL1	963	1002	815	773	483	470	782	1051
ACSL3	3216	3675	2742	2809	2675	2485	3927	5579
ACSL4	1993	2172	1482	1624	1299	1240	1887	2576
ACSM3	62	51	37	30	176	151	242	359
ACSS1	316	404	318	274	223	228	287	447
ACSS2	159	223	128	130	284	244	441	520
ACSS3	189	211	165	145	59	62	69	124
ACTA2	452	774	483	476	77	63	83	135
ACTB	30143	37370	23628	25325	17010	15507	25608	37690
ACTG1	21942	28818	16448	17427	18956	16596	35028	47563
ACTL6A	2020	2416	1629	1653	1069	1031	1835	2652
ACTN1	2048	2771	1649	1723	1426	1215	1754	2778
ACTN2	7	22	11	11	185	173	181	291
ACTN4	8942	11983	7324	7116	2358	2062	3040	4776
ACTR10	1331	1446	1128	1071	801	786	1350	1945
ACTR1A	2668	3481	2294	2217	1795	1597	2685	3904
ACTR1B	230	304	206	193	523	460	789	1095
ACTR2	1820	2290	1564	1640	2391	2283	2987	4113
ACTR3	2662	3031	2061	2233	2590	2446	4003	5643
ACTR3B	59	80	54	47	247	178	220	405
ACTR5	196	266	170	169	413	354	559	839
ACTR6	1402	1422	995	1162	1024	1074	1629	2156
ACTR8	729	813	550	567	1758	1621	2440	3505
ACTRT3	44	32	34	35	59	75	80	120
ACVR1	162	165	162	140	130	75	140	211
ACVR1B	346	519	381	360	308	323	375	545
ACVR1C	23	29	15	23	32	36	46	60
ACVR2A	224	291	217	211	304	285	477	641
ACVR2B	93	129	89	72	496	437	560	862
ACY1	5	12	6	11	19	15	21	46
ACYP1	199	192	117	119	137	138	197	294
ACYP2	49	60	33	30	30	28	49	55
AD000864.1	31	26	18	20	43	28	44	53
ADA	296	294	195	202	200	179	257	385
ADAL	123	108	97	80	184	168	256	390
ADAM10	845	915	941	845	915	852	1202	1736
ADAM11	102	130	112	108	131	121	206	288
ADAM15	521	675	497	466	1002	826	1500	2162
ADAM17	263	363	283	277	896	861	1201	1678
ADAM19	42	50	37	37	50	67	76	109
ADAM22	103	101	99	104	384	334	516	808
ADAM23	177	218	195	170	286	270	355	549
ADAM32	0	0	1	0	21	31	34	53
ADAM8	3	2	5	4	35	31	42	46
ADAM9	804	884	859	755	1986	1936	2918	3962
ADAMTS1	4873	6376	4234	4362	840	753	1278	1730
ADAMTS10	15	10	22	9	11	12	17	32
ADAMTS13	21	8	32	14	161	110	134	226
ADAMTS15	61	76	56	51	47	22	32	73
ADAMTS17	33	59	43	26	253	233	238	448
ADAMTS19	138	183	154	135	210	196	219	325
ADAMTS2	75	86	74	56	46	27	52	105
ADAMTS20	52	49	58	59	303	247	334	532
ADAMTS3	135	164	132	153	259	275	407	610
ADAMTS6	9	5	8	6	68	68	80	136
ADAMTS7	12	19	26	18	50	43	49	99
ADAMTS9	32	35	30	27	298	280	320	533
ADAMTSL3	13	11	26	14	42	37	48	63
ADAMTSL4	9	6	5	9	40	40	51	94
ADAP1	14	24	16	17	61	61	127	164
ADAP2	49	48	46	32	83	77	118	156
ADAR	4166	4835	3166	3434	5990	5224	8197	12183
ADARB1	97	171	93	93	322	254	411	640
ADAT1	140	128	112	106	540	444	595	971
ADAT2	113	110	88	66	340	331	322	518
ADAT3	53	100	44	58	58	59	68	109
ADCK1	114	150	82	86	179	182	262	344
ADCK2	524	626	465	380	588	550	840	1174
ADCK5	17	28	27	16	65	61	105	127
ADCY1	37	22	25	30	387	337	485	723
ADCY3	517	629	508	434	1172	1018	1510	2415
ADCY6	419	573	396	334	385	323	412	665
ADCY7	73	63	50	55	102	82	121	209
ADCY9	298	364	309	267	613	558	597	1024
ADCYAP1R1	12	20	9	18	25	25	33	51
ADD1	1650	2055	1460	1419	1359	1388	1880	2796
ADD2	335	443	237	242	466	445	559	868
ADD3	1747	1975	1450	1472	1347	1188	2237	3230
ADGRA2	28	38	38	21	92	65	114	181
ADGRA3	172	199	133	161	1071	942	1411	2183
ADGRB2	54	48	67	44	278	238	345	463
ADGRB3	14	11	25	18	363	327	432	631
ADGRE5	1085	1296	1036	976	92	57	83	122
ADGRG2	48	47	57	65	53	34	63	77
ADGRG6	392	394	395	395	103	107	130	203
ADGRL1	275	286	305	235	831	640	800	1456
ADGRL2	852	978	756	809	2634	2274	3948	5846
ADGRL3	78	97	103	87	514	430	742	1051
ADGRV1	546	607	880	619	3350	3094	4180	6243
ADH5	777	1104	782	687	1513	1451	2579	3469
ADI1	781	1157	621	601	1232	1224	1638	2421
ADIPOR1	539	711	440	496	1565	1435	2510	3623
ADIPOR2	760	973	633	631	643	627	1124	1482
ADK	1289	1354	985	999	862	838	1200	1696
ADM	89	154	97	96	38	42	91	104
ADNP	2244	2565	1943	2008	3213	2716	2994	5408
ADNP2	674	760	565	604	1418	1239	1807	2573
ADO	228	323	166	150	161	182	256	381
ADORA2A	19	7	11	8	39	25	56	67
ADORA2B	101	91	86	68	157	127	216	334
ADPGK	548	699	462	455	964	814	1348	2112
ADPRHL1	23	24	26	24	51	45	57	86
ADPRHL2	524	671	477	464	524	496	806	1153
ADPRM	50	62	34	50	102	88	174	252
ADRA2C	9	9	13	17	37	48	94	125
ADRM1	2823	4391	2277	2330	1490	1396	2330	3316
ADSL	2911	3178	2441	2277	4044	3727	6591	9623
ADSS	1179	1589	1081	1089	2699	2808	3670	4897
ADSSL1	12	9	15	5	13	10	18	28
AEBP2	617	799	508	509	525	423	547	809
AEN	653	1044	591	692	655	598	1138	1430
AES	1235	1552	999	1027	221	190	396	549
AFAP1	146	193	149	137	258	281	275	476
AFAP1L1	114	105	90	76	100	87	167	236
AFDN	1734	2128	1566	1526	4779	4358	5631	8496
AFF1	629	692	501	529	533	433	554	908
AFF3	204	236	200	202	139	112	159	301
AFF4	2218	2324	1698	1913	2175	1790	2670	4240
AFG1L	165	204	149	107	183	184	261	388
AFG3L2	1204	1445	1115	1021	2560	2396	3486	5117
AFMID	200	289	167	219	190	175	238	299
AFTPH	320	405	266	246	783	653	1094	1583
AGA	306	361	238	272	261	246	395	669
AGAP1	177	255	182	193	548	540	680	1062
AGAP2	54	58	35	38	83	84	131	174
AGAP3	541	727	408	415	1002	795	1297	1796
AGAP5	1	1	2	0	35	24	26	50
AGAP6	1	3	4	3	121	84	155	263
AGAP9	2	3	7	0	152	140	140	246
AGBL3	21	20	13	7	72	77	76	136
AGBL5	268	317	219	233	1352	1067	2007	2983
AGER	5	3	3	2	62	55	51	94
AGFG1	1637	1837	1255	1259	1233	971	1894	2708
AGFG2	121	172	93	94	99	74	123	192
AGGF1	59	71	56	54	181	175	288	369
AGK	799	1128	733	756	1124	965	1498	2403
AGL	1825	1892	1443	1472	2876	2459	3691	5669
AGMAT	2	2	0	1	58	47	73	97
AGO1	592	736	498	477	1137	982	1318	2077
AGO2	752	904	613	634	1084	864	1184	1954
AGO3	298	298	218	234	802	726	1032	1479
AGO4	116	113	117	108	306	272	380	557
AGPAT1	611	760	490	448	280	251	337	627
AGPAT2	536	694	481	448	141	128	283	382
AGPAT3	423	537	350	313	502	432	643	923
AGPAT4	210	256	180	160	322	304	432	637
AGPAT5	437	508	348	316	519	568	763	1072
AGPS	1989	2308	1612	1691	2016	2149	3047	4162
AGRN	1040	1668	1176	1032	701	570	594	1033
AGTPBP1	882	1014	790	729	2798	2691	4100	5906
AGTRAP	356	534	293	276	125	109	273	391
AHCTF1	251	333	241	232	1773	1627	2471	3574
AHCY	3334	4735	3038	3003	3649	3158	6678	8903
AHCYL1	1690	1831	1382	1300	1341	1192	1812	2615
AHCYL2	304	383	266	260	287	286	274	507
AHDC1	179	241	122	120	107	55	51	128
AHI1	327	343	294	268	1206	1101	1563	2306
AHNAK	832	903	831	792	1967	2065	2005	3174
AHNAK2	69	108	79	67	282	223	343	503
AHR	84	69	51	65	28	13	45	98
AHRR	5	8	4	4	24	19	23	38
AHSA1	2560	3163	2146	2010	3617	3397	5383	7669
AIF1L	611	684	506	486	147	129	163	243
AIFM1	2245	2685	1887	1856	2402	2322	3604	4931
AIFM2	558	730	396	435	84	95	95	133
AIG1	586	738	454	510	498	413	630	930
AIMP1	1055	1301	902	890	1217	1202	1763	2504
AIMP2	1571	2052	1273	1305	1482	1373	2299	3140
AIP	887	1151	756	748	589	560	989	1266
AJUBA	62	96	58	52	137	137	125	197
AK1	447	686	376	348	375	358	490	680
AK2	928	1049	714	684	1868	1957	2818	4080
AK3	478	461	326	351	293	266	372	573
AK4	117	146	114	84	73	87	77	98
AK5	38	34	24	26	21	22	25	27
AK6	519	571	412	452	767	718	1202	1647
AK7	20	16	19	14	38	37	45	69
AK8	29	37	24	32	26	29	28	67
AK9	80	87	64	57	88	96	94	173
AKAP1	556	768	565	518	2145	1964	2942	4170
AKAP10	264	262	196	194	961	796	1206	1845
AKAP11	1432	1811	1276	1450	3358	3155	3648	5859
AKAP12	2308	2397	1852	1633	3951	3786	5123	7112
AKAP13	695	868	695	653	2868	2485	3260	5169
AKAP17A	246	374	219	222	464	446	590	814
AKAP5	58	67	30	42	133	119	188	239
AKAP6	24	38	27	34	165	134	145	270
AKAP7	80	86	78	57	131	152	154	244
AKAP8	613	803	547	577	941	920	1335	1771
AKAP8L	972	1311	654	824	1240	1159	1876	2723
AKAP9	1294	1402	1088	1179	5027	4864	7215	8152
AKIP1	233	252	150	177	238	163	323	469
AKIRIN1	942	1154	732	794	400	348	593	858
AKIRIN2	886	1120	731	773	196	166	220	396
AKNA	52	43	31	30	46	43	37	97
AKR1A1	740	1199	762	697	776	648	1120	1516
AKR1B1	2544	2933	1985	2100	1302	1194	2187	2959
AKR7A2	870	1218	667	708	603	545	1047	1521
AKR7A3	0	0	2	5	36	21	20	46
AKT1	604	822	555	512	1290	1120	1928	2693
AKT1S1	268	391	244	202	153	140	205	308
AKT2	1110	1466	999	951	951	846	1518	2084
AKT3	238	258	218	180	1203	1065	1512	2224
AKTIP	64	68	48	51	141	153	225	304
AL022238.4	0	0	0	0	17	24	23	26
AL022312.1	191	213	130	137	178	161	210	315
AL031777.3	3833	3568	2692	3232	50	69	153	178
AL034430.1	75	64	33	39	136	135	218	291
AL034430.2	260	323	193	236	213	196	305	419
AL035461.3	8	7	14	15	88	111	97	151
AL109811.3	2	2	3	2	65	58	92	191
AL109827.1	126	174	113	117	149	118	219	280
AL121753.1	31	103	31	20	111	104	200	313
AL121768.1	131	123	123	114	1124	1106	1329	1873
AL121900.2	180	238	120	132	120	117	196	252
AL133500.1	14	17	13	19	45	47	89	108
AL135905.2	576	794	407	519	30	38	75	92
AL136295.1	30	32	29	32	31	37	33	60
AL139011.2	74	87	38	57	75	65	104	175
AL139300.1	75	113	57	66	58	50	82	114
AL157935.2	0	0	1	1	11	11	17	47
AL162171.1	44	56	26	35	200	175	194	350
AL162231.1	5	10	2	6	28	23	36	51
AL358472.7	42	74	56	45	156	147	229	342
AL603832.3	140	158	121	104	34	28	40	67
ALAD	123	147	125	100	164	132	187	244
ALAS1	773	886	498	530	1120	1061	1668	2374
ALCAM	724	818	714	766	1183	1035	1769	2491
ALDH16A1	339	538	339	303	633	576	777	1128
ALDH18A1	1995	2713	2047	2090	4826	4327	6952	9548
ALDH1A2	1896	2392	1705	1659	1111	1072	1704	2433
ALDH1A3	9	10	14	13	30	37	59	58
ALDH1B1	926	1103	745	721	1148	1080	1508	2116
ALDH1L2	371	343	296	279	680	645	677	1069
ALDH2	913	994	682	712	227	226	429	529
ALDH3A1	11	12	9	6	21	14	39	58
ALDH3A2	1084	1292	979	883	1828	1636	2477	3600
ALDH4A1	327	421	267	248	150	119	263	318
ALDH5A1	686	874	569	609	399	469	523	886
ALDH6A1	556	641	453	499	456	395	623	919
ALDH7A1	1179	1457	1063	1090	965	848	1124	1603
ALDH8A1	1	1	3	2	32	27	32	47
ALDH9A1	2496	2914	2065	2019	1886	1736	2895	3924
ALDOA	2008	2341	1083	1609	838	724	1599	2182
ALDOC	52	66	33	45	53	43	91	139
ALG1	259	368	247	283	412	313	626	855
ALG10	217	264	206	198	205	163	368	426
ALG10B	111	166	123	122	99	73	207	260
ALG11	445	477	382	411	437	422	623	909
ALG12	283	415	305	284	372	302	454	660
ALG13	906	966	734	806	1787	1574	1777	3098
ALG14	156	192	158	138	300	296	422	586
ALG1L	17	22	10	17	49	40	60	99
ALG2	280	372	241	214	365	356	613	861
ALG3	814	1031	669	591	269	225	411	560
ALG5	817	1074	846	894	802	747	1244	1865
ALG6	623	736	510	582	1249	1223	2013	2986
ALG8	1445	1706	1247	1216	1457	1258	2392	3490
ALKAL1	7	7	7	3	26	15	38	65
ALKBH1	310	330	214	224	302	219	489	703
ALKBH2	246	266	153	170	460	447	721	932
ALKBH3	247	229	185	176	457	385	638	1028
ALKBH4	208	382	163	214	215	221	252	385
ALKBH5	510	735	411	392	2628	2428	4158	5906
ALKBH6	492	569	376	416	115	103	170	257
ALKBH7	247	323	215	172	167	145	228	330
ALKBH8	161	174	131	146	812	722	973	1450
ALMS1	862	848	789	780	5479	4522	6826	10603
ALOX12	6	10	5	2	85	48	91	111
ALPK1	70	72	72	67	173	133	207	320
ALPL	16	13	11	11	21	19	41	56
ALS2	374	407	301	293	1127	930	1446	2097
ALX1	216	220	149	185	158	136	225	334
ALX3	2	0	4	0	74	62	77	118
ALX4	68	80	49	44	57	58	55	79
ALYREF	4989	5975	3551	3820	3068	3053	4229	6185
AMACR	218	239	163	194	150	145	235	343
AMBRA1	539	701	474	487	1024	889	1361	2104
AMD1	600	703	544	532	3164	2935	4656	6425
AMDHD2	122	143	78	89	113	103	187	257
AMER1	90	151	72	79	513	446	581	839
AMFR	1049	1201	894	878	1502	1293	2137	3006
AMH	39	58	46	42	163	156	128	258
AMIGO1	27	26	24	18	57	44	70	108
AMIGO3	2	1	9	2	133	108	192	278
AMMECR1	200	321	160	162	318	279	497	628
AMMECR1L	158	198	128	112	249	225	329	518
AMN1	153	112	102	102	102	86	142	252
AMOT	183	173	118	122	6733	5395	8528	13984
AMOTL1	884	1164	682	672	855	828	1185	1723
AMOTL2	212	369	210	236	124	109	236	294
AMPD2	561	676	438	412	729	641	969	1414
AMPH	128	172	102	100	94	85	141	240
AMT	3	2	3	0	34	35	44	73
AMZ2	403	393	287	312	1060	927	1724	2473
ANAPC1	343	345	295	312	1836	1638	2889	4192
ANAPC10	136	115	77	81	153	133	267	421
ANAPC11	727	926	532	588	490	483	685	906
ANAPC13	263	366	277	296	303	301	388	519
ANAPC15	140	190	123	106	260	272	489	622
ANAPC16	461	637	416	455	448	420	674	924
ANAPC2	525	839	425	494	595	555	801	1061
ANAPC4	746	779	571	624	1075	994	1567	2292
ANAPC5	3174	3216	2586	2437	5384	4796	8270	12232
ANAPC7	2398	3195	2048	2211	2171	1867	3104	4526
ANGEL1	286	379	273	272	713	573	820	1332
ANGEL2	361	431	287	328	988	930	1530	2294
ANGPT2	3	2	1	3	50	42	37	71
ANGPTL1	4	0	6	4	38	18	32	54
ANGPTL3	0	0	0	0	75	62	59	110
ANGPTL4	0	0	0	0	26	21	23	33
ANGPTL7	0	1	0	0	61	38	39	66
ANK1	84	139	85	92	251	219	297	500
ANK2	552	557	541	485	794	704	1100	1582
ANK3	355	353	341	346	678	649	836	1319
ANKAR	6	0	0	2	233	244	254	471
ANKEF1	128	117	99	71	270	241	329	473
ANKFY1	1483	1715	1285	1213	1650	1418	1710	2819
ANKH	206	237	182	199	284	224	406	575
ANKHD1	16	24	17	15	41	38	40	84
ANKIB1	243	243	209	195	986	925	1386	2039
ANKLE1	4	0	2	1	37	18	25	46
ANKLE2	1316	1529	1001	1008	2472	2260	3211	4664
ANKMY1	22	21	20	28	199	157	249	391
ANKMY2	439	402	367	378	343	359	514	785
ANKRA2	88	87	75	70	134	118	213	327
ANKRD10	192	214	125	127	593	542	862	1228
ANKRD11	576	714	592	490	2808	2417	2320	4086
ANKRD12	184	199	150	189	759	771	1020	1246
ANKRD13A	503	550	418	441	710	669	1071	1622
ANKRD13B	236	285	190	174	155	124	147	245
ANKRD13C	291	344	198	216	1426	1307	2051	2922
ANKRD13D	52	58	44	29	217	184	262	339
ANKRD16	85	125	75	98	123	122	203	308
ANKRD17	2889	3323	2437	2715	6696	5795	7819	12242
ANKRD18A	38	47	44	33	642	555	410	843
ANKRD18B	22	28	15	21	829	778	561	1161
ANKRD20A4	0	1	0	1	18	17	15	27
ANKRD23	2	7	5	9	68	60	59	96
ANKRD24	4	2	6	7	24	21	13	28
ANKRD26	606	646	528	513	1573	1416	1921	2588
ANKRD27	671	750	494	417	987	992	1421	1973
ANKRD28	961	1034	801	811	1687	1447	2202	3094
ANKRD31	24	19	16	13	63	57	77	118
ANKRD34B	22	18	13	19	20	18	26	40
ANKRD36	16	9	18	16	1646	1584	1631	2579
ANKRD36B	16	14	11	5	511	531	609	894
ANKRD36C	15	20	30	9	1342	1271	1484	2330
ANKRD37	10	14	16	20	30	16	33	49
ANKRD39	152	217	135	140	110	112	158	199
ANKRD40	347	446	325	288	815	742	1177	1627
ANKRD42	86	99	60	85	71	68	124	192
ANKRD44	88	95	79	62	126	115	175	275
ANKRD46	394	492	299	310	352	310	540	752
ANKRD49	44	73	34	46	215	201	340	531
ANKRD50	421	483	343	366	1255	1118	1490	2321
ANKRD52	1594	1998	1323	1312	1871	1478	1323	2656
ANKRD54	256	355	217	198	216	199	308	415
ANKRD6	88	71	89	55	208	167	245	379
ANKRD61	1	0	2	0	167	133	108	214
ANKRD7	13	13	10	12	29	31	29	55
ANKRD9	22	29	16	20	45	49	46	85
ANKS1A	551	720	502	472	609	473	707	1098
ANKS1B	45	32	31	31	44	33	48	91
ANKS3	102	156	73	91	278	270	357	504
ANKS6	165	222	178	153	623	560	744	1053
ANKZF1	322	401	258	246	534	451	650	919
ANLN	2526	2953	2038	2294	3838	3389	6314	8525
ANO10	327	379	286	263	733	652	910	1371
ANO4	22	17	8	14	30	29	40	54
ANO5	429	464	355	350	599	559	807	1220
ANO6	659	719	508	570	709	637	1078	1614
ANO8	79	89	74	78	118	109	151	230
ANP32A	1522	1942	1163	1228	2616	2661	4030	4674
ANP32B	1471	1985	1249	1257	1659	1675	1182	2070
ANP32E	2665	3374	2114	2247	1741	2022	2536	2614
ANTXR1	349	469	307	326	435	362	438	782
ANTXR2	199	231	151	151	103	105	127	166
ANXA1	861	1138	696	709	63	68	121	151
ANXA11	2121	2397	1646	1613	866	768	1297	1767
ANXA2	1309	1658	1001	1063	554	542	919	1360
ANXA3	277	275	166	166	19	17	30	40
ANXA4	310	397	247	236	171	147	233	336
ANXA5	3669	4474	3210	2986	3223	3094	5020	7088
