	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
CKMT1B	16	42	19	13
CKMT2	13	18	10	8
CKS1B	7	5	2	0
CKS2	1184	1273	571	745
CLASP1	765	881	358	461
CLASP2	276	338	159	155
CLASRP	322	456	158	231
CLBA1	50	62	24	35
CLCC1	845	1027	430	537
CLCN2	51	59	26	34
CLCN3	467	530	250	289
CLCN5	135	178	62	85
CLCN6	78	90	39	50
CLCN7	407	527	213	277
CLDN12	261	304	118	152
CLDN15	13	5	1	1
CLDN20	0	0	0	0
CLDND1	451	459	187	265
CLEC11A	113	144	44	61
CLEC16A	130	204	75	99
CLEC2D	5	1	1	1
CLGN	455	486	218	253
CLHC1	24	20	9	10
CLIC1	2070	2485	934	1375
CLIC4	1106	1352	549	720
CLINT1	2861	3398	1428	1803
CLIP1	770	889	361	493
CLIP2	30	29	12	20
CLIP3	29	28	10	16
CLIP4	139	159	68	78
CLK1	363	466	222	233
CLK2	225	286	86	163
CLK3	604	738	245	363
CLK4	213	240	111	113
CLMN	194	186	80	108
CLN5	112	130	44	76
CLN6	577	756	291	392
CLN8	34	49	24	15
CLNS1A	2394	2893	1191	1631
CLOCK	166	156	69	104
CLP1	304	403	188	230
CLPB	1021	1221	532	684
CLPP	1341	1628	583	807
CLPTM1	1495	1979	742	1007
CLPTM1L	1131	1492	545	730
CLPX	1287	1304	527	684
CLSPN	2255	2845	1222	1627
CLSTN1	2119	2725	1042	1502
CLSTN3	405	432	177	254
CLTA	1990	2450	1042	1366
CLTB	783	1131	427	524
CLTC	22343	26725	11548	13694
CLTCL1	285	328	139	198
CLU	2108	2433	959	1342
CLUAP1	270	316	134	173
CLUH	2863	3781	1419	1893
CLVS2	10	7	2	2
CLYBL	44	54	14	21
CMAS	1273	1379	602	792
CMBL	1629	1790	730	855
CMC1	221	264	117	150
CMC2	229	298	138	173
CMC4	100	147	53	77
CMIP	411	454	173	275
CMPK1	1210	1539	615	871
CMSS1	630	641	259	338
CMTM1	0	2	2	0
CMTM3	131	171	45	57
CMTM4	137	133	47	77
CMTM6	776	863	356	448
CMTM7	150	248	96	119
CMTM8	186	258	99	114
