	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
EI24	2451	2086	2026	2521
EID1	1268	1239	817	1084
EID2	242	253	158	207
EID2B	40	44	23	24
EID3	102	109	28	56
EIF1	1049	997	478	599
EIF1AD	331	313	183	241
EIF1AX	438	535	415	541
EIF1B	396	355	227	295
EIF2A	2627	2289	2117	2563
EIF2AK1	2367	2117	1417	1916
EIF2AK2	1127	1014	668	898
EIF2AK3	481	412	357	467
EIF2AK4	1942	1701	1298	1674
EIF2B1	1245	1094	952	1159
EIF2B2	765	676	587	709
EIF2B3	1439	1398	1063	1309
EIF2B4	793	788	565	721
EIF2B5	949	908	839	1049
EIF2D	1632	1539	1353	1594
EIF2S1	1889	1792	1431	1750
EIF2S2	1770	1728	1519	1849
EIF2S3	4119	3624	3296	4405
EIF3A	14368	14106	10093	12976
EIF3B	8719	8497	6437	8188
EIF3C	73	67	75	107
EIF3D	8043	7390	6505	7780
EIF3E	7054	6231	6096	7675
EIF3F	1448	1385	1095	1412
EIF3G	2670	2513	2329	2985
EIF3H	2582	2424	1965	2665
EIF3I	6877	6184	6619	7813
EIF3J	745	723	535	738
EIF3K	3444	3329	2690	3387
EIF3L	6676	5545	6119	7654
EIF3M	6965	6848	5039	6230
EIF4A1	17318	16084	13328	16780
EIF4A2	2874	2822	2353	3002
EIF4A3	3505	3172	2661	3624
EIF4B	3505	3347	2787	3599
EIF4E	242	231	182	238
EIF4E2	781	752	702	871
EIF4E3	110	94	65	70
EIF4EBP1	589	615	397	523
EIF4EBP2	157	128	99	172
EIF4ENIF1	816	779	502	671
EIF4G1	16497	14746	9729	14059
EIF4G2	25221	22180	16099	19536
EIF4G3	4318	3775	2625	3419
EIF4H	1109	958	1108	1319
EIF5	5112	4774	3773	4596
EIF5A	2749	2701	1967	2607
EIF5A2	107	106	64	75
EIF5B	3693	3724	1881	2819
EIF6	830	733	695	891
EIPR1	487	449	325	399
ELAC1	79	77	52	72
ELAC2	3152	2854	2478	3208
ELAVL1	1482	1244	960	1373
ELAVL2	162	136	130	175
ELF1	388	308	240	304
ELF2	954	852	688	855
ELF4	275	228	137	135
ELK1	493	382	348	419
ELK3	66	71	62	71
ELK4	298	303	182	194
ELL	157	128	111	134
ELL2	229	223	224	286
ELL3	72	49	45	75
ELMO1	31	28	24	34
ELMO2	570	485	361	443
ELMO3	65	59	45	50
ELMOD1	63	49	50	46
ELMOD2	561	545	422	535
ELMOD3	188	112	146	157
ELMSAN1	378	319	191	199
ELOA	2412	2243	1618	2211
ELOB	1827	1670	1429	1673
ELOC	526	500	509	599
ELOF1	335	346	214	356
ELOVL1	330	272	279	372
ELOVL2	153	139	127	165
ELOVL4	290	322	259	352
ELOVL5	915	679	834	952
ELOVL6	211	162	140	170
ELOVL7	129	127	83	106
ELP1	4925	4466	3568	4445
ELP2	1879	1635	1329	1576
ELP3	688	662	523	703
ELP4	499	372	417	499
ELP5	669	612	543	685
ELP6	747	729	639	723
EMB	319	262	270	370
EMC1	2023	1762	1193	1649
EMC10	703	622	567	672
