	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
PKDREJ	1	3	2	2
PKIA	33	25	16	12
PKIB	90	93	43	23
PKIG	65	64	16	11
PKM	19973	28572	12468	7735
PKMYT1	679	930	372	215
PKN1	1383	1756	527	314
PKN2	2039	2209	955	647
PKN3	524	556	268	168
PKNOX1	390	403	177	141
PKNOX2	37	38	24	11
PKP2	689	830	342	202
PKP4	298	344	135	78
PLA2G12A	34	38	17	4
PLA2G15	116	182	63	34
PLA2G16	331	291	121	73
PLA2G4A	105	97	44	30
PLA2G6	52	61	27	10
PLA2G7	28	15	9	9
PLAA	1307	1493	684	520
PLAC1	245	216	98	62
PLAG1	57	81	24	19
PLAGL1	5	9	4	2
PLAGL2	145	161	75	45
PLAT	421	508	248	119
PLAUR	119	145	63	39
PLBD2	629	771	335	176
PLCB1	191	192	80	47
PLCB3	288	344	145	82
PLCB4	177	200	80	53
PLCD1	20	29	19	15
PLCD3	134	167	80	36
PLCD4	2	1	4	0
PLCE1	179	170	69	49
PLCG1	1623	1858	781	504
PLCG2	163	180	75	50
PLCH1	210	200	106	67
PLCL1	36	35	16	9
PLCL2	351	402	164	120
PLCXD1	250	302	137	67
PLCXD2	11	15	7	5
PLD1	228	297	123	95
PLD2	130	156	65	34
PLD3	2593	3006	1337	760
PLD6	169	214	128	56
PLEC	304	457	252	114
PLEKHA1	299	302	96	82
PLEKHA2	147	167	81	65
PLEKHA3	81	125	42	15
PLEKHA5	448	543	258	146
PLEKHA7	234	319	167	94
PLEKHA8	54	61	13	19
PLEKHB2	756	972	420	242
PLEKHF1	185	256	124	62
PLEKHF2	126	141	71	47
PLEKHG1	220	232	107	56
PLEKHG2	529	605	281	175
PLEKHG3	270	330	151	103
PLEKHG4	144	178	82	61
PLEKHG5	57	77	52	23
PLEKHH1	111	171	66	56
PLEKHH2	135	144	65	26
PLEKHH3	95	139	50	26
PLEKHJ1	382	503	252	125
PLEKHM1	68	66	29	24
PLEKHM2	431	557	193	131
PLEKHM3	172	189	94	64
PLEKHO1	126	155	69	32
PLEKHO2	35	38	17	15
PLGRKT	211	245	106	94
PLIN2	2	2	1	0
PLIN3	553	640	337	162
PLIN4	0	1	5	0
PLK1	3061	3891	1819	1048
PLK2	182	186	129	85
PLK3	97	67	46	25
PLK4	249	205	159	135
PLOD1	1282	1541	613	309
PLOD2	941	988	410	264
PLOD3	597	766	309	191
PLPBP	539	676	273	181
PLPP1	151	161	74	57
PLPP3	114	125	48	31
PLPP5	82	120	60	47
PLPP6	156	169	59	26
PLPPR2	51	81	30	8
PLPPR3	46	41	20	7
PLRG1	1983	2263	1132	716
PLS1	1002	987	441	301
PLS3	9235	9641	4711	3067
PLSCR1	590	683	348	205
PLSCR3	39	63	31	29
PLSCR4	11	24	7	6
PLTP	13	9	10	2
PLXDC2	57	83	41	17
PLXNA1	521	611	269	160
PLXNA2	83	95	59	25
PLXNA3	276	342	153	89
PLXNB1	85	111	51	26
PLXNB2	1186	1635	787	385
PLXNC1	13	18	18	7
PLXND1	181	237	83	54
PM20D1	0	0	0	0
PM20D2	1487	1692	688	475
PMAIP1	1443	1370	837	548
PMCH	1	0	0	0
PMEL	31	28	9	5
PMEPA1	58	65	25	7
PMF1	375	389	151	90
PMF1-BGLAP	425	384	178	126
PMFBP1	4	1	2	1
PML	449	641	258	164
PMM1	308	448	170	112
PMM2	156	180	90	51
PMP22	161	261	86	73
PMPCA	2539	3235	1508	911
PMPCB	4063	4296	1863	1253
PMS1	580	557	250	165
PMS2	229	220	106	65
PMVK	431	530	247	143
PNCK	5	3	10	2
PNISR	1215	1387	803	613
PNKD	261	322	115	86
PNKP	178	203	87	46
PNMA1	766	1073	306	230
PNMA2	664	810	324	173
PNMA8A	3	3	0	1
PNN	1951	2515	1216	834
PNO1	549	651	224	183
PNP	1908	2141	1060	614
PNPLA2	1201	1483	681	431
PNPLA3	100	105	43	28
PNPLA4	1	1	0	0
PNPLA6	257	358	122	71
PNPLA7	3	4	3	2
PNPLA8	380	438	229	161
PNPO	703	829	408	224
PNPT1	1139	1412	737	448
PNRC1	498	723	444	292
PNRC2	29	36	59	29
POC1A	331	421	148	115
POC1B	297	288	89	87
POC5	358	429	230	158
