	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek
GXYLT2	385	615	293	258
GYG1	587	884	354	291
GYG2	188	273	133	110
GYLTL1B	117	210	111	88
GYPC	77	94	41	40
GYS1	940	1404	829	602
GZF1	577	790	317	320
H1F0	484	710	267	212
H1FX	887	1265	537	530
H2AFJ	58	79	43	45
H2AFV	865	1091	549	500
H2AFX	1950	2727	1023	789
H2AFY	4231	6069	3185	3054
H2AFY2	1533	2098	1003	950
H2AFZ	10200	14285	6045	5823
H3F3A	6021	8172	3140	2903
H3F3B	4499	6220	2476	2342
H3F3C	1992	2874	974	758
H6PD	150	257	145	116
HABP4	276	358	207	184
HACE1	837	1272	624	630
HACL1	1304	1980	957	866
HADH	930	1371	736	623
HADHA	5140	7275	3590	3421
HADHB	2291	3298	1434	1226
HAGH	562	848	422	354
HAPLN3	85	120	66	51
HARBI1	103	104	49	44
HARS	2181	3375	1732	1651
HARS2	786	1043	543	507
HAT1	3112	4279	2070	2032
HAUS1	1096	1525	650	651
HAUS2	439	574	248	289
HAUS3	1654	2283	1175	1146
HAUS4	658	955	477	485
HAUS5	625	836	415	390
HAUS6	4732	6980	3524	3172
HAUS8	406	605	295	318
HAX1	2889	3894	1634	1478
HBP1	321	414	221	180
HBS1L	5194	7132	3157	3025
HCCS	711	999	479	465
HCFC1	2471	5600	3530	2491
HCFC2	446	603	336	300
HCN2	75	131	96	61
HCN3	66	104	57	36
HDAC1	6046	8063	3469	3071
HDAC10	112	166	112	77
HDAC11	54	76	60	46
HDAC2	7104	10070	5708	5377
HDAC3	2174	3224	1264	1147
HDAC4	143	220	137	110
HDAC5	713	975	450	426
HDAC6	963	1338	667	566
HDAC7	130	183	103	66
HDAC8	1037	1470	767	643
HDDC2	1479	2236	985	922
HDDC3	189	248	133	124
HDGF	4308	5863	3241	3366
HDGFRP2	2274	2928	1542	1565
HDGFRP3	945	1189	626	513
HDHD1	43	62	51	44
HDHD2	329	452	240	217
HDHD3	180	265	125	89
HDLBP	17407	24747	10676	9285
HDX	251	337	231	162
HEATR1	19085	27731	13079	12152
HEATR2	811	1362	771	674
HEATR3	2293	3176	1565	1342
HEATR5A	1986	2839	1416	1360
HEATR5B	2521	3609	1822	1724
