	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
ZC3HAV1L	84	140	83	79	0	0	1	1
ZC3HC1	760	1079	545	563	399	420	609	918
ZC4H2	144	228	122	86	73	62	94	158
ZCCHC10	281	341	132	128	94	149	164	221
ZCCHC11	2327	3850	2259	2127	491	583	711	912
ZCCHC12	1173	1678	865	873	852	985	1245	1674
ZCCHC14	414	756	492	389	91	100	139	217
ZCCHC17	1176	1542	679	594	111	132	170	222
ZCCHC18	57	82	60	53	73	81	101	126
ZCCHC2	298	436	208	177	86	108	146	219
ZCCHC24	54	74	33	25	23	38	30	58
ZCCHC3	309	383	260	279	146	148	193	384
ZCCHC4	305	360	199	174	84	98	130	148
ZCCHC6	1324	1915	983	924	251	265	329	399
ZCCHC7	630	888	477	459	101	124	145	213
ZCCHC8	786	1062	617	515	164	182	277	421
ZCCHC9	851	1088	534	514	126	171	234	342
ZCRB1	1049	1545	692	642	253	293	428	494
ZCWPW1	65	78	38	23	22	29	23	52
ZDBF2	2267	3140	1817	1842	644	708	903	1157
ZDHHC1	49	60	37	29	7	4	11	10
ZDHHC12	225	253	149	115	77	73	86	179
ZDHHC13	759	1109	449	375	160	193	214	291
ZDHHC14	90	127	49	47	41	22	36	50
ZDHHC16	564	760	287	253	120	118	161	224
ZDHHC17	934	1329	697	577	191	210	268	318
ZDHHC18	170	280	104	96	90	98	133	209
ZDHHC2	505	782	306	276	96	109	110	151
ZDHHC20	737	1016	430	366	205	203	265	357
ZDHHC21	130	193	97	110	47	58	78	101
ZDHHC23	195	264	147	130	36	41	47	48
ZDHHC24	68	110	61	48	108	119	136	214
ZDHHC3	890	1273	604	511	41	46	52	91
ZDHHC4	518	744	320	281	43	39	54	71
ZDHHC5	1015	1434	683	528	151	192	211	291
ZDHHC6	935	1298	652	600	95	85	123	162
ZDHHC7	472	652	356	299	72	54	94	118
ZDHHC8	245	370	213	195	90	74	97	117
ZDHHC9	438	582	332	285	200	235	279	413
ZEB1	637	951	381	271	231	314	394	452
ZEB2	402	565	304	285	163	205	222	333
ZER1	635	976	474	366	370	395	522	739
ZFAND1	837	1235	499	450	108	133	163	220
ZFAND2A	87	142	77	73	5	6	4	10
ZFAND2B	225	271	111	122	47	42	74	101
ZFAND3	73	113	52	60	255	276	381	517
ZFAND4	398	633	315	254	36	35	54	77
ZFAND5	881	1249	591	504	447	509	603	758
ZFAND6	789	1109	389	312	372	407	505	615
ZFAT	671	940	421	392	69	70	94	153
ZFC3H1	1755	2756	1666	1510	326	331	491	541
ZFHX3	231	518	350	267	138	152	187	273
ZFHX4	2064	3593	2224	1792	344	377	434	709
ZFP1	401	498	304	277	57	93	96	138
ZFP112	226	326	146	122	60	51	36	106
ZFP14	89	111	92	66	68	84	121	191
ZFP28	96	119	75	75	40	42	54	59
ZFP30	304	487	274	237	215	254	331	497
ZFP36L1	46	60	54	45	103	151	232	354
ZFP36L2	84	157	71	49	195	242	269	548
ZFP37	135	188	119	88	28	42	47	43
ZFP41	52	91	52	65	5	4	8	9
ZFP62	858	1264	712	621	72	103	109	177
ZFP64	327	481	246	199	128	107	168	255
ZFP69	257	324	174	140	25	27	53	44
ZFP69B	63	126	89	78	10	11	23	23
ZFP90	552	863	475	461	82	106	142	163
ZFP91	1649	2278	1171	1026	241	217	316	496
ZFPL1	252	339	152	106	116	124	123	238
ZFPM2	111	174	82	97	57	66	72	88
ZFR	5794	8071	3671	3207	1683	2031	2297	3269
ZFX	3370	5026	2647	2247	327	373	354	613
ZFY	209	289	138	88	61	104	92	138
ZFYVE1	167	290	144	147	67	87	102	162
ZFYVE16	2728	3971	1871	1732	570	739	771	1044
ZFYVE19	246	352	146	163	49	66	90	133
ZFYVE20	1316	1935	1024	930	107	126	120	182
ZFYVE21	177	240	109	138	139	150	265	341
ZFYVE26	1504	2309	1334	1088	147	129	193	206
ZFYVE27	266	381	205	175	157	138	189	358
ZFYVE28	56	91	66	39	18	17	33	38
ZFYVE9	1801	2828	1468	1386	212	273	317	462
ZGPAT	391	481	265	302	105	130	153	232
ZHX1	2080	2838	1381	1301	136	177	204	230
ZHX2	193	325	203	129	75	98	113	163
ZHX3	440	690	368	319	77	96	117	166
ZIC2	399	695	307	235	413	469	723	1223
ZIC3	192	291	110	111	1	1	3	7
ZIC5	503	723	318	247	240	267	314	544
ZKSCAN1	854	1252	632	531	244	244	296	480
ZKSCAN2	671	1127	579	494	128	121	122	227
ZKSCAN3	216	359	228	213	69	67	86	146
ZKSCAN4	334	470	276	266	77	60	98	120
ZKSCAN5	718	1071	566	432	106	103	125	199
ZKSCAN8	1042	1812	860	735	174	214	239	385
ZMAT2	1276	1718	789	889	678	673	815	1161
ZMAT3	83	146	69	59	131	128	147	240
ZMAT5	196	285	129	126	116	145	215	306
ZMIZ1	56	164	113	69	148	192	236	312
ZMIZ2	188	404	235	178	167	173	231	378
ZMPSTE24	2182	3113	1373	1213	1155	1330	1423	2093
ZMYM1	1880	2812	1421	1284	325	383	491	603
ZMYM2	2331	3523	1811	1566	641	762	920	1212
ZMYM3	1078	1621	914	719	587	679	868	1215
ZMYM4	3374	5175	2513	2231	659	728	796	1222
ZMYM5	333	459	247	214	36	52	78	73
ZMYM6	795	1128	510	483	117	135	176	183
ZMYM6NB	61	77	38	38	57	76	95	154
ZMYND11	946	1361	617	616	209	277	337	479
ZMYND19	705	924	488	433	236	275	313	502
ZMYND8	685	1091	687	572	417	475	607	850
ZNF10	118	178	70	71	38	47	66	70
ZNF100	523	717	333	308	114	153	169	266
ZNF101	241	379	196	171	31	45	50	75
ZNF106	2858	4239	2209	2037	505	536	695	849
ZNF107	629	896	460	447	61	92	102	135
ZNF117	143	186	100	107	11	12	22	18
ZNF12	798	1153	648	605	153	208	215	280
ZNF121	1503	2171	1087	966	201	233	339	491
ZNF124	533	816	383	342	43	29	37	64
ZNF131	1043	1641	788	747	148	165	207	253
ZNF133	427	551	316	296	41	59	73	105
ZNF134	345	565	245	201	92	121	153	189
ZNF136	207	279	149	114	107	132	145	208
ZNF138	266	371	206	175	21	43	56	67
ZNF14	207	356	169	120	44	51	59	74
ZNF140	277	412	206	142	65	77	91	123
ZNF143	651	1012	417	373	220	253	310	390
ZNF146	2747	3970	1887	1762	653	714	921	1302
ZNF148	1421	1994	959	877	196	221	287	371
ZNF155	120	161	92	94	113	114	155	235
ZNF16	362	600	283	235	46	60	64	104
ZNF160	177	215	104	84	78	99	104	95
ZNF165	197	309	175	163	36	38	54	61
ZNF169	114	157	117	125	8	8	10	16
ZNF17	348	439	229	188	42	37	65	78
ZNF174	150	251	116	89	45	52	71	86
ZNF175	277	436	234	188	35	61	51	83
ZNF177	59	102	49	49	18	15	32	29
ZNF18	233	319	156	157	41	39	26	57
ZNF180	604	1005	440	428	70	89	133	145
ZNF181	319	439	222	203	217	245	268	424
ZNF182	345	460	280	298	85	98	108	136
ZNF184	672	957	460	386	102	96	157	175
ZNF189	777	1106	577	441	79	74	112	141
ZNF19	57	112	46	60	12	12	20	19
ZNF195	1113	1632	776	720	152	178	204	213
ZNF197	696	985	556	496	72	97	124	154
ZNF2	135	197	108	71	11	16	30	43
ZNF200	202	369	181	165	115	136	164	228
ZNF202	418	590	340	291	24	15	21	47
ZNF205	353	522	225	200	29	37	59	132
ZNF207	5125	7069	2591	2198	1838	2397	2888	3712
ZNF211	327	446	210	204	30	53	57	81
ZNF212	239	291	205	149	89	112	113	196
ZNF213	63	108	69	64	29	26	36	30
ZNF214	121	162	89	68	12	11	25	23
ZNF215	408	616	338	293	36	53	85	88
ZNF217	386	527	329	290	329	353	475	634
ZNF219	125	174	93	96	13	24	17	51
ZNF22	314	426	175	125	0	1	0	1
ZNF221	99	145	100	85	130	127	172	271
ZNF222	146	186	83	106	108	115	142	252
ZNF223	67	134	68	45	85	106	115	152
ZNF224	427	705	336	307	142	207	196	284
ZNF225	163	255	122	135	85	93	115	195
ZNF226	336	503	244	181	202	262	322	491
ZNF227	489	718	351	296	293	285	391	592
ZNF23	490	692	318	293	10	18	28	35
ZNF230	121	174	82	100	90	93	121	156
ZNF232	230	360	159	126	22	38	37	66
ZNF234	194	305	166	122	140	156	268	351
ZNF235	171	310	185	151	29	38	50	60
ZNF236	857	1330	627	535	86	88	93	143
ZNF239	215	312	156	111	110	118	157	216
ZNF24	1434	2057	838	770	311	344	400	697
ZNF248	148	253	152	124	26	34	52	66
ZNF25	73	118	39	46	17	21	32	33
ZNF250	155	237	147	157	34	43	35	64
ZNF251	510	736	402	424	51	67	78	83
ZNF254	381	600	242	248	117	139	160	190
ZNF256	182	265	147	102	100	119	115	201
ZNF259	1815	2471	1127	967	312	360	465	601
ZNF26	277	415	209	159	44	51	73	87
ZNF260	328	512	245	261	170	208	304	376
ZNF263	625	784	406	409	63	67	91	119
ZNF264	332	613	308	311	89	126	144	216
ZNF266	508	820	393	383	28	39	45	69
ZNF267	1097	1413	680	648	106	129	175	195
ZNF268	945	1332	596	507	142	176	185	279
ZNF273	316	493	214	175	72	92	100	161
ZNF274	321	471	184	201	118	147	163	234
ZNF275	228	341	222	179	82	107	134	181
ZNF276	478	826	474	396	27	21	23	38
ZNF277	611	797	461	413	289	311	424	500
ZNF28	402	539	259	216	85	120	119	156
ZNF280B	307	463	261	216	50	54	37	91
ZNF280C	1055	1600	677	545	170	206	241	344
ZNF280D	353	479	222	181	62	66	83	115
ZNF281	1911	2581	1228	1100	304	402	477	711
ZNF282	792	1117	613	552	316	393	484	798
ZNF283	388	569	321	320	93	105	119	161
ZNF286A	1078	1646	806	795	78	91	113	148
ZNF286B	734	1094	515	490	33	47	58	61
ZNF287	111	188	77	77	28	48	54	52
ZNF292	3199	4609	2406	2174	378	406	428	591
ZNF3	633	994	504	521	91	115	116	210
ZNF30	239	372	185	202	47	38	56	76
ZNF300	485	616	314	310	62	47	60	76
ZNF302	518	710	336	273	305	368	356	588
ZNF304	269	431	185	172	78	55	94	145
ZNF317	743	1181	648	530	178	202	205	367
ZNF318	1588	2508	1487	1405	399	391	466	676
ZNF319	49	83	48	24	51	47	60	94
ZNF32	583	834	377	362	41	42	66	68
ZNF320	252	359	150	130	41	58	45	67
ZNF322	1667	2405	1259	1192	213	255	334	437
ZNF324	307	479	228	200	69	83	97	175
ZNF324B	230	321	167	137	52	59	81	135
ZNF326	972	1284	827	821	814	939	1154	1562
ZNF329	75	111	45	44	32	45	46	57
ZNF330	1252	1746	786	782	369	361	464	703
ZNF333	125	200	96	84	39	32	33	61
ZNF335	719	1217	564	463	205	194	232	309
ZNF337	769	1110	709	648	60	76	110	124
ZNF33A	1360	2055	1062	969	141	187	281	330
ZNF33B	1477	2227	1081	1043	82	105	171	236
ZNF34	72	110	65	47	8	11	12	14
ZNF341	73	124	59	55	24	40	35	49
ZNF343	409	619	352	305	39	52	50	83
ZNF345	55	94	69	49	42	50	51	72
ZNF346	503	779	415	356	169	171	247	294
ZNF35	700	1089	563	479	62	62	109	140
ZNF350	147	250	106	92	26	41	33	62
ZNF354A	519	685	343	307	120	111	131	172
ZNF354B	515	787	474	426	76	94	94	118
ZNF358	314	462	257	256	91	91	127	178
ZNF362	104	152	64	53	74	83	112	158
ZNF367	308	418	236	221	63	59	76	141
ZNF37A	595	1004	517	408	94	77	126	172
ZNF382	96	145	73	74	108	130	205	228
ZNF383	162	224	118	103	43	45	62	83
ZNF384	337	534	278	195	255	296	346	553
ZNF391	109	173	114	83	13	21	24	33
ZNF394	444	637	378	373	88	88	103	152
ZNF395	165	237	108	93	109	121	140	232
ZNF397	290	460	267	260	58	59	88	108
ZNF398	403	623	343	286	145	177	262	336
ZNF407	997	1471	857	827	130	145	154	219
ZNF408	333	400	217	202	61	81	71	147
ZNF41	376	500	257	215	34	33	40	64
ZNF410	948	1514	741	653	126	180	197	301
ZNF414	39	65	39	35	59	87	96	169
ZNF416	162	221	120	89	61	66	72	110
ZNF417	749	1281	701	634	105	138	163	267
ZNF419	189	329	164	108	79	83	107	149
ZNF420	280	388	215	197	135	172	182	268
ZNF423	53	109	56	48	23	30	36	59
ZNF425	66	84	54	44	19	24	23	31
ZNF426	177	247	133	120	85	133	124	184
ZNF428	422	606	395	354	312	395	541	851
ZNF429	35	74	31	36	19	20	32	59
ZNF430	324	522	264	261	61	82	119	138
ZNF431	486	738	369	344	64	95	111	159
ZNF432	279	428	224	230	20	23	28	35
ZNF436	200	284	204	174	67	73	90	169
ZNF44	100	127	101	84	47	38	58	77
ZNF440	202	347	182	158	90	101	116	172
ZNF441	57	76	31	41	31	43	66	56
ZNF443	222	305	164	150	62	93	90	149
ZNF444	62	109	67	75	62	76	139	218
ZNF445	984	1643	1002	828	109	119	199	267
ZNF446	103	163	70	67	33	42	53	88
ZNF449	188	288	156	137	27	35	74	129
ZNF45	441	574	295	263	74	92	118	163
ZNF451	1135	1601	884	763	359	442	533	628
ZNF460	1485	2436	1338	1141	497	584	668	1124
ZNF461	119	188	107	68	48	67	76	100
ZNF462	116	199	118	97	178	206	252	318
ZNF468	377	530	221	189	83	95	86	111
ZNF470	98	167	96	84	17	21	23	33
ZNF473	722	1139	489	473	57	91	108	120
ZNF48	472	634	423	396	108	115	139	215
ZNF480	455	560	281	284	83	102	124	165
ZNF483	379	579	321	323	183	214	298	364
ZNF484	578	851	371	380	43	46	59	84
ZNF485	159	262	139	140	45	52	72	122
ZNF490	169	270	146	144	66	78	102	114
ZNF492	129	185	100	76	22	58	38	74
ZNF493	136	194	98	70	20	22	28	49
ZNF496	303	477	274	259	36	45	31	58
ZNF500	135	236	123	107	45	25	55	66
ZNF502	66	103	45	48	17	7	19	17
ZNF503	1226	2127	974	817	306	372	414	795
ZNF507	1181	2056	1173	1000	682	736	824	1084
ZNF510	306	436	181	198	24	40	60	57
ZNF511	469	660	273	264	94	91	156	240
ZNF512	925	1377	756	636	160	203	300	383
ZNF512B	939	1277	601	583	257	327	349	610
