	tmisrib_a_hek	tmisrib_b_hek	untr_a_hek	untr_b_hek	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
CLIP1	1548	2115	1215	1096	392	368	501	692
CLIP2	68	100	60	44	13	18	22	22
CLIP4	430	608	351	311	78	73	91	112
CLK1	1545	2274	1103	1150	131	187	233	321
CLK2	954	1424	763	654	122	161	187	252
CLK3	739	1011	528	477	275	302	395	577
CLK4	547	717	404	433	59	89	122	159
CLMN	183	256	143	151	80	102	123	128
CLN3	275	442	155	134	107	115	141	243
CLN5	440	611	266	229	101	109	133	207
CLN6	727	1028	378	288	292	322	406	620
CLN8	101	174	78	63	45	38	55	81
CLNS1A	2838	3972	2205	2139	1295	1452	1762	2237
CLOCK	496	791	394	317	48	76	81	113
CLP1	590	847	366	323	155	145	180	295
CLPB	2048	3036	1507	1366	426	410	643	829
CLPP	790	1138	449	414	539	584	857	1264
CLPTM1	1183	1807	863	767	861	814	963	1496
CLPTM1L	2917	4079	1822	1800	607	618	705	1148
CLPX	1200	1769	924	856	567	650	840	941
CLSPN	3751	5042	3141	2929	1052	1230	1465	2127
CLSTN1	1273	2237	1341	1209	1202	1196	1366	2129
CLSTN3	202	321	173	127	241	263	262	332
CLTA	2196	3285	1633	1538	894	1101	1329	1932
CLTB	847	1172	540	566	286	281	427	721
CLTC	22372	33910	17455	15697	11491	13168	14815	20957
CLTCL1	803	1340	700	616	152	159	173	252
CLU	197	249	109	104	1021	1082	1428	1785
CLUAP1	418	692	278	293	128	176	174	230
CLUH	2005	3463	1900	1629	1366	1345	1872	2886
CLYBL	64	112	71	47	20	32	20	40
CMAS	1373	1845	1044	1104	638	741	828	1065
CMBL	156	213	160	142	678	698	944	1230
CMC1	310	457	183	191	174	154	166	244
CMC2	248	383	129	166	60	73	84	144
CMC4	202	332	135	153	27	48	53	65
CMIP	119	297	172	151	202	200	298	335
CMPK1	878	1234	650	599	727	746	914	1303
CMSS1	1941	2964	1343	1195	297	312	444	504
CMTM3	50	90	30	34	47	48	86	125
CMTM4	160	261	129	128	62	49	77	95
CMTM6	797	1170	471	459	325	349	423	569
CMTM7	94	141	72	59	72	87	89	173
CMTM8	113	176	72	64	86	75	101	194
CMYA5	65	116	53	48	2	1	1	3
CNBP	3680	5063	2210	2064	2205	2460	2967	4303
CNDP2	593	949	460	417	488	510	619	1003
CNEP1R1	63	85	49	28	20	24	38	53
CNIH	844	1099	435	387	497	571	635	1026
CNIH4	1537	2330	885	740	643	689	875	1064
CNN2	252	431	187	144	446	497	678	1009
CNN3	3120	4453	2018	1743	1641	2038	2660	3324
CNNM1	80	91	81	54	145	132	162	275
CNNM2	208	337	161	182	89	82	97	151
CNNM3	326	486	265	249	130	133	211	289
CNNM4	248	460	217	158	100	130	132	207
CNOT1	15038	23769	12317	10522	2399	2460	3116	4141
CNOT10	2908	4155	1872	1747	576	695	770	1037
CNOT11	976	1350	560	568	382	478	699	862
CNOT2	1676	2501	972	836	477	552	620	860
CNOT3	508	861	583	453	531	636	727	1061
CNOT4	281	466	227	187	149	186	235	348
CNOT6	1374	2414	1486	1318	207	282	332	408
CNOT6L	391	622	395	335	144	187	201	247
CNOT7	1882	2842	1370	1355	237	253	332	354
CNOT8	628	980	455	491	293	334	383	582
CNP	1009	1340	665	621	561	594	792	1263
CNPPD1	269	348	147	129	177	182	217	439
CNPY2	1449	2147	1080	1122	580	677	781	1132
CNPY3	364	612	317	279	144	152	216	275
CNPY4	142	187	80	87	47	40	38	63
CNRIP1	35	71	48	20	15	20	34	52
CNST	427	667	337	278	43	53	69	92
CNTF	47	99	40	42	0	1	4	2
CNTLN	699	965	536	515	151	185	205	289
CNTN1	269	377	181	143	176	164	200	190
CNTNAP1	32	63	45	40	27	20	40	45
CNTNAP3	440	633	359	282	44	40	48	78
CNTNAP3B	387	560	337	303	46	47	45	81
CNTRL	1076	1513	944	864	105	111	161	188
CNTROB	852	1150	610	543	52	43	45	68
COA1	887	1204	433	302	153	191	195	301
COA3	325	400	225	216	133	160	211	388
COA4	413	509	233	247	139	185	253	382
COA5	131	174	78	80	42	42	73	86
COA6	460	647	370	349	277	351	442	611
COASY	669	1071	610	525	232	254	387	476
COBL	210	370	207	184	94	104	131	190
COBLL1	353	550	281	275	139	135	179	218
COCH	1413	2207	1022	905	2003	2193	2389	3119
COG1	556	840	485	420	250	282	357	536
COG2	2688	3937	1691	1656	457	509	599	829
COG3	784	1057	513	471	202	246	252	349
COG4	1511	2142	964	920	374	388	487	618
COG5	1164	1714	829	753	551	593	791	893
COG6	713	1073	526	474	428	451	597	740
COG7	359	517	268	234	198	174	241	347
COG8	590	877	341	262	343	326	391	585
COIL	1871	2570	1137	1058	358	444	516	699
COL11A2	44	66	56	39	2	2	4	8
COL12A1	87	110	70	54	9	17	13	21
COL13A1	58	100	51	43	10	14	12	14
COL14A1	246	354	202	184	488	525	522	701
COL18A1	786	1264	821	755	165	162	189	302
COL19A1	66	110	62	53	14	22	26	29
COL1A1	41	114	65	72	49	44	64	82
COL24A1	52	75	41	42	9	7	9	12
COL25A1	192	251	136	159	103	99	101	161
COL27A1	271	479	306	235	20	13	8	13
COL2A1	465	846	603	552	34	40	58	66
COL4A1	963	1396	801	730	589	587	678	1111
COL4A2	1092	1773	971	960	439	444	466	836
COL4A3BP	541	833	507	506	202	206	275	408
COL4A4	67	89	54	40	81	85	118	176
COL4A5	1099	1675	967	881	131	184	172	278
COL4A6	433	595	313	284	57	87	96	131
COL5A1	134	302	175	178	59	53	61	99
COL5A2	96	127	55	60	213	192	234	311
COL6A1	523	898	536	473	621	627	649	1042
COL6A2	326	501	234	217	185	201	214	304
COL7A1	216	284	200	188	2	3	2	2
COLEC12	244	340	137	129	123	144	185	244
COLGALT1	1327	1766	871	858	571	548	721	1086
COLGALT2	92	173	108	87	27	22	34	41
COMMD1	242	296	161	138	110	150	188	253
COMMD10	183	283	131	117	139	161	187	239
COMMD2	632	927	455	394	196	232	316	397
COMMD3-BMI1	2185	3090	1472	1404	641	728	970	1252
COMMD4	1534	2023	1054	956	725	713	1036	1390
COMMD5	206	298	123	108	62	53	84	158
COMMD6	288	429	160	154	91	139	158	183
COMMD7	189	225	144	127	69	93	90	175
COMMD8	419	521	268	281	209	253	247	345
COMMD9	669	894	316	246	149	174	186	294
COMT	650	980	498	523	492	548	791	1101
COMTD1	271	404	186	191	145	159	195	309
COPA	6489	9523	4626	4482	2653	3021	3519	5145
COPB1	7319	10714	4726	4519	2101	2527	3056	3778
COPB2	7066	10050	4537	4200	2421	2943	3466	4643
COPE	1545	2067	1101	1028	1090	1159	1601	2357
COPG1	2974	4241	1956	1641	1818	1908	2215	3209
COPG2	560	796	441	388	477	504	611	793
COPRS	788	1265	626	578	272	269	353	539
COPS2	2188	3020	1400	1404	951	1166	1386	1732
COPS3	9100	12994	5501	4831	1397	1654	2029	2709
COPS4	2144	2981	1287	1145	931	1071	1368	1696
COPS5	2013	2762	1417	1375	613	715	885	1246
COPS6	1327	1869	1063	934	2209	2462	3146	4435
COPS7A	486	669	298	298	419	454	626	776
COPS7B	277	415	244	215	263	277	402	494
COPS8	1131	1676	682	641	722	773	1144	1415
COPZ1	1498	2166	1114	1051	1054	1090	1315	1854
COQ10A	153	188	85	68	81	84	105	192
COQ10B	302	388	164	195	156	198	184	277
COQ2	489	819	366	328	160	146	157	265
COQ3	772	1107	468	456	219	269	387	422
COQ4	255	446	188	183	63	77	122	149
COQ5	419	600	273	248	198	240	367	458
COQ6	502	767	296	262	203	253	298	464
COQ7	484	632	296	306	161	148	228	295
COQ9	672	938	421	469	156	156	214	308
CORO1B	866	1212	512	452	373	446	578	928
CORO1C	1773	2483	1278	1038	1790	1941	2500	3329
CORO2A	68	86	39	18	45	56	72	74
CORO7-PAM16	935	1290	609	549	462	501	577	963
COTL1	113	149	60	60	212	233	364	454
COX10	348	514	271	256	81	68	105	145
COX11	1685	2284	1055	933	377	473	496	771
COX14	205	286	117	94	119	142	225	282
COX15	992	1404	665	683	691	751	981	1412
COX17	536	792	376	386	168	180	264	338
COX18	253	346	149	125	132	158	234	236
COX19	80	139	56	71	46	67	56	84
COX20	287	359	195	194	61	57	72	98
COX4I1	3658	4812	2456	2464	1962	2083	2542	3893
COX5A	1836	2751	1104	1026	1958	2268	2686	4103
COX5B	2213	3093	1428	1343	1064	1093	1569	2219
COX6A1	2362	3198	1615	1455	1592	1735	2139	3770
COX6B1	1937	2825	1077	822	2329	2384	3178	4659
COX6C	2131	2925	1249	1228	792	825	1000	1285
COX7A2	1612	2151	1055	982	1727	2185	2871	3522
COX7A2L	529	731	361	338	333	320	444	621
COX7B	3362	4954	2061	1916	1739	2057	2572	2843
COX7C	3692	4917	2309	2134	1552	1564	1704	2991
COX8A	1143	1560	611	510	537	611	756	1499
CPD	2586	3834	1805	1625	1365	1487	1503	2075
CPE	793	1163	558	495	801	762	847	1253
CPEB1	56	66	24	29	56	70	108	137
CPEB2	49	97	52	52	42	37	57	79
CPEB3	39	56	46	29	28	28	34	63
CPEB4	342	454	195	184	118	131	161	215
CPM	50	66	34	19	34	47	50	75
CPNE1	1139	1665	854	768	525	446	645	946
CPNE2	260	394	155	133	48	46	69	105
CPNE3	3090	4349	2021	1769	1094	1202	1377	2053
CPNE8	490	740	372	354	268	300	343	495
CPOX	1176	1645	760	841	309	421	520	758
CPPED1	149	166	73	60	43	48	71	89
CPS1	1794	2578	1326	1179	87	79	89	126
CPSF1	1835	2775	1455	1277	539	614	706	1199
CPSF2	3889	5475	2736	2657	1241	1354	1687	2203
CPSF3	4052	5687	2647	2472	1028	1163	1484	1863
CPSF3L	706	1140	472	446	530	509	647	954
CPSF4	365	416	194	177	228	255	362	402
CPSF6	4126	5781	2598	2439	1261	1377	1459	2288
CPSF7	1036	1514	700	590	503	601	691	1136
CPT1A	235	385	195	162	93	111	152	161
CPT1B	328	545	243	223	18	11	7	7
CPT1C	70	98	44	28	21	23	28	29
CPT2	798	1160	538	429	483	492	711	922
CPVL	1707	2466	960	905	758	808	898	1270
CR2	99	126	71	63	66	61	52	59
CRABP2	48	71	45	46	120	136	179	220
CRADD	98	128	35	37	46	54	55	86
CRAMP1L	440	700	412	355	111	95	191	222
CRAT	128	235	108	91	23	29	35	27
CRBN	924	1300	559	510	167	187	199	327
CRCP	209	285	143	120	101	114	170	237
CREB1	485	772	321	307	170	222	307	394
CREB3	559	828	326	347	62	106	126	165
CREB3L2	156	255	187	165	283	299	377	606
CREB3L4	101	138	64	61	30	33	37	69
CREB5	105	199	114	93	58	49	90	104
CREBBP	1260	2734	1677	1290	572	608	742	1043
CREBL2	132	188	82	96	37	27	30	53
CREBRF	210	330	166	164	32	40	40	47
CREBZF	989	1193	673	729	60	74	97	178
CREG1	283	382	216	167	567	614	668	971
CRELD1	117	161	71	70	37	41	52	71
CRELD2	645	911	461	550	136	166	140	292
CREM	131	183	87	76	119	164	176	251
CRIM1	581	857	463	419	201	231	242	304
CRIPT	192	277	163	162	120	144	171	284
CRISPLD1	469	640	297	283	174	204	201	260
CRK	637	912	475	481	227	261	326	525
CRKL	1336	1883	965	901	332	423	507	834
CRLF3	502	760	373	314	197	238	329	357
CRLS1	740	1139	461	418	151	133	218	244
CRNKL1	1954	2704	1348	1286	538	568	700	987
CROCC	338	487	315	296	124	91	117	200
CROT	282	495	228	196	134	146	172	235
CRTAP	1569	2308	1157	937	677	665	764	1114
CRTC1	74	138	103	61	74	73	116	152
CRTC2	198	323	181	154	194	254	280	415
CRTC3	218	332	190	147	79	102	91	153
CRY1	1083	1541	696	689	206	223	255	328
CRY2	248	328	181	157	32	31	40	63
CRYBB2	86	119	77	78	24	19	39	32
CRYBG3	3208	4731	2308	2196	262	269	332	465
CRYL1	72	94	48	43	85	76	85	126
CRYZ	518	746	309	280	349	368	514	638
CRYZL1	380	518	320	280	189	206	241	313
CS	3334	5571	2934	2559	3612	4083	5300	7044
CSAD	97	146	93	70	11	13	16	11
CSDE1	33192	45825	21780	21076	4499	5029	5745	7610
CSE1L	19605	27427	11959	10725	8813	10065	10993	15696
CSGALNACT2	188	287	152	167	74	71	98	101
CSK	801	1499	787	713	499	612	784	1169
CSNK1A1	3603	5204	2246	2032	1859	2151	2453	3196
CSNK1D	489	855	488	424	379	434	492	748
CSNK1E	4085	6016	2540	2315	816	842	1020	1500
CSNK1G1	316	506	266	213	96	94	110	165
CSNK1G2	1058	1378	602	509	61	81	122	147
CSNK1G3	702	1032	540	511	275	271	341	444
CSNK2A1	3400	5133	2198	1852	1691	1889	2375	3150
CSNK2A2	1023	1557	1084	938	624	689	809	1064
CSNK2A3	1163	1707	716	609	1024	1198	1556	1944
CSNK2B	1797	2510	1080	1025	1812	1935	2306	3227
CSPG4	57	107	41	50	57	63	58	101
CSPG5	471	655	325	274	52	72	74	120
CSPP1	1205	1750	1032	926	130	118	160	252
CSRNP1	91	127	38	40	32	34	35	52
CSRNP2	246	419	211	170	63	75	102	169
CSRNP3	52	81	37	45	14	12	32	41
CSRP2	1193	1653	704	719	570	567	740	1210
CSRP2BP	865	1307	634	669	80	95	98	171
CST3	405	576	307	306	479	512	699	1108
CSTB	383	504	232	215	459	558	809	1175
CSTF1	1055	1551	717	574	588	690	886	1241
CSTF2	2036	2964	1290	1195	459	544	712	1098
CSTF2T	1236	1618	793	751	567	751	854	1377
CSTF3	1374	2007	1026	920	484	598	788	1036
CTAGE5	621	1011	562	544	146	191	188	247
CTBP1	1827	2519	1157	1084	332	347	447	632
CTBP2	811	1289	630	536	534	547	764	964
CTBS	154	225	92	108	105	117	159	176
CTC1	215	349	184	157	48	58	72	91
CTCF	2541	3791	1656	1563	492	539	668	973
CTDNEP1	361	685	343	250	177	189	226	341
CTDP1	391	647	347	324	156	181	214	386
CTDSP1	226	348	194	142	92	108	90	182
CTDSP2	152	220	121	103	144	137	208	279
CTDSPL	274	313	182	168	15	22	37	43
CTDSPL2	1210	1722	779	707	338	398	425	488
CTH	273	385	189	170	122	141	197	232
CTIF	162	285	108	123	59	51	58	92
CTNNA1	4362	6504	3117	2917	3491	3830	4631	6744
CTNNAL1	3851	5288	2423	2195	717	773	990	1171
CTNNB1	18500	25941	11726	10446	4318	4779	5560	8462
CTNNBIP1	66	84	37	38	41	32	35	62
CTNNBL1	1184	1468	813	713	550	618	798	1206
CTNND1	2423	3729	1984	1874	718	785	960	1320
CTNS	209	345	126	84	77	79	107	179
CTPS1	4216	6390	3227	2974	1483	1766	2061	2977
CTPS2	964	1363	664	637	249	273	324	460
CTR9	3431	4530	2271	2087	1046	1178	1459	2028
CTSA	917	1317	512	483	467	457	627	841
CTSB	444	655	258	264	574	590	701	923
CTSC	811	1189	549	494	705	753	822	1249
CTSD	1371	2125	969	849	1041	1013	1241	1957
CTSF	224	337	123	138	0	0	0	0
CTSH	471	688	289	305	36	30	51	55
CTSL1	1325	1636	742	722	534	541	604	947
CTSL2	425	549	267	278	268	291	297	501
CTSZ	103	165	86	75	653	804	866	1209
CTTN	2867	3691	1888	2020	1013	1135	1457	2040
CTTNBP2	170	253	161	156	93	112	116	171
CTTNBP2NL	314	441	277	258	134	131	201	304
CTU1	42	73	45	45	92	108	127	249
CTU2	673	793	390	335	80	89	119	191
CUBN	51	67	38	37	0	0	1	1
CUEDC1	133	189	106	101	58	51	56	100
CUEDC2	690	1100	468	490	466	473	628	961
CUL1	3977	5698	2615	2565	994	1076	1403	1934
CUL2	1386	1895	970	886	1298	1547	1891	2377
CUL3	3155	4843	2570	2299	1548	1679	1947	2651
CUL4A	1055	1567	772	712	475	529	691	944
CUL4B	4069	6187	3111	2884	1152	1388	1632	1987
CUL5	2329	3282	1784	1707	376	440	555	669
CUL7	697	982	537	457	347	397	404	615
CUL9	340	631	352	295	124	129	128	154
CUTA	1072	1502	783	728	677	649	830	1420
CUTC	598	857	447	424	231	191	275	376
CUX1	741	1296	753	643	331	307	411	618
CWC15	2033	2822	1303	1329	367	430	524	673
CWC22	1799	2400	1215	1122	291	317	445	609
CWC25	247	331	216	211	63	57	82	144
CWC27	1134	1363	746	724	292	348	403	527
CWF19L1	1767	2469	1110	1048	574	650	861	1105
CWF19L2	1734	2368	1317	1202	179	169	201	306
CXADR	662	865	437	332	340	399	401	629
CXCR4	58	85	23	24	36	71	76	94
CXXC1	1050	1462	731	658	212	272	280	512
CXXC5	50	61	27	26	32	32	40	62
CXorf23	173	255	169	143	30	46	37	63
CXorf38	369	509	267	232	71	76	98	127
CXorf40A	429	623	272	237	59	70	104	135
CXorf40B	629	934	437	408	86	92	125	166
CXorf56	961	1396	655	692	265	310	372	711
CXorf57	4294	5868	3116	2710	619	757	955	1309
CYB561	55	60	26	32	33	31	34	63
CYB561A3	174	264	103	100	50	59	60	86
CYB561D2	195	241	123	85	87	108	123	180
CYB5A	551	750	437	398	170	212	263	367
CYB5B	903	1298	509	430	535	623	830	1072
CYB5D1	238	320	141	155	46	48	60	115
CYB5D2	137	234	118	102	58	77	82	136
CYB5R1	607	894	376	372	121	127	162	259
CYB5R3	340	636	366	290	1164	1189	1688	2336
CYB5R4	893	1267	598	542	254	264	358	423
CYB5RL	130	234	119	134	17	22	24	32
CYBA	705	938	474	425	534	595	740	1351
CYBRD1	54	76	37	33	38	44	43	64
CYC1	3459	5071	2283	1931	1168	1197	1612	2138
CYCS	4385	5876	2750	2708	1439	1699	2236	2937
CYFIP1	2874	3989	1798	1508	1165	1267	1613	2318
CYFIP2	1527	2473	1184	970	1309	1304	1410	2025
CYHR1	204	351	162	155	78	62	105	116
CYLD	1085	1568	782	698	106	155	174	235
CYP20A1	543	798	412	338	119	135	155	231
CYP26A1	76	96	48	43	23	28	48	37
CYP27B1	79	126	67	50	7	3	6	6
CYP2J2	98	115	52	57	55	47	72	88
CYP2R1	189	279	140	130	21	41	34	45
CYP2U1	103	196	75	69	67	77	81	121
CYP39A1	119	185	84	65	23	30	24	29
CYP4V2	160	221	128	126	26	24	30	32
CYP51A1	3360	5033	2473	2346	1249	1518	1710	2225
CYR61	71	143	37	39	244	348	315	398
CYSTM1	169	249	106	66	290	322	397	498
CYTH1	328	498	256	252	78	107	117	124
CYTH2	533	651	285	323	92	92	126	220
CYTH3	217	315	145	133	58	47	75	86
D2HGDH	215	370	195	196	124	128	144	273
DAAM1	317	553	368	361	125	140	168	207
DAAM2	147	248	140	137	93	86	138	168
DAB2	55	73	51	31	114	150	184	248
DAB2IP	206	355	227	187	92	87	129	200
DACH1	253	429	253	204	163	156	205	355
DACT1	75	108	62	62	33	44	65	94
DAD1	1277	1768	700	609	622	749	953	1347
DAG1	1178	1959	949	733	581	635	646	997
DAGLA	90	136	66	62	45	35	22	60
DAGLB	295	479	201	160	132	152	194	267
DAK	382	532	262	215	132	122	134	225
DALRD3	295	409	217	196	78	84	125	163
DAP	45	80	28	29	81	79	107	189
DAP3	2677	3686	1696	1624	1024	1128	1377	1910
DAPK1	762	1166	556	496	179	167	240	317
DAPK3	870	1225	442	422	274	288	431	612
DARS	4434	6053	2673	2553	1349	1616	1960	2287
DARS2	1880	2787	1247	1020	1243	1504	1816	2323
DAXX	1619	2287	1164	1107	242	315	422	581
DAZAP1	3130	4373	1883	1717	1149	1270	1567	2309
DAZAP2	650	976	302	257	640	786	883	1285
DBF4	2842	4100	1713	1495	165	225	231	298
DBF4B	240	445	269	217	58	58	87	129
DBI	1296	1647	469	382	477	519	771	954
DBN1	1752	2319	1106	1041	887	916	1222	1740
DBNDD1	65	56	26	35	21	31	56	52
DBNDD2	232	335	171	139	209	299	302	497
DBNL	1149	1756	837	847	625	645	863	1410
DBP	56	83	36	41	12	19	30	35
DBR1	958	1383	644	592	291	345	425	551
DBT	495	749	477	387	245	255	395	528
DCAF10	467	698	345	298	149	154	207	330
DCAF11	894	1314	542	578	93	91	121	180
DCAF12	1101	1656	849	698	196	229	327	428
DCAF13	3268	4723	2203	2202	996	1183	1491	2068
DCAF15	467	664	252	236	321	309	415	621
DCAF16	631	921	458	407	167	228	278	337
DCAF17	336	554	248	202	89	101	103	158
DCAF4	455	653	296	266	88	102	124	160
DCAF5	745	1018	549	472	182	181	224	351
DCAF6	1874	2728	1312	1209	373	398	537	660
DCAF7	828	1335	693	628	834	945	1176	1851
DCAF8	1668	2512	1321	1184	346	435	604	796
DCAKD	341	511	218	208	263	277	371	481
DCBLD1	337	409	207	211	100	103	120	168
DCBLD2	1368	1905	850	751	145	206	187	299
DCHS1	66	102	71	50	17	8	19	19
DCK	403	614	245	229	283	362	418	551
DCLK2	107	159	119	89	56	47	62	69
DCLRE1A	1297	1839	773	677	147	192	248	286
DCLRE1B	418	567	296	279	105	126	177	241
DCLRE1C	344	524	263	236	49	72	87	109
DCP1A	818	1276	604	522	216	229	300	428
DCP1B	258	357	179	167	118	157	188	263
DCP2	1915	2751	1301	1236	288	323	438	634
DCPS	461	765	364	324	123	133	189	275
DCTD	383	546	290	276	220	268	343	421
DCTN1	5004	6814	3808	3529	1267	1335	1732	2465
DCTN2	1882	2794	1384	1275	1465	1509	1815	2606
DCTN3	644	885	336	377	492	615	835	1051
DCTN4	1466	2053	934	916	841	1002	1206	1750
DCTN5	559	754	449	407	268	281	374	498
DCTN6	447	635	232	242	378	452	618	750
DCTPP1	1125	1323	600	480	487	574	815	1129
DCUN1D1	417	605	343	329	246	316	342	432
DCUN1D2	189	237	139	156	22	31	23	54
DCUN1D3	103	163	72	67	14	11	17	27
DCUN1D4	655	846	482	444	156	155	223	334
DCUN1D5	1817	2294	1185	1173	633	638	831	937
DCXR	1191	1699	856	743	535	611	798	1249
DDA1	242	339	104	131	176	194	264	435
DDAH1	184	331	188	176	505	557	795	967
DDAH2	106	117	64	56	42	46	47	71
DDB1	15904	21733	9228	8317	4430	5007	5873	8467
DDB2	269	397	181	143	210	192	160	277
DDHD1	874	1318	649	603	157	149	206	235
DDHD2	1265	1883	881	842	202	268	308	383
DDI2	669	1007	646	571	272	314	460	623
DDIT3	74	114	53	50	20	13	18	31
DDIT4	156	202	159	137	121	161	219	356
DDOST	5159	7302	2971	2806	2943	2762	3261	4369
DDR1	130	223	104	67	133	113	150	220
DDR2	461	693	363	322	289	270	361	432
DDRGK1	1328	1862	945	1134	529	503	619	947
DDT	1373	2106	974	916	798	869	1076	1572
DDTL	818	1251	600	591	637	678	900	1226
DDX1	7419	10314	5183	5097	2323	2539	3124	4269
DDX10	2866	3838	1971	2032	537	581	652	937
DDX11	2668	3943	2155	2033	609	593	688	990
DDX17	12422	18268	9770	9584	3359	3738	4724	7104
DDX18	5816	7974	3950	3875	1389	1563	1749	2485
DDX19B	1870	2520	1107	1019	445	505	520	779
DDX20	2721	3980	1677	1559	636	926	972	1466
DDX21	15620	21598	9811	9500	4507	5293	6109	8073
DDX23	3898	5528	2587	2600	793	878	1219	1712
DDX24	5403	8103	3999	3708	2453	2768	3391	5189
DDX26B	449	698	298	290	62	73	82	94
DDX27	2896	3872	2012	2030	962	1004	1286	1928
DDX28	618	833	386	301	255	256	321	492
DDX31	918	1335	622	565	295	327	412	608
DDX39A	3043	4220	2030	1852	1330	1558	1933	2853
DDX39B	8942	12985	6189	5477	4130	4203	5002	7781
DDX3X	12828	17812	8277	7999	3912	4536	4801	6991
DDX3Y	234	298	237	197	174	213	164	335
DDX41	1491	1908	896	875	283	254	356	565
DDX42	3676	5053	2672	2458	1032	1189	1513	2005
DDX46	5053	6347	3728	3795	2325	2562	3108	4052
DDX47	2588	3763	1760	1689	930	1014	1274	1741
DDX49	1890	2658	1176	1110	480	517	568	913
DDX5	20603	29570	14827	14776	6264	7310	7844	11791
DDX50	2595	3737	1744	1702	728	801	1038	1290
DDX51	526	748	379	370	197	218	267	430
DDX52	1662	2465	1228	1104	691	788	989	1217
DDX54	3063	4027	1789	1931	781	926	1241	1855
DDX55	1307	1894	1124	1028	282	281	347	489
DDX56	3102	4646	1946	1668	1749	1923	2320	3499
DDX58	170	229	119	104	36	44	45	57
DDX59	766	1117	427	353	150	178	190	251
DDX6	3407	5340	2775	2343	1373	1664	1754	2524
DDX60	106	122	79	61	51	45	78	85
DEAF1	1670	2406	1067	1048	64	67	115	144
DECR1	487	718	339	338	53	58	88	88
DECR2	84	104	49	42	48	23	60	63
DEDD	375	551	290	197	103	113	145	213
DEDD2	128	159	80	70	65	63	125	173
DEF8	667	928	449	421	166	182	246	384
DEGS1	3437	4742	1862	1634	1441	1737	1840	2970
DEK	7237	9807	5081	5133	2446	3030	3636	4400
DENND1A	321	612	329	292	81	109	161	216
DENND1B	511	674	336	293	40	46	39	72
DENND2C	503	736	359	304	66	70	87	110
DENND3	139	255	133	112	70	67	94	98
DENND4A	1636	2496	1272	1105	298	336	402	535
DENND4B	554	965	545	397	141	88	121	197
DENND4C	2274	3384	1668	1492	332	403	431	601
DENND5A	3100	4421	2071	1890	109	105	114	161
DENND5B	728	1044	521	471	259	288	344	500
DENND6A	1461	2213	1055	1005	169	224	258	363
DENR	2169	2669	1289	1259	792	985	1203	1748
DEPDC1	4442	6247	2859	2689	649	810	918	1139
DEPDC1B	1213	1763	768	796	229	277	354	447
DEPDC5	523	856	436	384	62	78	82	90
DEPDC7	409	606	318	268	127	152	200	239
DEPTOR	81	105	55	46	19	22	24	26
DERA	573	791	367	354	291	288	408	484
DERL1	442	702	267	217	364	342	413	642
DERL2	396	546	260	180	277	265	289	466
DERL3	53	74	23	23	71	75	100	124
DESI1	445	677	294	286	227	222	302	406
DESI2	894	1251	575	583	190	191	261	331
DET1	230	337	148	122	24	36	41	63
DFFA	2197	3168	1449	1312	529	629	854	1052
DFFB	220	340	172	141	110	117	143	227
DFNA5	54	77	45	26	57	66	56	76
DFNB31	87	142	107	71	27	31	40	48
DGAT1	222	296	128	85	77	100	104	169
DGCR14	853	1207	597	629	216	206	284	438
DGCR2	1021	1396	631	520	196	212	246	413
DGCR6	559	813	401	385	80	87	119	169
DGCR6L	1073	1485	717	708	107	126	161	226
DGCR8	1774	2453	1277	1287	155	159	179	294
DGKA	67	94	56	51	39	36	54	46
DGKD	844	1266	630	554	132	115	172	210
DGKE	432	681	344	309	189	195	195	323
DGKH	710	1155	701	547	202	237	256	374
DGKQ	286	344	215	166	20	12	22	35
DGKZ	1136	1726	871	801	152	115	196	265
DGUOK	666	922	391	342	289	336	345	507
DHCR24	2254	3406	1598	1402	1587	1691	2086	3711
DHCR7	1316	1849	767	617	601	669	836	1310
DHDDS	320	437	212	215	144	181	196	290
DHFR	2801	3816	1839	1844	1626	1824	2389	3093
DHFRL1	77	102	63	48	175	141	192	269
DHODH	243	367	183	175	93	59	118	141
DHPS	729	1015	420	383	448	453	591	812
DHRS1	78	121	67	51	79	68	111	141
DHRS11	98	149	93	81	62	78	64	86
DHRS13	91	118	57	55	52	54	76	121
DHRS3	254	332	205	170	111	126	131	205
DHRS4	468	657	335	320	143	149	195	339
DHRS7	1064	1468	656	572	307	322	402	595
DHRS7B	648	879	435	368	150	149	188	286
DHRSX	308	430	198	196	140	202	160	270
DHTKD1	1472	2320	1128	943	395	465	548	719
DHX15	9867	13936	5960	5675	2863	3173	3473	5505
DHX16	2363	3262	1467	1351	750	808	1082	1584
DHX29	3143	4368	2073	1980	473	566	649	891
DHX30	7242	10645	5092	4386	1091	1221	1503	2411
DHX32	1007	1387	661	609	292	281	337	487
DHX33	846	1646	961	762	529	612	760	963
DHX34	936	1416	653	633	161	193	229	377
DHX35	598	882	450	387	119	131	184	193
DHX36	2470	4026	2457	2252	919	1142	1280	1773
DHX37	2054	2882	1409	1326	487	466	610	1037
DHX38	2806	3644	1928	1796	421	455	624	910
DHX40	3322	4612	2222	2010	953	1063	1228	1691
DHX57	2281	3485	1759	1623	484	541	651	878
DHX8	3206	4812	2385	2204	893	1034	1209	1685
DHX9	28412	40485	17928	16312	5938	6876	7436	11119
