	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek
NDUFB5	340	388	499	513
NDUFB6	778	922	1130	1067
NDUFB7	478	610	627	624
NDUFB8	1142	1410	1397	1304
NDUFB9	1114	1603	1899	1939
NDUFC1	232	342	303	222
NDUFC2-KCTD14	349	402	403	352
NDUFS1	2295	2842	3154	2805
NDUFS2	1510	2089	2358	2183
NDUFS3	1021	1315	1339	1273
NDUFS4	405	502	519	499
NDUFS5	1629	2056	2161	2317
NDUFS6	367	505	543	617
NDUFS7	414	513	456	427
NDUFS8	723	995	850	780
NDUFV1	2093	2582	2711	2564
NDUFV2	777	947	967	834
NDUFV3	653	822	928	825
NEB	41	55	58	59
NEBL	64	94	86	91
NECAB3	81	114	120	96
NECAP1	241	305	299	301
NECAP2	243	330	323	291
NEDD1	570	699	769	707
NEDD4	182	221	230	197
NEDD4L	114	164	199	154
NEDD8-MDP1	356	466	574	498
NEFL	262	299	330	343
NEFM	319	395	554	540
NEIL1	50	61	71	66
NEIL2	59	77	75	69
NEIL3	544	616	735	688
NEK1	682	851	1112	1009
NEK10	61	97	118	92
NEK11	53	67	74	87
NEK2	826	992	1097	1104
NEK3	255	289	312	298
NEK4	1388	1677	1846	1703
NEK6	177	240	260	225
NEK7	324	372	372	332
NEK8	39	42	52	44
NEK9	1020	1254	1574	1361
NELFA	278	386	355	357
NELFB	720	801	894	860
NELFCD	1028	1328	1272	1302
NELFE	858	1008	1058	953
NELL2	365	461	523	496
NEMF	1137	1483	1652	1565
NENF	460	513	627	576
NEO1	518	780	926	774
NES	37	40	57	42
NET1	1110	1407	1280	1303
NETO2	845	1118	1182	1042
NEU1	282	349	321	318
NEU3	213	257	298	242
NEURL4	588	791	1029	916
NEXN	38	51	45	59
NF1	1650	2331	3358	2799
NF2	992	1340	1710	1572
NFAT5	585	812	1029	882
NFATC1	25	27	58	43
NFATC2IP	222	321	389	321
NFATC3	741	1024	1084	870
NFATC4	38	43	49	33
NFE2L1	691	862	925	897
NFE2L2	451	548	724	617
NFE2L3	120	181	187	157
NFIA	206	231	322	326
NFIB	74	98	143	113
NFIC	17	26	61	50
NFIL3	126	155	160	139
NFIX	29	39	95	73
NFKB1	572	710	806	789
NFKB2	59	91	110	100
NFKBIA	206	269	219	217
NFKBIB	132	182	238	191
NFKBIE	45	59	52	56
NFKBIL1	102	134	149	135
NFKBIZ	70	81	54	62
NFRKB	996	1294	1507	1245
NFS1	286	388	434	369
NFU1	428	595	529	532
NFX1	877	1146	1467	1255
NFXL1	484	690	876	836
NFYA	172	246	300	237
NFYB	264	329	307	298
NFYC	287	447	439	387
NGDN	918	1142	1177	1218
NGEF	37	56	58	51
NGFRAP1	1789	2311	2799	2868
NGLY1	862	1015	1154	1058
NGRN	922	1277	1199	1198
NHEJ1	165	222	228	179
NHLRC2	620	771	988	821
NHLRC3	142	172	185	186
NHP2	1474	2115	1952	1949
NHP2L1	587	781	744	598
NHSL1	130	186	231	201
NICN1	36	33	35	26
NID1	573	793	1157	951
NID2	114	171	202	188
NIF3L1	578	684	643	569
NIN	2002	2615	3249	3116
NINL	204	255	361	353
NIP7	483	643	729	645
NIPA1	31	39	39	33
NIPA2	582	747	690	616
NIPAL1	41	51	62	51
NIPAL2	15	24	32	30
NIPAL3	189	247	266	227
NIPBL	1882	2598	3510	3100
NIPSNAP1	508	625	618	561
NIPSNAP3B	34	49	55	36
NISCH	933	1288	1474	1296
NIT1	212	262	243	223
NIT2	526	658	589	559
NKAP	661	799	890	842
NKD2	43	52	76	63
NKIRAS1	81	110	127	139
NKIRAS2	130	206	229	228
NKRF	1230	1560	1785	1647
NKTR	2388	3006	3592	3106
NKX2-5	104	143	126	111
NKX6-1	25	42	37	43
NLE1	486	574	571	454
NLGN1	124	153	163	144
NLGN2	28	55	123	86
NLK	116	162	148	101
NLN	971	1240	1323	1252
NLRP14	31	32	43	46
NLRX1	210	258	312	258
NMB	31	43	36	30
NMD3	1006	1298	1491	1462
NME1-NME2	5656	6908	6590	6114
NME3	149	181	219	192
NME4	453	512	642	542
NME6	131	163	168	128
NME7	283	303	359	352
NMNAT1	102	129	110	139
NMRAL1	209	248	258	219
NMRK1	51	50	56	43
NMT1	1228	1413	1381	1285
NMT2	346	419	478	484
NMU	90	104	106	90
NNT	1374	1688	1846	1583
NOA1	575	724	791	762
NOB1	570	847	833	776
NOC2L	2815	3611	3350	3431
NOC3L	1844	2242	2371	2219
NOC4L	269	450	408	335
NOD1	68	81	70	80
NOL10	1510	1964	2206	2113
NOL11	3257	3974	3973	3562
NOL12	458	544	566	636
NOL6	730	974	999	822
NOL7	1450	1864	1993	2113
NOL8	1404	1830	2330	2164
NOL9	908	1218	1352	1132
NOLC1	2904	3933	4035	3856
NOM1	458	624	713	727
NOMO1	5279	6877	7333	6430
NOMO2	5401	7021	7536	6695
NOMO3	5337	6950	7417	6522
NONO	7865	10000	10601	10192
NOP10	214	294	220	183
NOP14	2706	3437	3787	3841
NOP16	744	906	1019	1056
NOP2	1771	2334	2376	2284
NOP56	6519	7988	8550	8094
NOP58	3735	4505	5123	5025
NOP9	424	544	628	577
NOS1AP	22	27	56	34
NOS2	25	27	37	25
NOSIP	700	818	840	733
NOTCH1	166	203	324	231
NOTCH2	2814	3469	4871	4202
NOTCH2NL	306	359	553	465
NOTCH3	87	120	231	151
NOVA1	25	34	60	58
NPAS1	39	50	68	58
NPAS2	20	31	41	29
NPAT	1128	1467	1494	1213
NPC1	409	483	611	520
NPC2	198	273	255	240
NPDC1	106	107	151	133
NPEPL1	34	39	63	61
NPEPPS	1819	2141	3497	3046
NPHP1	156	172	191	162
NPHP3	465	551	721	682
NPHP4	202	221	337	252
NPIP	1365	1999	2294	1813
NPIPL1	200	279	606	472
NPIPL2	66	96	180	130
NPIPL3	487	753	1666	1358
NPL	44	73	71	84
NPLOC4	1213	1454	1508	1350
NPM1	47134	57245	61697	62402
NPM3	671	800	865	895
NPNT	48	63	75	58
NPRL2	336	416	422	357
NPRL3	76	85	167	110
NPTN	473	565	613	541
NPTX1	94	119	163	156
NPTX2	66	91	89	69
NQO1	80	73	105	97
NQO2	167	228	270	235
NR1D2	723	910	1113	986
NR1H2	138	137	149	135
NR1H3	67	89	86	85
NR2C1	496	583	718	633
NR2C2	241	337	449	349
NR2C2AP	63	82	73	81
NR2F1	129	166	169	154
NR2F2	130	149	261	210
NR2F6	142	151	246	215
NR3C1	444	546	668	586
NR3C2	206	278	284	270
NR6A1	140	180	239	186
NRARP	22	28	35	38
NRAS	574	733	725	572
NRBF2	200	260	243	215
NRBP1	837	1010	997	866
NRBP2	28	32	28	25
NRCAM	88	120	189	167
NRD1	2387	2963	3734	3390
NRDE2	725	878	1094	1020
NRF1	300	408	443	388
NRIP1	622	799	771	693
NRIP3	83	81	104	76
NRN1	91	127	107	99
NRP1	347	486	471	477
NRP2	82	109	117	84
NRSN2	37	41	58	55
NRXN3	61	77	107	97
NSA2	1524	1941	1895	1798
NSD1	4831	5830	7965	7490
NSDHL	574	773	634	550
NSF	1500	1882	2242	2093
NSFL1C	501	654	652	602
NSL1	600	780	807	752
NSMAF	482	634	690	591
NSMCE1	405	471	522	516
NSMCE2	286	341	300	316
NSMCE4A	797	995	1036	1026
NSMF	449	552	606	479
NSRP1	168	204	199	216
NSUN2	1829	2425	2828	2849
NSUN3	248	301	358	322
NSUN4	184	197	231	210
NSUN5	451	582	598	633
NSUN6	305	392	461	433
NT5C	183	204	219	194
NT5C1B-RDH14	177	228	209	224
NT5C2	314	474	445	392
NT5C3A	372	466	412	386
NT5C3B	1240	1550	1334	1129
NT5DC1	718	827	894	778
NT5DC2	1302	1680	1798	1586
NT5DC3	195	275	329	327
NTAN1	184	206	217	169
NTHL1	452	533	672	690
NTMT1	467	464	461	485
NTN1	53	78	75	80
