	ribo_tmisrib_a	ribo_tmisrib_b	ribo_untr_a	ribo_untr_b
NCS1	140	125	156	260
NCSTN	834	854	941	1259
NDC1	857	963	1137	1527
NDC80	530	653	743	970
NDE1	107	111	164	238
NDEL1	82	85	132	155
NDFIP1	867	851	1022	1476
NDFIP2	368	400	528	793
NDNF	104	121	144	178
NDNL2	160	184	246	398
NDOR1	129	137	157	290
NDRG1	1068	1130	1475	1696
NDRG2	160	172	168	238
NDRG3	369	416	541	683
NDRG4	44	38	67	82
NDST1	117	116	128	195
NDST2	52	49	66	84
NDUFA1	837	831	1011	1499
NDUFA10	1234	1343	1657	2408
NDUFA11	932	1141	1567	2384
NDUFA12	783	890	1027	1405
NDUFA2	583	642	852	1175
NDUFA3	233	248	371	565
NDUFA4	1007	1135	1340	1884
NDUFA5	527	579	731	907
NDUFA6	575	536	789	1053
NDUFA7	526	606	765	1028
NDUFA8	610	696	925	1269
NDUFA9	1714	1827	2313	3147
NDUFAB1	1218	1343	1654	2153
NDUFAF1	243	272	336	464
NDUFAF2	222	274	350	407
NDUFAF3	428	494	783	1134
NDUFAF4	511	629	712	1067
NDUFAF5	74	112	161	189
NDUFAF6	69	66	125	117
NDUFAF7	153	161	208	301
NDUFB1	748	1015	1182	1776
NDUFB10	807	986	1253	1633
NDUFB11	1029	1068	1549	2249
NDUFB2	744	764	1071	1547
NDUFB3	363	378	537	772
NDUFB4	665	872	1127	1498
NDUFB5	487	533	599	840
NDUFB6	431	467	580	873
NDUFB7	642	625	767	1526
NDUFB8	1695	1840	2446	3660
NDUFB9	1019	1079	1152	2059
NDUFC1	181	181	281	368
NDUFC2-KCTD14	461	465	580	906
NDUFS1	2527	2805	3241	4317
NDUFS2	1593	1603	2105	2985
NDUFS3	884	908	1106	1636
NDUFS4	288	345	466	539
NDUFS5	1553	1798	2030	3469
NDUFS6	742	624	803	1611
NDUFS7	520	553	760	1185
NDUFS8	941	1010	1326	1704
NDUFV1	1018	1069	1377	2025
NDUFV2	1113	1379	1943	2326
NDUFV3	444	524	663	921
NEB	4	1	9	1
NEBL	70	49	70	81
NECAB3	61	71	75	123
NECAP1	295	331	403	522
NECAP2	196	194	289	466
NEDD1	444	568	663	827
NEDD4	156	171	219	255
NEDD4L	233	278	313	445
NEDD8-MDP1	190	181	245	447
NEFL	731	742	796	1157
NEFM	90	100	187	172
NEIL1	23	17	26	32
NEIL2	35	43	52	82
NEIL3	282	305	393	533
NEK1	163	184	237	291
NEK10	14	24	19	40
NEK11	22	15	23	44
NEK2	394	428	495	640
NEK3	125	167	219	272
NEK4	204	188	264	333
NEK6	154	210	301	393
NEK7	183	174	202	312
NEK8	20	15	16	23
NEK9	455	482	503	760
NELFA	232	204	268	432
NELFB	397	419	577	801
NELFCD	836	855	1178	1674
NELFE	717	817	1131	1489
NELL2	297	317	312	490
NEMF	409	504	589	765
NENF	200	212	266	394
NEO1	745	772	776	1119
NES	6	3	4	22
NET1	648	661	834	1102
NETO2	159	187	226	253
NEU1	260	241	313	560
NEU3	76	95	167	219
NEURL4	215	203	314	498
NEXN	76	86	85	99
NF1	830	858	1046	1190
NF2	220	217	297	375
NFAT5	346	373	558	644
NFATC1	114	118	166	193
NFATC2IP	177	176	252	394
NFATC3	209	213	284	390
NFATC4	44	50	57	88
NFE2L1	779	867	1004	1435
NFE2L2	371	521	654	902
NFE2L3	192	230	231	302
NFIA	222	239	285	443
NFIB	220	269	299	391
NFIC	176	203	246	350
NFIL3	69	81	74	92
NFIX	124	139	170	263
NFKB1	150	175	257	399
NFKB2	113	122	192	255
NFKBIA	211	217	195	305
NFKBIB	182	201	278	465
NFKBIE	47	55	83	105
NFKBIL1	68	89	126	178
NFKBIZ	16	17	10	26
NFRKB	383	406	508	675
NFS1	235	281	329	431
NFU1	318	463	523	668
NFX1	299	311	446	627
NFXL1	352	393	512	719
NFYA	202	206	271	404
NFYB	172	208	295	367
NFYC	540	644	794	1126
NGDN	365	393	488	682
NGEF	107	85	104	150
NGFRAP1	635	630	739	1555
NGLY1	229	259	336	459
NGRN	70	117	134	214
NHEJ1	185	170	226	285
NHLRC2	622	672	785	1061
NHLRC3	140	153	128	188
NHP2	982	1126	1535	2182
NHP2L1	1141	1289	1691	2243
NHSL1	252	298	329	453
NICN1	22	29	24	43
NID1	787	818	876	1270
NID2	234	258	292	414
NIF3L1	292	299	376	507
NIN	264	292	303	471
NINL	41	42	42	67
NIP7	240	282	325	539
NIPA1	86	85	100	146
NIPA2	234	259	311	384
NIPAL1	50	59	60	103
NIPAL2	10	8	11	23
NIPAL3	140	123	149	205
NIPBL	866	978	959	1382
NIPSNAP1	519	498	770	945
NIPSNAP3B	44	52	71	89
NISCH	354	354	513	668
NIT1	208	249	334	403
NIT2	300	315	323	517
NKAP	491	517	709	822
NKD2	26	41	41	78
NKIRAS1	135	127	176	218
NKIRAS2	164	181	234	347
NKRF	758	931	1016	1366
NKTR	207	242	288	407
NKX2-5	98	116	149	229
NKX6-1	38	30	54	82
NLE1	302	323	470	685
NLGN1	38	40	44	43
NLGN2	46	35	34	68
NLK	31	32	43	61
NLN	418	470	564	710
NLRP14	3	1	2	1
NLRX1	72	69	92	116
NMB	18	11	26	45
NMD3	538	634	751	1041
NME1-NME2	7184	8370	10748	15292
NME3	182	222	281	474
NME4	401	405	553	815
NME6	72	80	119	150
NME7	198	204	271	401
NMNAT1	44	53	56	114
NMRAL1	0	0	2	1
NMRK1	22	24	29	24
NMT1	920	957	1229	1833
NMT2	194	197	290	312
NMU	203	227	309	333
NNT	326	389	388	537
NOA1	221	225	331	418
NOB1	404	461	658	909
NOC2L	2447	2573	3354	5116
NOC3L	752	915	1134	1504
NOC4L	507	463	651	1056
NOD1	13	5	15	11
NOL10	553	579	704	924
NOL11	1935	2394	2786	3652
NOL12	175	193	274	445
NOL6	481	502	650	975
NOL7	864	1146	1401	1981
NOL8	282	346	385	569
NOL9	957	1068	1274	1840
NOLC1	3090	3789	4654	6308
NOM1	245	294	363	510
NOMO1	3864	3952	4528	6274
NOMO2	3868	3980	4507	6275
NOMO3	3843	3960	4538	6278
NONO	7498	8284	9583	15014
NOP10	317	433	520	727
NOP14	969	972	1196	1873
NOP16	368	383	540	736
NOP2	1209	1417	1636	2549
NOP56	1657	1816	1874	2928
NOP58	1345	1557	1675	2400
NOP9	187	189	193	393
NOS1AP	65	54	81	151
NOS2	49	46	56	71
NOSIP	450	526	698	1088
NOTCH1	276	247	241	473
NOTCH2	1210	1393	1316	2076
NOTCH2NL	122	113	128	203
NOTCH3	302	273	318	350
NOVA1	28	38	45	63
NPAS1	52	49	78	86
NPAS2	21	15	25	33
NPAT	260	320	438	540
NPC1	566	573	590	790
NPC2	252	363	491	605
NPDC1	175	129	170	313
NPEPL1	3	2	1	3
NPEPPS	2179	2310	2888	4157
NPHP1	41	47	66	92
NPHP3	177	186	177	267
NPHP4	129	118	111	190
NPIP	94	37	38	16
NPIPL1	47	16	15	29
NPIPL2	11	2	3	7
NPIPL3	96	68	56	57
NPL	13	6	18	19
NPLOC4	669	776	842	1248
NPM1	15694	17775	20215	32432
NPM3	255	277	361	584
NPNT	80	87	100	154
NPRL2	140	153	182	266
NPRL3	396	400	530	727
NPTN	534	575	595	877
NPTX1	194	206	240	362
NPTX2	100	85	97	128
NQO1	43	68	84	90
NQO2	195	202	262	334
NR1D2	425	456	517	641
NR1H2	56	37	88	122
NR1H3	18	34	31	49
NR2C1	275	368	494	685
NR2C2	130	130	207	271
NR2C2AP	53	75	81	137
NR2F1	101	111	175	268
NR2F2	218	244	334	508
NR2F6	195	201	316	464
NR3C1	424	457	558	784
NR3C2	142	175	183	222
NR6A1	18	22	20	29
NRARP	52	56	84	102
NRAS	357	430	575	706
NRBF2	129	153	186	263
NRBP1	452	538	764	950
NRBP2	19	14	14	30
NRCAM	282	328	324	448
NRD1	1868	1984	2478	3349
NRDE2	313	385	369	594
NRF1	192	264	278	392
NRIP1	177	163	211	319
NRIP3	51	39	54	76
NRN1	80	95	114	180
NRP1	353	387	400	728
NRP2	93	95	136	188
NRSN2	158	170	273	361
NRXN3	39	29	48	53
NSA2	850	970	1245	1696
NSD1	866	876	1091	1553
NSDHL	368	495	593	908
NSF	1047	1115	1338	1951
NSFL1C	595	612	765	1229
NSL1	224	278	375	423
NSMAF	59	87	86	134
NSMCE1	251	255	320	378
NSMCE2	110	177	176	244
NSMCE4A	414	457	614	840
NSMF	55	54	65	94
NSRP1	254	320	336	483
NSUN2	1627	1792	2222	3064
NSUN3	127	141	202	239
NSUN4	133	131	175	280
NSUN5	298	319	461	672
NSUN6	132	140	179	234
NT5C	116	140	171	253
NT5C1B-RDH14	85	93	108	130
NT5C2	349	397	481	684
NT5C3A	265	303	349	376
NT5C3B	204	235	238	376
NT5DC1	578	658	842	1037
NT5DC2	444	440	595	943
NT5DC3	157	164	197	272
NTAN1	51	53	62	75
NTHL1	245	264	295	455
NTMT1	439	474	650	949
NTN1	168	166	229	388
NTPCR	298	330	418	648
NUAK1	69	63	66	111
NUB1	980	1105	1425	1813
NUBP1	131	141	193	255
NUBP2	222	212	282	504
NUBPL	154	167	186	261
NUCB1	473	514	719	1041
NUCB2	442	474	579	681
NUCKS1	2125	2335	2649	4137
NUDC	2586	2810	3599	5529
NUDCD1	386	426	601	757
NUDCD2	319	339	369	509
NUDCD3	353	384	445	726
NUDT1	180	216	238	401
NUDT10	49	59	76	133
NUDT11	53	66	84	146
NUDT12	333	382	410	622
NUDT13	10	13	13	16
NUDT14	40	50	57	112
NUDT15	186	226	303	453
NUDT16	66	78	95	123
NUDT16L1	148	142	195	306
NUDT17	17	16	24	25
NUDT19	1219	1318	1699	2572
NUDT2	61	71	96	112
NUDT21	945	1071	1265	1752
NUDT22	39	44	57	78
NUDT4	405	506	557	740
NUDT5	843	984	1234	1882
NUDT6	31	27	49	59
NUDT7	25	47	59	55
NUDT8	21	39	39	66
NUDT9	158	161	235	301
NUF2	579	742	846	1201
NUFIP1	303	315	370	551
NUFIP2	525	579	747	1171
NUMA1	1314	1406	1780	2664
NUMB	180	180	252	416
NUMBL	111	130	195	265
NUP107	1927	2298	2767	3750
NUP133	1805	2054	2381	3476
NUP153	1752	2095	2646	3492
NUP155	3864	4312	5325	6458
NUP160	1311	1432	1728	2484
NUP188	2545	2808	3433	4706
NUP205	3287	3518	4235	5768
NUP210	1953	1769	2088	2977
NUP214	1348	1447	1617	2586
NUP35	291	324	405	551
NUP37	778	896	1039	1534
NUP43	1003	1195	1515	1987
NUP50	522	519	736	969
NUP54	534	622	728	985
NUP62	488	583	799	1154
NUP62CL	97	100	178	176
NUP85	800	848	1083	1479
NUP88	1053	1259	1515	1912
NUP93	1081	1144	1374	1963
NUP98	1441	1726	2025	2909
NUPL1	998	1083	1332	1654
NUPL2	335	436	496	828
