	tm_a_hek	tm_b_hek	untr_a_hek	untr_b_hek	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
ALG12	219	278	342	276	108	71	158	279
ALG13	677	898	1293	1158	340	236	533	687
ALG14	185	206	250	257	58	45	110	119
ALG1L	20	52	49	50	20	10	37	73
ALG2	232	317	302	266	107	77	174	259
ALG3	172	250	248	225	291	164	529	836
ALG5	510	680	667	659	298	185	498	762
ALG6	925	1162	1077	1031	163	116	357	554
ALG8	975	1283	1146	1002	550	309	876	1286
ALG9	245	301	282	282	105	59	155	298
ALKBH1	192	234	238	178	105	79	188	257
ALKBH2	314	406	350	358	70	63	151	224
ALKBH3	322	360	379	324	70	32	149	169
ALKBH4	80	121	141	134	95	57	141	263
ALKBH5	1437	1776	1864	1670	177	105	321	550
ALKBH6	79	98	98	80	229	153	325	419
ALKBH7	95	117	131	105	58	49	163	239
ALKBH8	473	563	710	627	55	44	107	135
ALMS1	2846	3805	4617	3768	329	253	574	680
ALPK1	112	127	144	111	24	23	42	49
ALS2	595	774	870	730	136	91	234	300
ALS2CR8	41	49	72	44	0	2	5	2
ALX1	96	123	113	100	113	66	139	162
ALX4	28	37	48	42	15	13	34	51
ALYREF	1870	2395	2730	2691	1581	1103	3267	4511
AMACR	112	127	122	134	64	59	135	172
AMBRA1	619	813	877	783	218	160	377	501
AMD1	2605	3052	3338	3070	372	279	647	829
AMDHD2	112	172	177	154	60	46	95	140
AMER1	292	345	446	398	39	22	56	110
AMFR	849	1131	1263	1116	314	198	680	900
AMH	57	54	124	116	8	7	22	39
AMIGO1	52	37	52	37	11	6	18	17
AMIGO3	65	90	80	77	0	0	2	0
AMMECR1	147	233	236	201	72	70	125	226
AMMECR1L	149	154	184	181	54	46	94	140
AMN1	71	92	87	79	34	31	91	75
AMOT	3386	4707	5288	4273	63	58	112	129
AMOTL1	520	687	705	669	306	201	604	875
AMOTL2	82	103	113	92	81	62	134	249
AMPD2	430	573	598	527	201	139	376	507
AMPH	58	70	76	67	52	26	80	119
AMY2B	27	17	36	27	0	0	1	0
AMZ2	867	1042	1059	920	133	81	315	390
ANAPC1	4885	5895	6132	5290	832	610	1534	1837
ANAPC10	182	299	247	207	134	86	226	288
ANAPC11	150	193	179	164	199	157	443	635
ANAPC13	156	181	232	256	77	52	133	192
ANAPC15	175	262	233	216	52	28	104	142
ANAPC16	247	278	344	308	154	119	274	442
ANAPC2	313	355	462	439	235	155	341	607
ANAPC4	624	783	829	770	201	175	478	579
ANAPC5	3619	4516	4398	3998	1127	758	2049	2428
ANAPC7	1353	1653	1740	1477	1007	761	1550	2434
ANGEL1	332	374	546	467	135	86	194	278
ANGEL2	628	790	740	724	158	112	222	321
ANK1	121	197	213	188	27	17	53	92
ANK2	472	580	657	568	177	135	351	438
ANK3	319	389	524	495	162	90	226	284
ANKAR	100	160	168	166	0	0	1	0
ANKEF1	143	178	212	188	38	29	76	85
ANKFY1	746	936	1450	1247	536	425	973	1339
ANKH	145	188	210	175	56	48	129	164
ANKHD1-EIF4EBP3	2266	3050	4324	3624	1457	997	2391	3135
ANKIB1	601	761	852	817	53	48	151	173
ANKLE2	1461	1856	2170	2013	379	262	829	1134
ANKMY1	88	95	121	101	13	6	10	6
ANKMY2	217	252	284	292	138	95	276	314
ANKRA2	63	104	92	78	26	29	63	67
ANKRD10	322	422	449	414	48	36	114	146
ANKRD11	1180	1603	2536	2236	223	163	404	606
ANKRD12	381	549	601	625	69	53	121	160
ANKRD13A	418	518	540	499	148	100	316	425
ANKRD13B	63	74	133	99	51	40	148	212
ANKRD13C	800	1050	1106	1007	110	93	179	256
ANKRD13D	98	121	135	136	17	8	30	41
ANKRD16	83	75	82	71	29	22	46	84
ANKRD17	3538	4499	5841	5061	1273	903	1854	2460
ANKRD18A	547	736	1413	1276	57	50	71	77
ANKRD18B	185	241	464	468	10	9	16	16
ANKRD20A3	308	461	776	777	77	61	147	168
ANKRD20A4	119	167	272	269	28	22	49	56
ANKRD23	25	28	50	43	6	2	0	3
ANKRD26	787	1136	1333	1178	189	138	406	475
ANKRD27	576	729	793	784	183	96	421	554
ANKRD28	889	1188	1411	1224	353	228	588	751
ANKRD31	22	42	48	42	10	7	18	16
ANKRD32	672	866	993	824	185	148	364	485
ANKRD36	2801	3594	4886	4703	36	33	70	77
ANKRD36B	1930	2371	3208	3076	30	19	40	65
ANKRD36C	695	814	1139	1102	10	1	4	4
ANKRD39	69	72	76	78	66	28	96	155
ANKRD40	461	571	632	568	127	91	213	319
ANKRD42	43	48	47	39	19	10	48	48
ANKRD44	97	113	97	100	28	19	66	71
ANKRD46	121	131	132	113	103	87	213	331
ANKRD49	126	135	168	156	23	23	28	52
ANKRD50	631	895	1098	976	163	118	284	361
ANKRD52	642	764	1655	1324	552	376	1027	1493
ANKRD54	100	120	142	123	109	60	162	251
ANKRD6	106	152	150	129	34	17	56	58
ANKS1A	269	395	484	384	235	166	356	536
ANKS1B	21	24	38	32	5	3	25	24
ANKS3	140	151	193	204	32	24	59	120
ANKS6	282	338	437	400	53	32	106	146
ANKZF1	252	325	393	352	124	112	209	330
ANLN	2633	3291	3295	2868	1073	843	1654	2221
ANO10	424	570	687	613	91	67	221	278
ANO5	382	443	486	475	166	132	255	350
ANO6	442	598	585	532	192	144	425	542
ANO8	39	56	73	61	18	24	47	57
ANP32A	2016	2745	2543	2613	1268	917	2586	3279
ANP32B	679	809	1525	1437	819	596	1590	2483
ANP32C	61	92	62	58	269	219	639	704
ANP32E	1050	1336	1304	1564	805	627	1495	2295
ANTXR1	205	268	375	333	128	74	238	362
ANTXR2	62	67	90	79	64	44	132	194
ANXA1	56	69	47	63	347	295	532	877
ANXA11	600	744	799	715	575	423	1353	1767
ANXA2	968	1189	1188	1179	1960	1468	3955	5052
ANXA4	105	152	141	122	110	63	207	302
ANXA5	2440	2914	2983	2859	1259	841	2306	3244
ANXA6	1518	1775	1872	1652	901	607	1900	2408
ANXA7	1183	1389	1509	1265	953	706	1693	2229
AOC2	46	58	87	67	2	1	2	3
AP1AR	351	417	471	472	55	32	94	98
AP1B1	1387	1857	2085	1875	1243	886	2480	3412
AP1G1	1097	1374	1854	1527	762	572	1169	1599
AP1G2	241	290	387	332	77	53	127	143
AP1M1	418	567	484	393	537	404	1108	1612
AP1S1	209	284	327	327	301	184	583	781
AP1S2	255	326	425	398	261	178	520	597
AP1S3	59	61	78	65	50	33	134	173
AP2A1	540	818	983	770	308	204	690	1014
AP2A2	540	662	770	658	363	259	828	1132
AP2B1	1140	1420	2084	1763	1122	824	2227	3068
AP2M1	2403	3050	2880	2753	923	633	2054	2827
AP2S1	914	1121	1100	1046	538	373	1157	1531
AP3B1	1250	1604	1831	1798	537	374	1154	1533
AP3B2	30	20	41	45	26	10	19	38
AP3D1	1295	1861	2135	1873	854	605	1760	2549
AP3M1	629	843	891	776	646	488	1298	1684
AP3M2	299	385	446	407	145	100	254	354
AP3S1	540	655	733	657	319	265	789	994
AP4B1	363	416	522	512	151	99	237	336
AP4E1	386	492	596	532	122	109	215	297
AP4M1	67	85	77	76	58	44	87	171
AP4S1	27	40	33	33	9	9	31	33
AP5B1	183	229	287	250	58	55	126	197
AP5M1	493	606	584	530	107	84	158	218
AP5S1	65	95	117	88	72	45	110	164
AP5Z1	147	199	234	204	56	38	74	158
APAF1	421	613	746	708	324	211	541	669
APBA2	304	364	443	365	87	69	175	285
APBA3	105	96	138	134	28	22	69	74
APBB1	540	719	722	621	247	117	423	599
APBB2	91	133	142	135	70	32	127	154
APBB3	55	57	70	68	13	9	33	52
APC	1642	2231	2653	2267	349	258	532	718
APEH	1380	1619	1754	1539	404	288	883	1116
APEX1	1173	1973	1648	1653	875	623	1557	2596
APEX2	408	492	488	465	128	69	238	334
APH1A	698	811	668	525	248	174	490	736
API5	2005	2444	2693	2688	998	771	1868	2519
APIP	542	692	802	786	152	132	403	495
APLF	58	77	66	64	4	5	9	20
APLP1	31	46	56	50	166	91	344	454
APLP2	3722	4917	5054	4838	2042	1319	4012	5241
APMAP	660	819	853	728	306	178	438	845
APOA1BP	1043	1335	1309	1112	657	464	1224	1667
APOBEC3C	19	43	24	20	176	162	391	516
APOC1	46	64	59	68	34	34	80	95
APOL2	84	114	161	118	134	89	236	334
APOO	169	239	253	190	221	173	449	514
APOOL	158	202	267	223	137	95	259	289
APP	2230	2950	3399	3528	2481	1498	5042	6988
APPBP2	585	684	814	706	400	258	594	829
APPL1	1422	1789	1862	1565	350	267	871	1042
APPL2	264	335	424	384	112	70	273	347
APRT	919	1118	1282	1087	657	444	1297	2069
APTX	430	535	570	596	181	141	272	428
AQR	1385	1682	1706	1513	565	465	964	1308
ARAF	295	416	412	365	134	86	276	370
ARAP1	396	492	727	635	161	104	338	408
ARAP2	217	309	356	358	61	31	106	147
ARCN1	1424	1912	2242	2207	1256	867	2273	3015
AREL1	457	587	530	489	55	35	104	154
ARF1	2060	3096	2183	1904	1732	1207	3341	4774
ARF3	350	514	521	436	428	295	844	1313
ARF4	872	1065	1031	975	626	461	1095	1513
ARF5	631	813	872	847	658	523	1540	1939
ARF6	233	339	284	255	239	188	427	661
ARFGAP1	329	404	438	372	247	161	409	743
ARFGAP2	568	727	763	711	271	208	379	656
ARFGAP3	306	392	382	354	211	170	498	673
ARFGEF1	1261	1540	1761	1575	258	181	528	646
ARFGEF2	1350	1750	2030	1693	243	180	511	711
ARFIP1	242	280	296	263	202	135	381	427
ARFIP2	690	817	858	784	241	153	400	548
ARFRP1	107	131	156	154	89	50	135	216
ARG2	237	304	262	242	223	138	478	579
ARGLU1	563	691	669	788	218	150	358	481
ARHGAP1	125	181	246	196	180	132	327	492
ARHGAP10	333	431	476	427	74	72	186	256
ARHGAP11A	1457	1821	2394	2230	412	300	798	928
ARHGAP11B	281	358	533	528	74	74	169	199
ARHGAP12	315	432	473	407	102	76	291	314
ARHGAP17	217	307	591	422	407	291	669	1054
ARHGAP18	185	226	286	263	62	37	159	183
ARHGAP19	450	642	676	596	218	158	360	476
ARHGAP20	49	44	60	59	33	25	57	90
ARHGAP21	1655	2071	2211	1923	247	156	445	481
ARHGAP22	108	146	171	140	26	24	61	106
ARHGAP24	42	37	50	51	8	12	15	34
ARHGAP26	99	117	191	172	82	51	143	167
ARHGAP27	22	43	29	33	16	15	28	57
ARHGAP28	32	39	44	35	36	25	63	100
ARHGAP29	303	422	453	360	76	77	215	242
ARHGAP31	57	81	88	69	19	23	38	49
ARHGAP32	218	314	396	329	62	41	102	130
ARHGAP33	12	27	36	38	26	17	26	74
ARHGAP35	1048	1462	1990	1680	197	151	386	501
ARHGAP39	91	113	168	129	48	39	101	149
ARHGAP42	80	114	133	91	26	34	63	81
ARHGAP44	85	110	136	120	30	14	61	55
ARHGAP5	2743	3536	4130	3658	289	186	503	661
ARHGDIA	307	496	768	744	949	667	1807	2620
ARHGDIG	41	54	65	65	20	15	32	45
ARHGEF1	238	301	335	284	251	188	431	625
ARHGEF10	227	294	376	368	83	66	157	226
ARHGEF10L	58	58	76	56	14	13	34	62
ARHGEF11	561	736	886	781	85	55	206	278
ARHGEF12	2698	3396	3924	3264	235	172	529	704
ARHGEF16	37	41	46	35	55	23	78	107
ARHGEF17	51	60	95	82	45	31	86	89
ARHGEF18	352	416	475	485	232	161	407	579
ARHGEF2	248	322	391	379	359	269	599	921
ARHGEF25	189	268	275	251	16	19	26	39
ARHGEF26	296	456	505	462	141	113	218	353
ARHGEF28	48	62	49	40	55	32	98	92
ARHGEF3	86	123	120	103	60	49	122	144
ARHGEF39	124	149	181	158	84	60	164	258
ARHGEF4	77	92	84	79	11	5	12	14
ARHGEF40	80	103	118	112	45	24	87	126
