	ribo_tm_a	ribo_tm_b	ribo_untr_a	ribo_untr_b
APAF1	324	211	541	669
APBA2	87	69	175	285
APBA3	28	22	69	74
APBB1	247	117	423	599
APBB2	70	32	127	154
APBB3	13	9	33	52
APC	349	258	532	718
APEH	404	288	883	1116
APEX1	875	623	1557	2596
APEX2	128	69	238	334
APH1A	248	174	490	736
API5	998	771	1868	2519
APIP	152	132	403	495
APLF	4	5	9	20
APLP1	166	91	344	454
APLP2	2042	1319	4012	5241
APMAP	306	178	438	845
APOA1BP	657	464	1224	1667
APOBEC3C	176	162	391	516
APOC1	34	34	80	95
APOL2	134	89	236	334
APOO	221	173	449	514
APOOL	137	95	259	289
APP	2481	1498	5042	6988
APPBP2	400	258	594	829
APPL1	350	267	871	1042
APPL2	112	70	273	347
APRT	657	444	1297	2069
APTX	181	141	272	428
AQR	565	465	964	1308
ARAF	134	86	276	370
ARAP1	161	104	338	408
ARAP2	61	31	106	147
ARCN1	1256	867	2273	3015
AREL1	55	35	104	154
ARF1	1732	1207	3341	4774
ARF3	428	295	844	1313
ARF4	626	461	1095	1513
ARF5	658	523	1540	1939
ARF6	239	188	427	661
ARFGAP1	247	161	409	743
ARFGAP2	271	208	379	656
ARFGAP3	211	170	498	673
ARFGEF1	258	181	528	646
ARFGEF2	243	180	511	711
ARFIP1	202	135	381	427
ARFIP2	241	153	400	548
ARFRP1	89	50	135	216
ARG2	223	138	478	579
ARGLU1	218	150	358	481
ARHGAP1	180	132	327	492
ARHGAP10	74	72	186	256
ARHGAP11A	412	300	798	928
ARHGAP11B	74	74	169	199
ARHGAP12	102	76	291	314
ARHGAP17	407	291	669	1054
ARHGAP18	62	37	159	183
ARHGAP19	218	158	360	476
ARHGAP20	33	25	57	90
ARHGAP21	247	156	445	481
ARHGAP22	26	24	61	106
ARHGAP24	8	12	15	34
ARHGAP26	82	51	143	167
ARHGAP27	16	15	28	57
ARHGAP28	36	25	63	100
ARHGAP29	76	77	215	242
ARHGAP31	19	23	38	49
ARHGAP32	62	41	102	130
ARHGAP33	26	17	26	74
ARHGAP35	197	151	386	501
ARHGAP39	48	39	101	149
ARHGAP42	26	34	63	81
ARHGAP44	30	14	61	55
ARHGAP5	289	186	503	661
ARHGDIA	949	667	1807	2620
ARHGDIG	20	15	32	45
ARHGEF1	251	188	431	625
ARHGEF10	83	66	157	226
ARHGEF10L	14	13	34	62
ARHGEF11	85	55	206	278
ARHGEF12	235	172	529	704
ARHGEF16	55	23	78	107
ARHGEF17	45	31	86	89
ARHGEF18	232	161	407	579
ARHGEF2	359	269	599	921
ARHGEF25	16	19	26	39
ARHGEF26	141	113	218	353
ARHGEF28	55	32	98	92
ARHGEF3	60	49	122	144
ARHGEF39	84	60	164	258
ARHGEF4	11	5	12	14
ARHGEF40	45	24	87	126
ARHGEF6	43	40	173	185
ARHGEF7	209	140	314	448
ARHGEF9	7	3	12	15
ARID1A	720	519	1155	1911
ARID1B	212	174	423	556
ARID2	473	318	766	1135
ARID3A	26	35	84	141
ARID3B	91	48	185	292
ARID4A	110	72	155	193
ARID4B	297	247	487	694
ARID5A	36	13	53	74
ARID5B	275	185	405	565
ARIH1	359	244	634	915
ARIH2	226	166	483	585
ARL1	440	325	848	1032
ARL10	13	11	26	37
ARL13B	78	58	173	205
ARL14EP	175	119	257	355
ARL15	82	53	139	139
ARL16	150	104	164	297
ARL17A	483	468	851	1309
ARL2	349	233	816	1016
ARL2BP	202	167	399	530
