	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
GCNT1	20	24	39	46
GCOM1	57	71	115	158
GCSH	295	440	513	719
GDAP1	129	159	238	284
GDAP2	161	184	324	425
GDE1	85	143	164	255
GDF11	45	61	105	135
GDI1	757	995	1367	2040
GDI2	3064	3956	5204	7555
GDPD1	73	61	121	164
GDPD5	7	9	5	15
GDPGP1	18	21	32	58
GEMIN2	153	220	329	452
GEMIN4	824	1046	1470	2078
GEMIN5	905	1229	1742	2361
GEMIN6	159	183	251	374
GEMIN7	69	124	151	212
GEMIN8	95	129	226	255
GEN1	90	116	153	232
GET4	251	317	443	681
GFER	79	95	97	210
GFI1	61	85	98	134
GFM1	377	498	624	895
GFM2	246	291	391	499
GFOD1	16	23	32	53
GFOD2	26	26	46	66
GFPT1	603	801	1192	1562
GFPT2	77	90	141	165
GGA1	173	273	357	502
GGA2	384	536	701	1087
GGA3	143	183	241	343
GGCT	346	467	579	768
GGCX	250	343	433	703
GGH	571	655	981	1170
GGNBP2	399	462	580	867
GGPS1	90	95	157	210
GGT7	57	77	87	154
GHDC	36	48	54	73
GHITM	2596	3245	4537	6093
GID4	40	48	67	122
GID8	276	339	423	632
GIGYF1	81	96	153	211
GIGYF2	763	991	1167	1906
GIN1	99	116	190	213
GINM1	215	233	380	433
GINS1	273	319	420	583
GINS2	279	437	547	821
GINS3	122	158	199	289
GINS4	195	245	342	507
GIPC1	395	544	740	1013
GIT1	160	224	281	425
GIT2	232	304	482	599
GJA1	501	672	925	1219
GJC1	100	143	221	313
GK	134	158	242	312
GK5	61	66	133	166
GKAP1	62	61	124	137
GLA	971	1396	1798	2574
GLB1	206	314	365	600
GLB1L	17	15	28	49
GLB1L2	191	255	301	425
GLB1L3	24	36	41	88
GLCCI1	52	61	80	137
GLCE	78	107	140	167
GLDC	116	203	249	362
GLE1	280	382	539	733
GLG1	675	915	1140	1742
GLI2	38	69	50	76
GLI3	99	112	138	217
GLI4	27	26	40	49
GLIPR2	22	25	41	44
GLMN	380	436	598	776
GLO1	2978	3766	5678	7248
GLOD4	508	618	829	1355
GLRB	68	80	138	156
GLRX	113	130	227	249
GLRX2	83	120	153	225
GLRX3	1386	1728	2615	3426
GLRX5	249	327	374	662
GLS	303	388	470	842
GLS2	26	27	49	73
GLT8D1	79	98	163	187
GLT8D2	30	34	61	74
GLTP	66	115	144	219
GLTSCR1	42	61	55	124
GLTSCR1L	20	18	51	47
GLTSCR2	274	383	444	732
GLUD1	1203	1635	2253	3063
GLUD2	574	786	1035	1416
GLUL	1816	2580	2950	4602
GLYCTK	25	25	51	58
GLYR1	552	701	903	1313
GM2A	138	217	253	399
GMCL1	54	69	103	141
GMDS	187	264	338	500
GMEB1	122	135	177	228
GMEB2	90	142	186	243
GMFB	239	292	435	566
GMIP	27	37	57	73
GMNN	829	1065	1514	2070
GMPPA	204	277	354	560
GMPPB	134	144	210	347
GMPR2	178	243	328	442
GMPS	1409	1937	2607	3396
GNA11	218	299	394	616
GNA12	49	63	85	134
GNA13	150	196	267	398
GNAI1	323	424	576	786
GNAI2	315	458	588	884
GNAI3	1030	1250	1783	2500
GNAL	58	51	107	119
GNAQ	122	212	228	339
GNAS	4906	7254	10333	14370
GNAZ	12	30	32	57
GNB1	1482	2119	2844	4231
GNB1L	106	148	186	250
GNB2	1034	1458	2121	2998
GNB2L1	15041	21091	23726	36548
GNB4	403	558	710	1022
GNB5	143	172	267	368
GNE	242	320	450	638
GNG12	213	295	381	487
GNG5	532	735	1074	1299
GNL1	221	282	337	660
GNL2	1100	1424	1797	2429
GNL3	1268	1556	2197	3071
GNL3L	791	1019	1506	2029
GNPAT	281	307	428	610
GNPDA1	376	452	698	991
GNPDA2	94	159	195	197
GNPNAT1	224	229	430	495
GNPTAB	79	133	201	225
GNPTG	24	45	69	83
GNS	454	612	836	1094
GOLGA1	78	98	118	191
GOLGA2	177	211	348	458
GOLGA3	283	415	541	749
GOLGA4	288	397	583	707
GOLGA5	236	287	440	524
GOLGA6L10	0	5	3	11
GOLGA6L4	2	3	3	6
GOLGA6L9	0	6	4	14
GOLGA7	261	333	557	629
GOLGA8A	31	21	50	42
GOLGA8B	31	21	50	42
GOLGB1	751	904	1253	1764
GOLIM4	241	319	467	582
GOLM1	472	605	850	1278
GOLPH3	314	377	540	745
GOLPH3L	170	180	240	425
GOLT1B	77	110	155	210
GON4L	333	451	534	760
GORAB	28	31	63	90
GORASP1	94	122	164	244
GORASP2	460	610	936	1198
GOSR1	157	197	296	366
GOSR2	166	207	247	365
GOT1	514	666	959	1350
GOT2	1604	2108	3092	4125
GPAA1	302	434	528	861
GPAM	156	225	264	409
GPANK1	42	67	119	152
GPATCH1	186	216	316	463
GPATCH11	92	119	191	281
GPATCH2	98	136	204	258
GPATCH2L	131	150	238	317
GPATCH3	85	102	120	188
GPATCH4	333	429	554	829
GPATCH8	394	526	666	1001
GPBP1	106	166	244	270
GPBP1L1	70	105	112	171
GPC1	64	85	118	182
GPC3	128	164	224	278
GPC4	415	528	721	1005
GPC6	50	64	95	133
GPCPD1	260	335	406	550
GPD1L	140	180	258	377
GPD2	462	504	706	1059
GPHN	205	288	317	553
GPI	9516	13461	17668	25584
GPKOW	210	295	405	605
GPLD1	10	6	11	19
GPM6A	84	96	141	178
GPM6B	149	175	251	368
GPN1	239	304	414	586
GPN2	189	253	366	518
GPN3	458	540	768	1079
GPR107	269	370	512	729
GPR108	75	139	156	208
GPR124	4	6	16	26
GPR125	75	89	151	168
GPR126	106	142	223	278
GPR137	24	38	37	74
GPR137B	22	45	52	89
GPR137C	18	13	23	46
GPR155	20	26	48	54
GPR160	5	6	9	5
GPR161	30	48	64	104
GPR176	4	5	7	23
GPR180	89	99	137	200
GPR27	18	42	34	60
GPR52	0	0	0	0
GPR63	14	15	34	36
GPR75	0	1	0	0
GPR89A	210	261	402	518
GPR89B	210	261	402	518
GPR89C	134	166	250	320
GPR98	211	271	342	462
GPRASP1	17	9	17	22
GPRC5B	33	41	46	86
GPRC5C	52	75	78	155
GPRIN1	102	127	182	232
GPRIN3	67	95	168	182
GPS1	710	1062	1407	2083
GPS2	232	271	389	568
GPSM1	207	281	398	535
GPSM2	127	175	238	315
GPT2	127	192	301	357
GPX1	263	310	462	794
GPX3	82	114	165	235
GPX4	326	438	640	859
GPX8	67	99	128	183
GRAMD1A	633	739	1167	1590
GRAMD1B	43	46	57	71
GRAMD1C	5	16	29	31
GRAMD4	62	69	93	131
GRB10	124	187	276	310
GRB14	27	17	52	53
GRB2	493	630	847	1266
GREB1	11	16	16	24
GREB1L	142	151	209	317
GRHL1	20	34	64	81
GRHPR	242	372	516	666
GRID1	42	65	94	127
GRINA	426	595	779	1243
GRIP1	81	90	149	183
GRIPAP1	195	242	358	484
GRK4	2	2	3	3
GRK5	14	17	29	31
GRK6	249	415	460	778
GRN	784	1153	1329	2241
GRPEL1	417	554	776	1035
GRPEL2	265	352	477	644
GRSF1	991	1302	1956	2504
GRTP1	44	61	74	79
GRWD1	462	606	731	1198
GSE1	310	438	592	931
GSG2	174	240	328	490
GSK3A	433	556	789	1115
GSK3B	209	293	345	456
GSKIP	97	116	186	241
GSN	142	188	271	355
GSPT1	724	1044	1599	1954
GSR	1090	1453	2118	2897
GSS	302	402	605	815
GSTA4	207	248	397	523
GSTCD	100	150	196	252
GSTK1	167	257	342	475
GSTM1	12	16	12	21
GSTM3	313	378	560	779
GSTM4	12	11	14	23
GSTO1	1363	1676	2455	3626
GSTP1	441	592	808	1226
GSTZ1	52	100	131	144
GTDC1	8	15	22	29
GTDC2	47	94	97	175
GTF2A1	401	458	605	906
GTF2A2	316	377	550	722
GTF2B	417	577	748	1099
GTF2E1	72	82	137	201
GTF2E2	278	350	574	707
GTF2F1	646	831	1083	1748
GTF2F2	388	531	742	856
GTF2H1	108	142	289	299
GTF2H2	552	725	1012	1308
GTF2H2C	537	741	1003	1309
GTF2H3	333	425	616	816
GTF2H4	136	164	243	314
GTF2H5	147	180	266	367
GTF2I	1662	2152	2925	4246
GTF2IRD1	79	126	150	222
GTF2IRD2	38	39	54	83
GTF2IRD2B	39	39	54	84
GTF3A	162	213	245	379
GTF3C1	1357	1858	2470	3540
GTF3C2	308	381	568	800
GTF3C3	639	826	1093	1412
GTF3C4	388	619	892	1181
GTF3C5	567	789	1037	1463
GTF3C6	282	311	418	529
GTPBP1	304	399	584	805
GTPBP10	189	272	373	524
GTPBP2	130	164	228	295
GTPBP3	282	362	503	815
GTPBP4	1365	1874	2573	3352
GTPBP6	154	208	294	416
GTPBP8	155	179	232	303
GTSE1	483	597	773	1268
GUCD1	87	95	129	189
GUCY1A2	23	41	59	75
GUCY1A3	43	65	79	128
GUCY1B3	181	206	364	448
GUF1	231	316	445	559
GUK1	141	224	300	413
GULP1	73	92	130	130
GUSB	163	235	320	475
