	ribo_isrib_a	ribo_isrib_b	ribo_untr_a	ribo_untr_b
MBNL3	102	132	181	259
MBOAT1	44	68	61	86
MBOAT2	168	254	309	421
MBOAT7	132	181	217	404
MBTD1	118	140	199	234
MBTPS1	133	179	287	355
MBTPS2	360	432	618	876
MCAM	58	85	111	173
MCAT	213	315	388	580
MCC	165	244	319	389
MCCC1	176	222	316	388
MCCC2	572	729	1104	1375
MCEE	19	23	36	42
MCF2L	30	52	60	86
MCFD2	261	305	420	564
MCL1	554	690	861	1675
MCM10	593	732	1096	1570
MCM2	2568	3543	4417	7064
MCM3	2793	3649	5275	7283
MCM3AP	555	823	1140	1561
MCM4	4401	5928	8458	10562
MCM5	1805	2503	3195	4977
MCM6	1999	2561	3753	4750
MCM7	4892	6573	8125	12931
MCM8	258	326	514	675
MCM9	152	190	238	330
MCMBP	1331	1704	2409	3094
MCOLN1	87	133	125	245
MCOLN2	120	144	225	285
MCOLN3	113	194	222	305
MCPH1	151	197	251	338
MCRS1	265	360	451	743
MCTP1	30	36	62	72
MCTS1	545	726	989	1296
MCU	167	230	299	388
MCUR1	168	235	321	433
MDC1	1582	2014	2728	4020
MDFIC	56	84	106	198
MDGA2	0	0	0	0
MDH1	1473	1885	2712	3974
MDH2	2268	3096	4432	6176
MDK	593	849	1098	1794
MDM1	61	92	144	188
MDM2	1022	1344	1522	2726
MDM4	31	39	40	78
MDN1	1447	1825	2343	3324
ME1	854	1073	1611	2000
ME2	1008	1329	1878	2397
MEA1	426	605	821	1256
MEAF6	233	335	424	655
MECOM	214	228	332	408
MECP2	105	129	211	267
MECR	71	109	147	204
MED1	345	470	665	852
MED10	339	369	519	728
MED11	67	117	178	183
MED12	533	837	970	1466
MED12L	63	111	151	219
MED13	435	501	721	1016
MED13L	214	299	414	593
MED14	670	880	1247	1665
MED15	327	392	609	733
MED16	273	375	482	681
MED17	406	466	580	882
MED18	104	123	152	300
MED19	37	53	45	100
MED20	67	95	134	211
MED21	238	256	421	519
MED22	72	107	150	201
MED23	373	459	635	932
MED24	481	694	873	1336
MED25	343	477	624	908
MED26	57	77	106	149
MED27	463	593	869	1132
MED28	124	179	240	303
MED29	633	1080	1179	1770
MED30	43	54	103	124
MED31	99	127	190	269
MED4	347	423	612	835
MED6	232	314	402	527
MED7	96	104	180	197
MED8	240	315	444	611
MED9	32	40	44	97
MEF2A	146	172	211	279
MEF2BNB	58	54	82	131
MEF2C	93	100	139	209
MEF2D	80	86	120	187
MEGF8	248	324	464	663
MEGF9	23	24	43	56
MEIS1	43	57	93	124
MEIS2	57	80	109	194
MEIS3	1	3	4	6
MELK	426	573	802	1016
MEMO1	161	249	335	489
MEN1	191	334	433	660
MEPCE	376	494	620	1080
MERTK	59	71	77	119
MESDC1	6	11	15	27
MESDC2	162	195	253	424
MET	504	641	885	1212
METAP1	402	490	711	937
METAP1D	26	37	53	66
METAP2	1731	2249	3139	4191
METRN	4	5	22	17
METRNL	10	22	19	29
METTL1	110	161	218	347
METTL10	77	97	137	174
METTL13	282	380	535	823
METTL14	132	181	236	340
METTL15	108	160	221	286
METTL16	176	214	302	399
METTL17	218	316	471	608
METTL18	51	64	103	143
METTL21A	48	81	81	163
METTL21D	16	21	22	28
METTL22	15	8	19	22
METTL23	58	84	129	154
METTL25	60	88	92	191
METTL2A	410	568	753	1127
METTL2B	403	534	752	1130
METTL3	392	544	701	1036
METTL4	32	49	60	81
METTL5	315	372	535	614
METTL6	89	110	167	239
METTL7A	198	226	335	491
METTL8	134	196	252	362
METTL9	96	119	206	271
MEX3A	43	48	66	124
MEX3B	19	24	31	50
MEX3C	49	59	127	136
MEX3D	12	16	20	31
MFAP1	326	446	639	907
MFAP2	64	105	120	190
MFAP3	180	229	249	454
MFAP3L	12	8	14	20
MFF	433	549	780	993
MFGE8	306	490	693	894
MFHAS1	47	71	84	134
MFI2	19	24	35	53
MFN1	414	519	791	994
MFN2	748	1051	1410	2094
MFSD1	107	97	139	229
MFSD10	109	189	182	341
MFSD11	117	134	150	237
MFSD12	69	121	122	223
MFSD2A	133	156	237	328
MFSD3	30	28	69	99
MFSD5	130	165	235	391
MFSD6	50	57	73	101
MFSD8	119	157	181	281
MFSD9	23	37	50	85
MGA	553	687	1036	1402
MGARP	24	20	30	40
MGAT1	73	122	169	211
MGAT2	98	115	171	274
MGAT4A	24	50	78	89
MGAT4B	94	188	178	295
MGAT5	109	137	225	247
MGC12965	3	5	6	11
MGEA5	1190	1449	1874	2771
MGME1	158	198	271	464
MGRN1	190	298	392	605
MGST1	586	711	1068	1446
MGST2	238	295	407	557
MGST3	285	421	639	810
MIA3	422	552	760	1011
MIB1	233	348	442	584
MIB2	59	97	108	204
MICA	107	166	192	285
MICAL1	30	41	65	94
MICAL2	41	48	68	103
MICAL3	185	242	333	520
MICALL1	197	276	369	566
MICALL2	10	9	23	17
MICB	100	148	189	245
MICU1	470	621	812	1163
MICU2	602	662	1101	1354
MICU3	32	38	61	64
MID1	198	248	313	419
MID1IP1	57	92	128	172
MID2	83	102	144	190
MIDN	341	434	525	853
MIEN1	100	150	208	284
MIER1	221	219	332	492
MIER2	85	110	167	232
MIER3	139	132	218	332
MIF	3876	5368	7321	10663
MIF4GD	49	65	103	133
MIIP	100	151	197	294
MINA	181	274	353	456
MINK1	163	215	313	442
MINOS1	504	544	898	1211
MINPP1	348	447	641	856
MIOS	120	160	219	319
MIPEP	217	309	400	578
MIPOL1	62	75	127	168
MIS12	127	153	197	266
MIS18A	211	275	342	546
MIS18BP1	309	411	545	665
MITD1	77	102	142	161
MITF	30	32	35	40
MKI67	2691	3469	4804	6021
MKI67IP	571	785	1051	1339
MKKS	10	13	34	34
MKL1	105	177	190	327
MKL2	112	159	212	313
MKLN1	604	794	1134	1419
MKNK1	81	125	161	246
MKNK2	119	147	198	307
MKRN1	358	440	623	900
MKRN2	282	398	463	645
MKS1	151	209	308	384
MKX	0	0	0	0
MLEC	304	396	458	856
MLF1	114	163	305	293
MLF1IP	545	701	1066	1204
MLF2	785	1116	1581	2029
MLH3	119	136	235	297
MLLT1	297	399	469	774
MLLT10	97	121	203	231
MLLT3	156	226	294	379
MLLT4	680	870	1141	1667
MLLT6	29	42	52	84
MLST8	153	236	318	470
MLX	254	380	538	700
MLXIP	148	196	263	336
MLXIPL	13	26	34	50
MLYCD	52	61	93	129
MMAA	25	30	32	58
MMAB	163	226	294	449
MMACHC	95	121	159	265
MMADHC	829	1127	1362	1993
MMD	20	14	10	29
MME	18	19	24	38
MMGT1	152	209	254	394
MMP15	22	59	74	96
MMP16	0	0	1	1
MMS19	437	597	828	1237
MMS22L	375	464	647	922
MNAT1	308	355	503	619
MND1	113	157	265	369
MNF1	322	451	681	927
MNS1	113	122	186	232
MNT	56	79	90	118
MNX1	50	76	104	190
MOAP1	200	264	407	526
MOB1A	526	590	845	1220
MOB1B	84	139	179	231
MOB2	54	70	89	129
MOCOS	19	30	38	62
MOCS1	58	94	136	156
MOCS2	186	251	313	471
MOCS3	146	173	256	355
MOGS	241	330	466	745
MOK	21	26	38	63
MON1A	45	57	73	118
MON1B	74	83	117	191
MON2	701	849	1191	1554
MORC2	462	568	724	1203
MORC3	271	313	474	583
MORC4	392	462	789	938
MORF4L1	1823	2273	3153	4351
MORF4L2	1368	1693	2383	3465
MORN1	51	74	97	158
MORN2	28	28	29	33
MORN4	8	17	29	22
MOSPD1	51	64	100	108
MOSPD2	147	199	327	432
MOV10	404	549	721	1110
MOXD1	98	191	253	284
MPC1	83	104	157	217
MPC2	216	260	436	597
MPDU1	197	255	368	507
MPDZ	216	308	404	524
MPG	198	297	361	527
MPHOSPH10	334	448	596	898
MPHOSPH6	181	195	301	387
MPHOSPH8	132	167	201	277
MPHOSPH9	151	195	257	372
MPI	315	436	629	829
MPLKIP	180	212	302	471
MPND	30	44	53	60
MPP1	293	414	601	821
MPP2	98	134	195	289
MPP3	11	24	24	29
MPP5	122	157	262	319
MPP6	166	252	346	463
MPP7	140	194	307	413
MPPE1	18	24	48	72
MPRIP	58	95	109	168
MPST	237	337	445	680
MPV17	113	150	222	310
MPV17L2	131	170	200	339
MPZL1	281	378	550	693
MR1	24	50	48	61
MRAS	10	20	13	21
MRC2	47	74	122	148
MRE11A	486	596	902	1182
MREG	19	40	54	69
MRFAP1	648	865	987	1877
MRFAP1L1	261	317	357	604
MRGBP	49	55	78	121
MRI1	208	308	409	626
MRM1	18	30	32	44
MROH1	19	23	41	42
MRP63	141	216	310	429
MRPL1	209	267	340	510
MRPL10	289	377	563	745
MRPL11	275	347	436	683
MRPL13	599	781	1103	1387
MRPL14	455	708	1007	1392
MRPL15	478	600	808	1156
MRPL16	524	610	862	1221
MRPL17	374	520	773	910
MRPL18	280	417	579	850
MRPL19	532	712	875	1390
MRPL2	477	609	960	1144
MRPL20	826	1184	1758	2351
MRPL21	334	423	708	834
MRPL22	619	698	1129	1378
MRPL23	387	638	898	1103
MRPL24	385	619	756	1114
MRPL27	439	526	767	1123
MRPL28	1024	1468	2055	2922
MRPL3	1784	2307	3044	4349
MRPL30	357	433	668	801
MRPL32	499	662	880	1211
MRPL33	123	137	191	281
MRPL34	95	128	175	247
MRPL35	208	249	331	458
MRPL36	137	152	238	388
MRPL37	967	1316	1851	2503
MRPL38	353	495	671	990
MRPL39	763	932	1273	1950
MRPL4	935	1225	1735	2539
MRPL40	368	436	724	825
MRPL41	394	554	700	1126
MRPL42	541	710	1053	1246
MRPL43	344	509	692	960
MRPL44	587	732	897	1336
MRPL45	426	569	655	934
MRPL46	192	291	348	486
MRPL47	398	492	759	1051
MRPL48	192	262	353	448
MRPL49	207	292	370	576
MRPL50	165	210	323	383
MRPL51	481	805	938	1651
MRPL52	291	343	506	694
MRPL53	203	265	363	611
MRPL54	132	200	232	320
MRPL55	204	337	387	657
MRPL9	440	631	726	1166
MRPS10	632	779	1042	1314
MRPS11	156	230	324	449
MRPS12	344	520	721	1022
MRPS14	194	270	371	544
MRPS15	461	648	927	1284
MRPS16	475	630	832	1142
MRPS17	221	293	377	533
MRPS18A	376	485	647	844
MRPS18B	700	912	1338	1742
MRPS18C	378	429	631	846
MRPS2	748	1035	1417	1865
MRPS21	428	555	700	1172
MRPS22	524	701	998	1308
MRPS23	677	898	1226	1688
MRPS24	446	672	868	1286
MRPS25	222	251	365	519
MRPS26	318	496	605	1076
MRPS27	453	611	880	1104
MRPS28	347	433	619	826
MRPS30	634	815	1146	1558
MRPS31	546	783	1030	1372
MRPS33	236	284	381	557
MRPS34	449	630	831	1521
MRPS35	850	1062	1476	2019
MRPS36	166	223	305	393
MRPS5	325	429	603	908
MRPS6	196	185	290	432
MRPS7	602	795	1129	1584
MRPS9	359	426	599	807
MRRF	128	170	208	253
MRS2	146	210	287	439
MRTO4	640	910	1073	1755
MSANTD2	11	18	26	69
MSANTD3-TMEFF1	80	105	133	198
MSANTD4	99	142	188	265
MSH2	1348	1664	2559	3126
MSH3	416	501	751	921
MSH4	0	0	0	0
MSH6	1902	2421	3238	4579
MSI1	122	159	234	267
MSI2	247	340	482	656
MSL1	46	56	104	133
MSL2	109	154	235	292
MSL3	101	97	187	272
MSMO1	326	467	660	865
MSN	794	1066	1409	2144
MSRA	44	41	48	100
MSRB1	48	67	116	157
MSRB2	84	132	177	270
MSRB3	34	54	97	135
MSS51	1	5	2	0
MST1	0	0	0	0
MST4	859	1135	1504	2086
MSTO1	166	248	292	444
MSX1	34	51	80	118
MSX2	286	383	436	663
MT1X	33	41	34	72
MT2A	51	80	68	121
MTA1	543	784	949	1476
MTA2	885	1272	1601	2188
MTA3	338	430	661	760
MTAP	224	295	426	596
MTBP	110	156	216	298
MTCH1	465	700	854	1336
MTCH2	650	829	1269	1576
MTDH	655	817	1289	1606
MTERF	94	110	172	255
MTERFD1	277	288	457	582
MTERFD3	72	94	172	214
MTF1	55	76	98	144
MTF2	293	337	496	631
MTFMT	99	132	193	257
MTFR1	73	104	201	216
MTFR1L	118	142	194	340
MTFR2	116	151	203	248
MTG1	150	225	251	394
MTG2	93	163	236	289
MTHFD1	2746	3499	4978	6708
MTHFD1L	499	645	950	1191
MTHFD2	649	884	1267	1665
MTHFD2L	26	59	86	86
MTHFR	54	83	98	155
MTHFS	137	162	213	328
MTHFSD	46	60	92	116
MTIF2	188	255	397	486
MTIF3	91	117	192	205
MTM1	84	150	190	250
MTMR1	292	344	503	747
MTMR10	47	61	99	121
MTMR12	139	168	244	315
MTMR14	176	260	323	484
MTMR2	288	382	566	713
MTMR3	132	226	311	403
MTMR4	253	311	453	616
MTMR6	452	541	735	1022
MTMR7	28	40	86	91
MTMR8	34	40	59	79
MTMR9	130	123	185	280
MTO1	257	332	510	649
MTOR	780	1068	1386	2005
MTPAP	497	581	821	1106
MTR	672	851	1105	1710
MTRF1	45	70	131	131
MTRF1L	144	166	215	316
MTRR	219	268	357	525
MTSS1L	141	204	248	381
MTUS1	114	155	266	321
MTX1	415	608	800	1204
MTX2	286	451	589	787
MTX3	74	77	112	147
MUL1	169	248	364	484
MUM1	73	70	128	143
MUM1L1	1	1	3	1
MURC	2	0	1	1
MUS81	63	54	101	124
MUT	356	469	688	833
MUTYH	33	61	83	112
MVB12A	202	286	439	562
MVB12B	38	51	82	99
MVD	87	112	123	214
MVK	80	124	179	243
MXD1	58	69	85	134
MXD3	15	31	25	50
MXD4	144	206	199	355
MXI1	121	178	287	312
MXRA7	101	129	176	350
MYB	20	24	66	90
MYBBP1A	2025	2842	3669	5647
MYBL1	11	32	47	62
MYBL2	510	677	953	1419
MYC	613	913	1331	1612
MYCBP	237	321	401	616
MYCBP2	300	410	570	637
MYEF2	337	429	570	880
MYEOV2	254	396	422	770
MYH10	1823	2240	3071	4175
MYH11	62	71	114	125
MYH14	229	346	444	725
MYH15	1	1	2	1
MYH3	3	1	3	7
MYH9	3277	4399	5630	8526
MYL12A	911	1219	1616	2351
MYL12B	1295	1698	2302	3187
MYL5	8	13	15	18
MYL6	2064	2675	3665	5492
MYL6B	166	196	237	404
MYLIP	52	81	106	164
MYLK	18	12	14	37
MYNN	74	81	136	163
MYO10	433	543	703	1022
MYO18A	96	135	171	288
MYO19	99	133	210	234
MYO1B	583	785	960	1410
MYO1C	431	562	850	1115
MYO1D	320	374	565	644
MYO1E	177	229	347	409
MYO3A	50	51	95	90
MYO5A	239	357	498	679
MYO5B	104	136	188	256
MYO5C	151	215	270	403
MYO6	948	1228	1649	2320
MYO9A	180	207	297	361
MYO9B	194	284	318	515
MYOM2	33	47	75	81
MYSM1	71	61	125	191
MZF1	12	15	28	39
MZT1	227	255	368	456
MZT2A	378	559	609	1121
MZT2B	493	734	767	1504
N4BP1	111	130	237	302
N4BP2	136	156	253	336
N4BP2L2	70	112	155	185
N6AMT1	43	61	83	113
N6AMT2	90	84	128	149
NAA10	979	1418	1729	2644
NAA15	1835	2204	3072	3991
NAA16	225	284	389	521
NAA20	270	336	451	674
NAA25	726	839	1264	1630
NAA30	73	125	131	219
NAA35	437	521	725	977
NAA38	338	379	476	772
NAA40	91	112	171	252
NAA50	534	775	1151	1318
NAA60	81	75	108	144
NAAA	59	78	114	160
NAALAD2	12	19	39	29
NAB1	70	84	128	171
NAB2	60	85	100	178
NABP1	36	39	70	106
NABP2	268	386	481	699
NACA	5611	7074	10341	12456
NACA2	1071	1440	1798	2036
NACC1	355	456	601	911
NACC2	95	162	196	268
NADK	135	170	248	328
NADKD1	185	186	318	427
NADSYN1	105	154	169	250
NAE1	1079	1307	2198	2551
NAF1	258	337	471	660
NAGA	130	151	199	291
NAGK	111	218	231	409
NAGLU	89	110	176	239
NAGPA	34	32	54	86
NAIF1	41	56	60	84
NAIP	3	0	9	8
NAMPT	858	1103	1638	1980
NANP	46	54	103	101
NANS	395	540	726	1023
NAP1L1	3624	4392	5747	9474
NAP1L2	36	39	48	69
NAP1L3	34	55	80	81
NAP1L4	965	1188	1680	2381
NAPA	421	517	746	940
NAPB	15	26	45	69
NAPEPLD	31	36	55	72
NAPG	204	264	418	509
NAPRT1	34	64	96	112
NARF	70	122	157	242
NARFL	115	140	182	271
NARG2	198	288	445	499
NARR	94	112	163	237
NARS	1134	1381	2016	3008
NARS2	122	165	214	315
NASP	2396	3062	3946	6113
NAT1	45	49	49	75
NAT10	639	807	1015	1558
NAT14	35	39	49	60
NAT8L	145	179	197	273
NAT9	101	148	166	278
NAV1	80	118	145	232
NAV2	46	65	88	102
NBAS	288	361	474	747
NBEA	226	257	364	453
NBEAL1	119	139	239	293
NBEAL2	63	102	146	182
NBL1	98	152	154	278
NBN	276	366	547	660
NBPF1	106	107	198	257
NBPF14	67	63	133	141
NBPF15	38	38	100	83
NBPF16	40	39	96	83
NBPF24	125	133	276	265
NBPF3	32	54	66	98
NBPF7	5	7	12	17
NBR1	389	563	782	1022
NCAM1	241	307	329	552
NCAPD2	2027	2827	3656	5401
NCAPD3	1043	1244	1797	2369
NCAPG	1248	1431	2175	2892
NCAPG2	894	1160	1745	2187
NCAPH	656	803	1099	1453
NCAPH2	304	425	548	904
NCBP1	853	1094	1522	2140
NCBP2	256	392	460	644
NCDN	401	558	669	1066
NCEH1	31	72	72	120
NCK1	93	135	196	252
NCK2	50	70	97	137
NCKAP1	1267	1511	2238	2775
NCKAP5L	147	211	298	471
NCKIPSD	102	147	193	283
NCL	11212	14369	18871	28198
NCLN	377	560	687	1076
NCOA1	143	162	246	326
NCOA2	200	220	324	360
NCOA3	227	299	419	501
NCOA4	1218	1530	1879	2916
NCOA5	309	403	416	868
NCOA6	163	180	276	357
NCOA7	155	187	273	340
NCOR1	362	469	698	864
NCOR2	317	424	611	799
NCR3LG1	137	202	251	369
NCS1	89	110	156	260
NCSTN	499	707	941	1259
NDC1	591	837	1137	1527
NDC80	473	545	743	970
NDE1	81	128	164	238
NDEL1	65	70	132	155
NDFIP1	580	707	1022	1476
NDFIP2	302	416	528	793
NDNF	71	93	144	178
NDNL2	150	206	246	398
NDOR1	108	133	157	290
NDRG1	744	1072	1475	1696
NDRG2	85	159	168	238
NDRG3	296	410	541	683
NDRG4	35	40	67	82
NDST1	68	87	128	195
NDST2	31	48	66	84
NDUFA1	583	802	1011	1499
NDUFA10	908	1201	1657	2408
NDUFA11	937	1347	1567	2384
NDUFA12	599	748	1027	1405
NDUFA2	440	639	852	1175
NDUFA3	190	247	371	565
NDUFA4	837	974	1340	1884
NDUFA5	411	484	731	907
NDUFA6	406	559	789	1053
NDUFA7	379	511	765	1028
NDUFA8	496	641	925	1269
NDUFA9	1225	1663	2313	3147
NDUFAB1	879	1087	1654	2153
NDUFAF1	185	212	336	464
NDUFAF2	169	244	350	407
NDUFAF3	368	557	783	1134
NDUFAF4	419	528	712	1067
NDUFAF5	79	97	161	189
NDUFAF6	51	80	125	117
NDUFAF7	112	169	208	301
NDUFB1	667	835	1182	1776
NDUFB10	626	878	1253	1633
NDUFB11	803	1062	1549	2249
NDUFB2	594	833	1071	1547
NDUFB3	261	359	537	772
NDUFB4	597	833	1127	1498
NDUFB5	389	444	599	840
NDUFB6	346	439	580	873
NDUFB7	460	677	767	1526
NDUFB8	1301	1820	2446	3660
NDUFB9	719	984	1152	2059
NDUFC1	138	178	281	368
NDUFC2-KCTD14	335	453	580	906
NDUFS1	1835	2224	3241	4317
NDUFS2	1096	1594	2105	2985
NDUFS3	640	860	1106	1636
NDUFS4	240	323	466	539
NDUFS5	1233	1666	2030	3469
NDUFS6	463	705	803	1611
NDUFS7	489	610	760	1185
NDUFS8	667	889	1326	1704
NDUFV1	692	1071	1377	2025
NDUFV2	944	1244	1943	2326
NDUFV3	367	506	663	921
NEB	1	1	9	1
NEBL	38	34	70	81
NECAB3	36	68	75	123
NECAP1	231	292	403	522
NECAP2	149	217	289	466
NEDD1	354	429	663	827
NEDD4	124	171	219	255
NEDD4L	187	226	313	445
NEDD8-MDP1	184	229	245	447
NEFL	420	606	796	1157
NEFM	62	61	187	172
NEIL1	10	10	26	32
NEIL2	23	30	52	82
NEIL3	226	289	393	533
NEK1	135	154	237	291
NEK10	12	11	19	40
NEK11	7	15	23	44
NEK2	279	358	495	640
NEK3	123	156	219	272
NEK4	128	175	264	333
NEK6	139	206	301	393
NEK7	127	143	202	312
NEK8	10	13	16	23
NEK9	309	381	503	760
NELFA	163	237	268	432
NELFB	320	414	577	801
NELFCD	593	842	1178	1674
NELFE	602	825	1131	1489
NELL2	186	228	312	490
NEMF	331	395	589	765
NENF	139	183	266	394
NEO1	476	569	776	1119
NES	5	5	4	22
NET1	412	590	834	1102
NETO2	98	142	226	253
NEU1	208	246	313	560
NEU3	52	89	167	219
NEURL4	137	245	314	498
NEXN	33	56	85	99
NF1	537	703	1046	1190
NF2	175	197	297	375
NFAT5	258	335	558	644
NFATC1	66	74	166	193
NFATC2IP	135	192	252	394
NFATC3	148	175	284	390
NFATC4	36	39	57	88
NFE2L1	580	761	1004	1435
NFE2L2	355	481	654	902
NFE2L3	122	150	231	302
NFIA	203	233	285	443
NFIB	145	230	299	391
NFIC	126	186	246	350
NFIL3	51	57	74	92
NFIX	101	142	170	263
NFKB1	142	196	257	399
NFKB2	112	121	192	255
NFKBIA	131	192	195	305
NFKBIB	169	185	278	465
NFKBIE	41	49	83	105
NFKBIL1	60	82	126	178
NFKBIZ	12	15	10	26
NFRKB	283	366	508	675
NFS1	170	231	329	431
NFU1	290	378	523	668
NFX1	243	338	446	627
NFXL1	312	333	512	719
NFYA	159	194	271	404
NFYB	160	205	295	367
NFYC	479	599	794	1126
NGDN	266	358	488	682
NGEF	66	79	104	150
NGFRAP1	448	665	739	1555
NGLY1	185	223	336	459
NGRN	85	108	134	214
NHEJ1	123	152	226	285
NHLRC2	513	590	785	1061
NHLRC3	67	104	128	188
NHP2	831	1162	1535	2182
NHP2L1	881	1178	1691	2243
NHSL1	181	238	329	453
NICN1	19	17	24	43
NID1	437	662	876	1270
NID2	155	186	292	414
NIF3L1	222	249	376	507
NIN	207	273	303	471
NINL	21	29	42	67
NIP7	207	265	325	539
NIPA1	45	67	100	146
NIPA2	154	191	311	384
NIPAL1	57	63	60	103
NIPAL2	8	9	11	23
NIPAL3	66	90	149	205
NIPBL	656	751	959	1382
NIPSNAP1	334	467	770	945
NIPSNAP3B	42	32	71	89
NISCH	266	337	513	668
NIT1	140	214	334	403
NIT2	204	276	323	517
NKAP	332	409	709	822
NKD2	36	42	41	78
NKIRAS1	103	119	176	218
NKIRAS2	117	193	234	347
NKRF	619	774	1016	1366
NKTR	145	177	288	407
NKX2-5	85	103	149	229
NKX6-1	25	26	54	82
NLE1	235	353	470	685
NLGN1	20	21	44	43
NLGN2	14	33	34	68
NLK	18	21	43	61
NLN	266	345	564	710
NLRP14	0	1	2	1
NLRX1	44	67	92	116
NMB	16	23	26	45
NMD3	449	561	751	1041
NME1-NME2	5946	8035	10748	15292
NME3	155	218	281	474
NME4	239	398	553	815
NME6	78	91	119	150
NME7	167	204	271	401
NMNAT1	44	62	56	114
NMRAL1	0	1	2	1
NMRK1	16	17	29	24
NMT1	662	959	1229	1833
NMT2	139	154	290	312
NMU	129	179	309	333
NNT	239	309	388	537
NOA1	188	247	331	418
NOB1	357	474	658	909
NOC2L	1916	2618	3354	5116
NOC3L	606	779	1134	1504
NOC4L	347	488	651	1056
NOD1	5	4	15	11
NOL10	387	484	704	924
NOL11	1620	1896	2786	3652
NOL12	141	231	274	445
NOL6	347	537	650	975
NOL7	820	1046	1401	1981
NOL8	241	304	385	569
NOL9	704	919	1274	1840
NOLC1	2473	3175	4654	6308
NOM1	197	248	363	510
NOMO1	2418	3270	4528	6274
NOMO2	2426	3258	4507	6275
NOMO3	2426	3248	4538	6278
NONO	5638	7665	9583	15014
NOP10	267	391	520	727
NOP14	731	930	1196	1873
NOP16	257	390	540	736
NOP2	954	1257	1636	2549
NOP56	1204	1654	1874	2928
NOP58	1017	1317	1675	2400
NOP9	132	216	193	393
NOS1AP	44	55	81	151
NOS2	22	30	56	71
NOSIP	409	610	698	1088
NOTCH1	168	211	241	473
NOTCH2	786	1118	1316	2076
NOTCH2NL	69	94	128	203
NOTCH3	117	178	318	350
NOVA1	27	43	45	63
NPAS1	22	55	78	86
NPAS2	9	27	25	33
NPAT	215	283	438	540
NPC1	313	411	590	790
NPC2	249	352	491	605
NPDC1	88	150	170	313
NPEPL1	4	2	1	3
NPEPPS	1706	2164	2888	4157
NPHP1	38	29	66	92
NPHP3	104	142	177	267
NPHP4	56	103	111	190
NPIP	2	5	38	16
NPIPL1	11	9	15	29
NPIPL2	6	3	3	7
NPIPL3	29	29	56	57
NPL	9	9	18	19
NPLOC4	500	669	842	1248
NPM1	12794	15891	20215	32432
NPM3	213	257	361	584
NPNT	52	87	100	154
NPRL2	98	144	182	266
NPRL3	315	407	530	727
NPTN	349	489	595	877
NPTX1	108	192	240	362
NPTX2	56	77	97	128
NQO1	41	43	84	90
NQO2	116	184	262	334
NR1D2	275	365	517	641
NR1H2	38	48	88	122
NR1H3	18	35	31	49
NR2C1	252	328	494	685
NR2C2	83	129	207	271
NR2C2AP	45	61	81	137
NR2F1	76	147	175	268
NR2F2	184	250	334	508
NR2F6	152	226	316	464
NR3C1	313	394	558	784
NR3C2	84	118	183	222
NR6A1	17	16	20	29
NRARP	31	71	84	102
NRAS	316	394	575	706
NRBF2	122	123	186	263
NRBP1	421	524	764	950
NRBP2	13	14	14	30
NRCAM	166	245	324	448
NRD1	1391	1733	2478	3349
NRDE2	260	308	369	594
NRF1	177	200	278	392
NRIP1	129	159	211	319
NRIP3	32	38	54	76
NRN1	63	101	114	180
NRP1	283	382	400	728
NRP2	66	107	136	188
NRSN2	138	170	273	361
NRXN3	39	26	48	53
NSA2	721	914	1245	1696
NSD1	616	808	1091	1553
NSDHL	378	476	593	908
NSF	801	1017	1338	1951
NSFL1C	490	608	765	1229
NSL1	184	244	375	423
NSMAF	59	68	86	134
NSMCE1	140	185	320	378
NSMCE2	96	128	176	244
NSMCE4A	342	403	614	840
NSMF	32	49	65	94
NSRP1	236	232	336	483
NSUN2	1245	1633	2222	3064
NSUN3	98	135	202	239
NSUN4	91	126	175	280
NSUN5	228	332	461	672
NSUN6	93	124	179	234
NT5C	101	119	171	253
NT5C1B-RDH14	45	66	108	130
NT5C2	270	327	481	684
NT5C3A	203	280	349	376
NT5C3B	157	202	238	376
NT5DC1	422	562	842	1037
NT5DC2	332	483	595	943
NT5DC3	109	151	197	272
NTAN1	32	37	62	75
NTHL1	170	199	295	455
NTMT1	342	467	650	949
NTN1	139	217	229	388
NTPCR	230	277	418	648
NUAK1	41	54	66	111
NUB1	798	966	1425	1813
NUBP1	117	154	193	255
NUBP2	180	248	282	504
NUBPL	88	106	186	261
NUCB1	382	565	719	1041
NUCB2	354	444	579	681
NUCKS1	1707	2146	2649	4137
NUDC	2045	2783	3599	5529
NUDCD1	289	400	601	757
NUDCD2	202	281	369	509
NUDCD3	250	334	445	726
NUDT1	143	178	238	401
NUDT10	46	63	76	133
NUDT11	47	73	84	146
NUDT12	210	269	410	622
NUDT13	7	4	13	16
NUDT14	38	56	57	112
NUDT15	166	274	303	453
NUDT16	35	75	95	123
NUDT16L1	115	143	195	306
NUDT17	12	18	24	25
NUDT19	947	1353	1699	2572
NUDT2	51	60	96	112
NUDT21	760	972	1265	1752
NUDT22	29	57	57	78
NUDT4	272	378	557	740
NUDT5	736	887	1234	1882
NUDT6	24	26	49	59
NUDT7	27	27	59	55
NUDT8	16	38	39	66
NUDT9	100	135	235	301
NUF2	483	598	846	1201
NUFIP1	263	301	370	551
NUFIP2	439	520	747	1171
NUMA1	1000	1410	1780	2664
NUMB	132	190	252	416
NUMBL	98	142	195	265
NUP107	1550	1894	2767	3750
NUP133	1369	1722	2381	3476
NUP153	1468	1768	2646	3492
NUP155	2760	3637	5325	6458
