	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
MYO5A	756	610	816	764
MYO5B	196	146	199	161
MYO5C	494	481	602	561
MYO6	760	743	1057	981
MYO9A	2115	1855	2426	2191
MYO9B	599	704	808	711
MYOM2	70	49	89	72
MYSM1	1294	1239	1668	1602
MZF1	85	96	140	101
MZT1	249	141	243	254
MZT2A	683	448	826	862
MZT2B	903	621	1121	1167
N4BP1	519	425	582	561
N4BP2	917	773	1057	986
N4BP2L2	520	406	636	539
N6AMT1	100	71	87	84
N6AMT2	139	92	151	112
NAA10	1743	1327	1822	1793
NAA15	4180	3624	5075	4660
NAA16	619	578	825	793
NAA20	550	397	649	704
NAA25	2147	1741	2460	2339
NAA30	199	133	225	220
NAA35	1086	883	1199	1144
NAA38	482	343	605	591
NAA40	184	187	295	295
NAA50	1259	850	1219	1150
NAA60	67	73	70	42
NAAA	137	105	171	154
NAALAD2	41	35	59	59
NAB1	303	253	359	318
NAB2	56	39	72	81
NABP1	114	79	93	116
NABP2	306	176	294	259
NACA	10894	7048	10151	8994
NACA2	475	325	382	324
NACC1	413	465	661	517
NACC2	111	90	138	95
NADK	467	421	620	566
NADKD1	504	366	599	590
NADSYN1	416	338	429	369
NAE1	2784	1992	3134	2992
NAF1	271	361	459	426
NAGA	284	217	274	236
NAGK	162	100	152	144
NAGLU	266	204	290	249
NAGPA	146	114	175	165
NAIF1	45	39	55	67
NAIP	639	698	854	663
NAMPT	1413	915	1398	1145
NANP	187	134	200	192
NANS	1236	783	1258	1240
NAP1L1	7803	6275	9367	9981
NAP1L2	92	73	95	110
NAP1L3	329	234	435	385
NAP1L4	2254	1772	2426	2343
NAPA	430	420	505	472
NAPB	87	52	93	74
NAPEPLD	71	81	135	109
NAPG	262	210	313	311
NAPRT1	93	87	125	98
NARF	563	420	611	591
NARFL	243	182	252	231
NARG2	1200	945	1385	1197
NARR	88	61	87	84
NARS	2767	1861	2729	2662
NARS2	758	564	765	746
NASP	6081	4184	5879	5760
NAT1	83	53	85	68
NAT10	2131	1834	2211	2048
NAT14	65	44	77	57
NAT8L	40	30	40	47
NAT9	144	111	179	140
NAV1	82	141	181	112
NAV2	49	97	92	54
NBAS	2011	1507	2102	1930
NBEA	1627	1408	1902	1816
NBEAL1	749	600	809	677
NBEAL2	835	879	1122	833
NBL1	55	42	60	50
NBN	2215	1563	2319	2162
NBPF1	2850	2597	3464	2938
NBPF14	2244	2150	2787	2440
NBPF15	1262	1271	1671	1546
NBPF16	1232	1237	1612	1497
NBPF24	4034	4059	5041	4446
NBPF3	441	402	471	470
NBPF7	65	91	121	115
NBR1	1217	962	1220	1139
NCAM1	186	179	196	190
NCAPD2	4192	3555	4630	4269
NCAPD3	3679	3272	4017	3465
NCAPG	4035	2962	4149	3967
NCAPG2	2428	2138	3081	2716
NCAPH	1699	1280	1692	1533
NCAPH2	1249	954	1303	1158
NCBP1	2084	1697	2210	2102
NCBP2	293	219	283	273
NCDN	467	475	528	466
NCEH1	90	41	73	65
NCK1	406	289	442	427
NCK2	176	165	198	181
NCKAP1	4236	3393	4831	4538
NCKAP5L	284	309	308	263
NCKIPSD	665	553	674	555
NCL	24689	16987	22971	25444
NCLN	838	675	897	839
NCOA1	616	573	661	507
NCOA2	1222	1024	1323	1129
NCOA3	706	596	730	584
NCOA4	2696	1939	2773	2391
NCOA5	652	678	697	661
NCOA6	553	784	793	648
NCOA7	264	262	364	286
NCOR1	3236	2906	3525	3103
NCOR2	296	474	666	500
NCR3LG1	362	305	402	330
NCS1	206	136	241	221
NCSTN	737	758	902	713
NDC1	1896	1254	1787	1471
NDC80	1072	731	1173	1080
NDE1	338	287	384	329
NDEL1	384	329	406	390
NDFIP1	492	405	606	556
NDFIP2	473	284	460	417
NDNF	37	33	43	31
NDNL2	213	165	228	215
NDOR1	185	140	185	183
NDRG1	333	239	290	290
NDRG2	97	60	90	76
NDRG3	411	302	381	310
NDRG4	53	27	40	33
NDST1	482	430	613	489
NDST2	285	217	326	274
NDUFA1	1752	1104	2076	2140
NDUFA10	1304	904	1406	1324
NDUFA11	858	548	736	645
NDUFA12	836	502	938	874
NDUFA2	270	183	267	210
NDUFA3	384	207	350	268
NDUFA4	1090	636	1182	1065
NDUFA5	403	217	449	408
NDUFA6	473	297	538	518
NDUFA7	265	141	325	311
NDUFA8	655	392	596	616
NDUFA9	1711	1212	1775	1721
NDUFAB1	992	589	979	812
NDUFAF1	276	170	294	274
NDUFAF2	534	335	494	415
NDUFAF3	657	474	772	672
NDUFAF4	690	429	693	675
NDUFAF5	308	209	337	298
NDUFAF6	262	208	291	235
NDUFAF7	359	238	376	392
NDUFB1	628	316	762	659
NDUFB10	2072	1346	1830	1668
NDUFB11	717	517	812	825
NDUFB2	650	451	751	688
NDUFB3	738	434	811	789
NDUFB4	911	536	773	579
NDUFB5	436	250	499	513
NDUFB6	879	621	1130	1067
NDUFB7	592	395	627	624
NDUFB8	1447	923	1397	1304
NDUFB9	1431	1070	1899	1939
NDUFC1	306	180	303	222
NDUFC2-KCTD14	412	207	403	352
NDUFS1	2970	2090	3154	2805
NDUFS2	2027	1476	2358	2183
NDUFS3	1229	955	1339	1273
NDUFS4	490	354	519	499
NDUFS5	1954	1318	2161	2317
NDUFS6	521	322	543	617
NDUFS7	523	343	456	427
NDUFS8	893	626	850	780
NDUFV1	2489	1856	2711	2564
NDUFV2	928	596	967	834
NDUFV3	907	688	928	825
NEB	52	56	58	59
NEBL	100	77	86	91
NECAB3	95	81	120	96
NECAP1	288	224	299	301
NECAP2	301	213	323	291
NEDD1	727	562	769	707
NEDD4	222	173	230	197
NEDD4L	217	123	199	154
NEDD8-MDP1	478	310	574	498
NEFL	285	234	330	343
NEFM	482	469	554	540
NEIL1	63	57	71	66
NEIL2	53	42	75	69
NEIL3	641	480	735	688
NEK1	991	840	1112	1009
NEK10	78	63	118	92
NEK11	72	59	74	87
NEK2	1063	778	1097	1104
NEK3	300	226	312	298
NEK4	1799	1421	1846	1703
NEK6	232	194	260	225
NEK7	403	242	372	332
NEK8	53	37	52	44
NEK9	1337	1145	1574	1361
NELFA	348	295	355	357
NELFB	866	709	894	860
NELFCD	1341	1003	1272	1302
NELFE	1054	696	1058	953
NELL2	482	361	523	496
NEMF	1515	1152	1652	1565
NENF	528	353	627	576
NEO1	746	720	926	774
NES	42	28	57	42
NET1	1416	1006	1280	1303
NETO2	1133	774	1182	1042
NEU1	369	248	321	318
NEU3	281	217	298	242
NEURL4	833	745	1029	916
NEXN	58	48	45	59
NF1	2576	2633	3358	2799
NF2	1324	1223	1710	1572
NFAT5	897	948	1029	882
NFATC1	34	37	58	43
NFATC2IP	297	297	389	321
NFATC3	1090	907	1084	870
NFATC4	40	33	49	33
NFE2L1	1011	819	925	897
NFE2L2	551	520	724	617
NFE2L3	168	109	187	157
NFIA	276	271	322	326
NFIB	99	114	143	113
NFIC	31	49	61	50
NFIL3	143	153	160	139
NFIX	44	72	95	73
NFKB1	733	576	806	789
NFKB2	82	77	110	100
NFKBIA	299	215	219	217
NFKBIB	190	130	238	191
NFKBIE	46	20	52	56
NFKBIL1	149	107	149	135
NFKBIZ	77	77	54	62
NFRKB	1437	1216	1507	1245
NFS1	376	295	434	369
NFU1	573	333	529	532
NFX1	1204	1200	1467	1255
NFXL1	736	623	876	836
NFYA	244	270	300	237
NFYB	285	220	307	298
NFYC	448	337	439	387
NGDN	1082	797	1177	1218
NGEF	61	51	58	51
NGFRAP1	2321	1554	2799	2868
NGLY1	1048	780	1154	1058
NGRN	1260	909	1199	1198
NHEJ1	207	175	228	179
NHLRC2	882	743	988	821
NHLRC3	154	113	185	186
NHP2	2092	1305	1952	1949
NHP2L1	771	488	744	598
NHSL1	187	222	231	201
NICN1	54	24	35	26
NID1	796	1069	1157	951
NID2	182	184	202	188
NIF3L1	649	458	643	569
NIN	2687	2225	3249	3116
NINL	302	249	361	353
NIP7	630	469	729	645
NIPA1	41	34	39	33
NIPA2	728	481	690	616
NIPAL1	44	32	62	51
NIPAL2	33	31	32	30
NIPAL3	287	192	266	227
NIPBL	2929	2886	3510	3100
NIPSNAP1	683	422	618	561
NIPSNAP3B	54	18	55	36
NISCH	1337	1203	1474	1296
NIT1	272	168	243	223
NIT2	679	427	589	559
NKAP	859	693	890	842
NKD2	61	55	76	63
NKIRAS1	105	91	127	139
NKIRAS2	193	179	229	228
NKRF	1748	1415	1785	1647
NKTR	3513	2862	3592	3106
NKX2-5	138	100	126	111
NKX6-1	35	26	37	43
NLE1	578	446	571	454
NLGN1	175	112	163	144
NLGN2	54	99	123	86
NLK	170	102	148	101
NLN	1242	1051	1323	1252
NLRP14	56	35	43	46
NLRX1	260	206	312	258
NMB	52	19	36	30
NMD3	1356	948	1491	1462
NME1-NME2	6761	4711	6590	6114
NME3	155	123	219	192
NME4	549	378	642	542
NME6	126	132	168	128
NME7	298	252	359	352
NMNAT1	112	79	110	139
NMRAL1	247	192	258	219
NMRK1	57	31	56	43
NMT1	1484	1076	1381	1285
NMT2	449	353	478	484
NMU	106	75	106	90
NNT	1666	1275	1846	1583
NOA1	742	612	791	762
NOB1	784	625	833	776
NOC2L	3633	2671	3350	3431
NOC3L	2302	1656	2371	2219
NOC4L	400	317	408	335
NOD1	80	69	70	80
NOL10	2009	1464	2206	2113
NOL11	4055	2931	3973	3562
NOL12	679	440	566	636
NOL6	989	845	999	822
NOL7	1861	1396	1993	2113
NOL8	1875	1675	2330	2164
NOL9	1293	1062	1352	1132
NOLC1	4230	3187	4035	3856
NOM1	751	578	713	727
NOMO1	6938	6087	7333	6430
NOMO2	7141	6287	7536	6695
NOMO3	7078	6131	7417	6522
NONO	10188	7698	10601	10192
NOP10	255	163	220	183
NOP14	3531	2931	3787	3841
NOP16	915	600	1019	1056
NOP2	2350	1883	2376	2284
NOP56	7893	6109	8550	8094
NOP58	4698	3457	5123	5025
NOP9	573	472	628	577
NOS1AP	27	44	56	34
NOS2	28	21	37	25
NOSIP	856	629	840	733
NOTCH1	248	279	324	231
NOTCH2	3700	3620	4871	4202
NOTCH2NL	416	370	553	465
NOTCH3	116	182	231	151
NOVA1	45	45	60	58
NPAS1	53	52	68	58
NPAS2	29	30	41	29
NPAT	1546	1147	1494	1213
NPC1	530	517	611	520
NPC2	264	150	255	240
NPDC1	136	121	151	133
NPEPL1	48	55	63	61
NPEPPS	2316	2330	3497	3046
NPHP1	194	110	191	162
NPHP3	607	507	721	682
NPHP4	237	282	337	252
NPIP	2043	2174	2294	1813
NPIPL1	352	615	606	472
NPIPL2	100	167	180	130
NPIPL3	903	1714	1666	1358
NPL	65	55	71	84
NPLOC4	1559	1252	1508	1350
NPM1	56132	39425	61697	62402
NPM3	749	548	865	895
NPNT	62	43	75	58
NPRL2	438	314	422	357
NPRL3	100	139	167	110
NPTN	604	416	613	541
NPTX1	137	121	163	156
NPTX2	91	77	89	69
NQO1	89	89	105	97
NQO2	223	150	270	235
NR1D2	1014	764	1113	986
NR1H2	182	120	149	135
NR1H3	112	75	86	85
NR2C1	606	492	718	633
NR2C2	334	354	449	349
NR2C2AP	79	58	73	81
NR2F1	170	181	169	154
NR2F2	184	184	261	210
NR2F6	150	108	246	215
NR3C1	547	457	668	586
NR3C2	292	219	284	270
NR6A1	200	222	239	186
NRARP	27	26	35	38
NRAS	709	520	725	572
NRBF2	256	153	243	215
NRBP1	1053	896	997	866
NRBP2	42	30	28	25
NRCAM	172	133	189	167
NRD1	3092	2679	3734	3390
NRDE2	982	839	1094	1020
NRF1	441	365	443	388
NRIP1	779	621	771	693
NRIP3	92	62	104	76
NRN1	109	81	107	99
NRP1	480	382	471	477
NRP2	99	95	117	84
NRSN2	48	60	58	55
NRXN3	112	103	107	97
NSA2	2013	1178	1895	1798
NSD1	6135	5736	7965	7490
NSDHL	716	542	634	550
NSF	2001	1706	2242	2093
NSFL1C	641	478	652	602
NSL1	807	577	807	752
NSMAF	642	514	690	591
NSMCE1	472	364	522	516
NSMCE2	301	216	300	316
NSMCE4A	966	656	1036	1026
NSMF	510	456	606	479
NSRP1	269	178	199	216
NSUN2	2565	2094	2828	2849
NSUN3	317	255	358	322
NSUN4	224	199	231	210
NSUN5	583	445	598	633
NSUN6	367	307	461	433
NT5C	231	167	219	194
NT5C1B-RDH14	253	156	209	224
NT5C2	433	348	445	392
NT5C3A	442	279	412	386
NT5C3B	1430	967	1334	1129
NT5DC1	866	717	894	778
NT5DC2	1801	1493	1798	1586
NT5DC3	280	257	329	327
NTAN1	247	138	217	169
NTHL1	627	437	672	690
NTMT1	555	395	461	485
NTN1	61	67	75	80
NTPCR	692	447	701	621
NUAK1	146	120	149	123
NUB1	992	705	921	851
NUBP1	350	220	311	308
NUBP2	420	335	470	517
NUBPL	191	128	254	226
NUCB1	554	485	601	569
NUCB2	789	531	778	816
NUCKS1	9650	7284	9713	9945
NUDC	1954	1342	1763	1959
NUDCD1	849	596	1012	962
NUDCD2	302	173	313	346
NUDCD3	506	348	456	435
NUDT1	226	165	236	247
NUDT10	208	135	237	235
NUDT11	241	162	301	277
NUDT12	479	328	522	501
NUDT13	36	22	41	36
NUDT14	80	53	72	73
NUDT15	223	205	304	293
NUDT16	76	47	101	77
NUDT16L1	115	82	140	136
NUDT17	28	32	41	31
NUDT19	232	185	276	285
NUDT2	150	136	173	172
NUDT21	1192	740	1144	1035
NUDT22	90	53	96	99
NUDT4	207	164	236	251
NUDT5	1197	866	1371	1209
NUDT6	55	35	63	46
NUDT7	48	29	36	40
NUDT8	75	42	82	80
NUDT9	227	174	243	259
NUF2	1014	698	1008	977
NUFIP1	485	397	584	547
NUFIP2	1815	1490	1812	1657
NUMA1	2681	2515	3034	2682
NUMB	304	287	311	255
NUMBL	74	100	119	117
NUP107	3526	2465	3924	3693
NUP133	6864	4978	7730	6967
NUP153	6324	5230	6370	5023
NUP155	5972	4532	6302	5360
NUP160	3757	3290	4727	4091
NUP188	4264	4044	4868	4333
NUP205	9332	6824	9855	8590
NUP210	2519	2587	2988	2437
NUP214	1208	1442	1656	1257
NUP35	623	440	609	450
NUP37	1003	657	926	876
NUP43	1406	1026	1436	1209
NUP50	1353	1144	1528	1504
NUP54	1651	1061	1569	1418
NUP62	723	580	677	540
NUP62CL	153	106	144	111
NUP85	1279	899	1274	1140
NUP88	2259	1665	2209	1936
NUP93	2831	2057	3000	2840
NUP98	4582	3496	4546	3888
NUPL1	1186	872	1176	947
NUPL2	1066	700	1026	839
NUS1	448	457	618	583
NUSAP1	2018	1413	1872	1635
NUTF2	626	342	489	311
NUTM2A	85	79	92	96
NVL	2409	1950	2750	2436
NXF1	800	688	717	734
NXN	235	170	215	212
NXPE3	444	362	509	427
NXT1	187	145	193	181
NXT2	125	81	130	102
NYNRIN	61	84	77	76
OAF	124	105	128	110
OARD1	71	47	84	56
OAT	3569	2183	3267	2924
OAZ1	6680	4486	6251	5596
OAZ2	145	118	215	201
OBFC1	156	107	169	151
OBSCN	243	233	330	265
OBSL1	767	669	868	875
OCA2	30	33	43	51
OCIAD1	735	515	674	628
OCLN	321	245	344	312
OCRL	1074	998	1320	1171
ODC1	6974	4822	7668	7209
ODF2	1312	1120	1434	1329
ODF2L	490	398	607	639
OFD1	927	777	957	911
OGDH	863	835	1026	890
OGDHL	327	272	358	369
OGFOD1	1163	1029	1474	1416
OGFOD2	75	48	56	52
OGFOD3	133	101	160	136
OGFR	503	369	533	556
OGFRL1	380	274	375	393
OGG1	142	110	130	97
OGT	3941	3159	4510	3962
OIP5	251	148	252	222
OLA1	2978	2172	3157	3241
OMA1	843	564	831	748
ONECUT2	43	46	40	39
OPA1	2296	1768	2664	2501
OPHN1	158	143	208	174
OPN3	38	37	71	53
OPTN	146	79	149	129
ORAI1	60	35	58	27
ORAI2	41	35	64	38
ORAOV1	57	42	66	46
ORC1	1383	1060	1347	1186
ORC2	1068	791	1041	1020
ORC3	1111	822	1130	973
ORC4	914	652	902	864
ORC5	810	598	906	775
ORC6	705	576	758	771
ORMDL1	362	192	280	263
ORMDL2	204	129	213	180
ORMDL3	100	54	83	80
OS9	1552	1139	1558	1543
OSBP	825	795	1051	990
OSBP2	81	84	105	74
OSBPL10	84	81	82	65
OSBPL11	816	705	927	763
OSBPL1A	354	315	435	406
OSBPL2	331	265	346	334
OSBPL3	485	420	529	486
OSBPL5	94	71	90	70
OSBPL6	431	382	553	425
OSBPL8	1507	1140	1626	1563
OSBPL9	1761	1223	1712	1583
OSCP1	64	51	80	70
OSER1	369	280	349	272
OSGEP	692	530	776	716
OSGEPL1	231	167	227	181
OSGIN2	318	225	332	312
OSR2	34	39	34	23
OST4	169	87	213	185
OSTC	473	241	508	511
OSTF1	236	158	242	157
OSTM1	236	169	264	245
OTUB1	750	586	645	529
OTUB2	53	40	49	39
OTUD1	34	33	45	48
OTUD3	251	168	299	267
OTUD4	1222	1148	1446	1357
OTUD5	517	423	609	554
OTUD6B	559	404	566	582
OTUD7A	46	37	53	33
OTUD7B	561	401	608	568
OVCA2	335	276	312	266
OVGP1	97	74	92	101
OVOS2	77	69	86	79
OXA1L	1184	916	1235	982
OXCT1	714	480	769	672
OXLD1	122	83	136	128
OXNAD1	399	346	499	461
OXR1	576	416	672	563
OXSM	347	219	359	334
OXSR1	775	596	768	785
P2RX4	98	63	102	88
P2RY1	134	100	140	100
P4HA1	711	489	722	670
P4HA2	200	152	206	156
P4HB	3874	3085	3855	3518
PA2G4	6745	5498	7723	7382
PAAF1	165	142	183	165
PABPC1	8089	9527	11467	9779
PABPC1L	109	139	131	124
PABPC3	744	886	1200	975
PABPC4	2456	2630	3330	2895
PABPC4L	285	256	352	353
PACRGL	138	100	110	77
PACS1	146	205	226	228
PACS2	446	381	417	359
PACSIN2	579	501	673	724
PACSIN3	242	183	217	236
PAF1	1266	921	1156	1112
PAFAH1B1	1409	1068	1490	1427
PAFAH1B2	984	749	1180	1093
PAFAH1B3	271	240	307	298
PAFAH2	72	63	85	73
PAG1	148	140	152	125
PAGR1	681	544	833	914
PAICS	5981	5127	6922	6866
PAIP1	1306	940	1437	1264
PAIP2	546	371	565	501
PAIP2B	63	50	70	72
PAK1	351	327	422	460
PAK1IP1	1283	829	1387	1145
PAK2	553	682	858	742
PAK4	230	220	284	285
PALB2	692	638	795	688
PALD1	419	309	428	401
PALLD	302	336	428	379
PALM	32	35	38	33
PALM2-AKAP2	305	232	290	272
PAM	848	662	906	768
PAN2	607	485	609	577
PAN3	603	515	732	619
PANK1	185	124	197	178
PANK2	636	476	817	755
PANK3	1525	1134	1707	1645
PANK4	401	285	406	331
PANX1	169	134	184	152
PAPD4	516	415	566	486
PAPD5	436	344	426	398
PAPD7	384	332	449	396
PAPOLA	3236	2898	3602	3192
PAPOLG	359	288	399	385
PAPSS1	774	542	822	755
PAPSS2	163	154	197	182
PAQR3	347	275	333	282
PAQR4	61	42	56	40
PAQR5	57	44	50	41
PAQR8	33	16	35	24
PARD3	938	778	986	911
PARD3B	183	162	205	183
PARD6B	176	139	230	188
PARG	1918	1595	2307	2165
PARK7	2559	1785	2669	2760
PARL	367	252	377	326
PARN	894	766	964	880
PARP1	22347	17449	22878	21672
PARP11	92	97	116	101
PARP16	73	76	81	64
PARP2	795	633	844	806
PARP3	118	70	84	83
PARP4	958	804	1041	898
PARP6	430	393	512	444
PARP8	233	187	268	243
PARP9	70	42	64	74
PARPBP	698	532	809	776
PARS2	152	122	150	114
PARVA	148	143	186	183
PARVB	340	309	391	337
PASK	585	498	655	579
PATL1	447	540	601	524
PATZ1	448	425	574	519
PAWR	595	464	751	755
PAX3	130	126	160	139
PAX6	220	154	191	168
PAXBP1	2193	1728	2452	2349
PAXIP1	768	589	894	787
PBDC1	331	259	366	369
PBK	501	308	481	497
PBLD	54	35	73	54
PBRM1	3838	3095	4168	3830
PBX1	213	179	235	198
PBX2	329	279	391	327
PBX3	180	143	185	181
PBXIP1	196	134	207	206
PC	252	194	257	237
PCBD1	183	117	183	141
PCBD2	43	50	50	60
PCBP1	591	672	730	605
PCBP2	2807	3787	3956	3092
PCBP4	64	57	44	55
PCCA	331	284	327	350
PCCB	1296	904	1370	1191
PCDH10	529	515	696	598
PCDH17	105	83	119	93
PCDH18	59	39	72	66
PCDH20	168	98	168	148
PCDH7	816	799	975	868
PCDH9	685	528	648	621
PCED1A	237	195	216	184
PCF11	2671	2107	2721	2379
PCGF1	197	126	173	172
PCGF2	59	60	94	70
PCGF3	234	174	234	200
PCGF5	194	144	244	181
PCGF6	612	426	675	738
PCID2	510	311	539	471
PCIF1	163	207	240	175
PCK2	226	173	236	204
PCLO	531	744	777	626
PCM1	3984	3094	4580	4347
PCMT1	1486	1043	1583	1438
PCMTD1	133	157	160	148
PCMTD2	305	240	366	354
PCNA	6043	4173	6137	6038
PCNP	750	474	698	703
PCNT	3485	3556	4515	4202
PCNX	2387	2122	2745	2473
PCNXL2	1145	1030	1305	1122
PCNXL3	723	772	904	732
PCNXL4	1171	890	1371	1195
PCOLCE2	331	219	362	310
PCSK1N	30	21	50	34
PCSK5	231	174	233	247
PCSK6	804	666	985	814
PCSK7	402	342	483	430
PCTP	148	94	123	121
PCYOX1	426	378	499	486
PCYOX1L	98	57	80	73
PCYT1A	278	165	248	214
PCYT2	234	168	212	185
PDAP1	1155	769	1041	1100
PDCD10	647	403	598	530
PDCD11	5119	4157	5532	5206
PDCD2	1381	947	1549	1522
PDCD2L	354	261	419	365
PDCD4	1238	865	1354	1471
PDCD5	1742	990	1760	1661
PDCD6	427	301	378	329
PDCD6IP	3330	2725	3718	3409
PDCD7	122	107	165	163
PDCL	347	242	363	354
PDCL3	468	265	426	401
PDDC1	170	112	237	151
PDE10A	104	97	91	92
PDE12	882	728	966	899
PDE3B	718	618	888	740
PDE4A	45	51	48	43
PDE4D	110	82	112	78
PDE4DIP	1052	1052	1398	1239
PDE5A	170	126	189	171
PDE6D	154	134	192	181
PDE7A	247	163	259	275
PDE8A	599	411	640	515
PDE9A	166	127	157	127
PDF	107	77	109	118
PDGFC	136	90	173	130
PDGFRL	39	30	49	45
PDHA1	2067	1445	2272	2224
PDHB	2682	1815	2638	2610
PDHX	735	510	695	637
PDIA3	3662	2930	3846	3850
PDIA4	3483	2610	3681	3721
PDIA5	284	247	331	318
PDIA6	4356	3062	4698	4584
PDIK1L	203	174	293	243
PDK1	217	169	237	214
PDK2	133	109	136	122
PDK3	358	286	429	373
PDLIM1	507	407	526	449
PDLIM2	44	17	47	45
PDLIM3	79	65	108	90
PDLIM5	313	272	375	341
PDLIM7	188	193	168	182
PDP1	323	242	316	251
PDP2	255	222	265	236
PDPK1	474	453	587	514
PDPN	159	93	108	109
PDPR	565	604	774	720
PDRG1	172	111	209	243
PDS5A	3103	2430	3454	3169
PDS5B	1742	1672	2180	1939
PDSS1	450	308	501	474
PDSS2	185	147	196	177
PDXDC1	1967	1409	1884	1857
PDXK	598	467	616	615
PDZD11	148	120	150	127
PDZD4	41	39	52	55
PDZD8	1995	1662	2090	1960
PDZRN3	143	97	140	125
PEA15	178	123	145	130
PEAK1	528	576	697	606
PEBP1	1346	876	1294	1149
PECR	160	117	191	170
PEF1	625	477	506	407
PELI1	252	149	186	166
PELI2	151	111	169	133
PELI3	68	64	67	56
PELO	552	374	538	457
PELP1	915	1032	1231	1071
PEMT	281	257	280	267
PEPD	819	514	846	819
PER1	180	222	239	162
PER2	156	121	158	143
PER3	34	41	34	36
PERP	442	230	314	242
PES1	3577	2422	3545	3624
PET100	312	243	351	415
PET112	611	423	584	527
PET117	79	62	127	130
PEX1	864	605	903	785
PEX10	119	105	139	138
PEX11A	97	79	107	118
PEX11B	154	113	152	123
PEX12	35	28	31	36
PEX13	317	227	352	316
PEX14	145	142	143	158
PEX16	171	124	175	171
PEX2	360	269	365	412
PEX26	199	172	241	217
PEX3	772	486	800	740
PEX5	441	378	567	472
PEX6	108	99	128	90
PEX7	152	107	199	181
PFAS	2171	1820	2400	2025
PFDN1	426	238	402	321
PFDN2	670	389	556	593
PFDN4	767	534	818	883
PFDN5	1532	1027	1633	1579
PFDN6	487	322	489	469
PFKFB2	266	166	263	221
PFKFB3	264	272	309	257
PFKFB4	67	56	80	68
PFKM	1653	1267	1810	1662
PFKP	878	679	1008	895
PFN1	2706	2098	2870	2775
PFN2	344	272	449	411
PGAM1	3599	2475	3480	2965
PGAM4	971	608	958	737
PGAM5	758	564	837	815
PGAP1	515	424	614	482
PGAP2	106	68	85	77
PGBD1	427	405	512	478
PGBD2	139	104	129	120
PGBD4	55	44	50	56
PGBD5	103	108	119	68
PGD	2100	1583	1949	1885
PGGT1B	474	306	449	411
PGK1	6425	4448	6027	5364
PGLS	221	186	285	237
PGM1	1126	855	1267	1105
PGM2	1072	750	1148	1113
PGM2L1	164	124	176	184
PGM3	961	647	976	853
PGP	328	201	351	319
PGRMC1	1359	921	1330	1231
PGRMC2	166	161	211	218
PGS1	286	243	285	288
PHACTR2	443	310	387	348
PHACTR4	412	515	589	535
PHAX	955	717	1095	926
PHB	3110	2113	2833	2405
PHB2	3417	2362	3364	2746
PHC1	345	316	386	309
PHC2	521	438	578	483
PHC3	444	461	509	399
PHF1	90	66	114	92
PHF10	1193	1350	1671	1509
PHF12	210	308	317	299
PHF13	94	76	164	120
PHF14	1617	1195	1652	1551
PHF15	64	45	67	67
PHF16	357	345	419	434
PHF17	718	576	854	798
PHF19	241	188	256	266
PHF2	517	523	595	483
PHF20	789	765	862	879
PHF20L1	1379	967	1309	1206
PHF21A	77	74	114	82
PHF23	493	337	527	560
PHF3	4946	3735	5177	4625
PHF5A	467	221	480	419
PHF6	1896	1331	1891	1783
PHF7	48	31	44	39
PHF8	982	1016	1275	1204
PHGDH	3904	3415	4266	4163
PHIP	3231	2727	3829	3521
PHKA1	1213	889	1273	1154
PHKA2	665	549	717	580
PHKB	924	787	1067	909
PHKG2	552	500	623	582
PHLDB1	134	131	153	153
PHLDB2	173	140	195	175
PHLDB3	68	42	61	62
PHLPP1	366	386	482	412
PHLPP2	639	619	724	637
PHOSPHO2	95	89	152	108
PHPT1	409	259	400	346
PHRF1	1267	1175	1360	1260
PHTF1	539	401	567	578
PHTF2	492	412	543	524
PHYH	104	87	104	117
PHYHD1	159	112	198	128
PI4K2A	230	177	206	196
PI4K2B	471	325	487	518
PI4KA	2577	2576	3102	2596
PI4KB	1614	1280	1566	1511
PIAS1	565	454	519	456
PIAS2	426	340	445	384
PIAS3	246	261	276	210
PIAS4	249	229	277	287
PIBF1	731	604	879	844
PICALM	1420	1187	1424	1273
PICK1	495	385	489	435
PIDD	173	154	188	201
PIEZO1	1138	1113	1360	1088
PIF1	107	81	114	107
PIGA	503	353	528	480
PIGB	128	82	126	116
PIGC	362	225	372	358
PIGF	275	192	252	221
PIGG	684	571	739	607
PIGH	202	105	164	116
PIGK	1292	903	1303	1214
PIGL	111	91	140	125
PIGM	242	217	269	233
PIGN	615	451	611	566
PIGO	418	391	441	367
PIGP	173	99	152	159
PIGQ	366	316	353	320
PIGS	709	555	754	639
PIGT	558	388	547	385
PIGU	323	238	252	245
PIGV	69	64	70	55
PIGW	618	513	648	521
PIGX	184	126	226	196
PIGY	225	169	226	196
PIH1D1	482	334	578	510
PIH1D2	46	34	36	37
PIK3AP1	49	40	63	47
PIK3C2A	2774	2341	3136	2718
PIK3C2B	128	150	196	116
PIK3C3	502	456	590	568
PIK3CA	410	340	482	413
PIK3CB	410	520	691	553
PIK3CD	43	32	37	45
PIK3R1	316	286	376	312
PIK3R2	451	494	567	469
PIK3R3	581	454	591	527
PIK3R4	1704	1265	1732	1556
PIKFYVE	1292	1130	1489	1276
PILRA	33	29	36	21
PILRB	254	241	288	205
PIM1	65	62	75	67
PIM2	250	191	233	187
PIM3	282	219	357	331
PIN1	533	382	574	589
PIN4	902	536	798	832
