	isrib_a_hek	isrib_b_hek	untr_a_hek	untr_b_hek
DNAJC8	2655	2009	2764	2918
DNAJC9	1098	819	1088	1095
DNAL1	115	82	163	153
DNAL4	65	37	51	54
DNASE1L1	210	138	181	169
DNASE2	272	159	208	195
DNHD1	157	195	248	186
DNLZ	53	42	60	69
DNM1	157	180	206	161
DNM1L	2303	1572	2212	2012
DNM2	1745	1701	1897	1626
DNM3	113	120	162	128
DNMBP	226	211	326	276
DNMT1	4681	4632	5493	4887
DNMT3A	202	200	230	208
DNMT3B	423	390	413	357
DNPEP	394	307	401	335
DNPH1	394	288	488	416
DNTTIP1	420	307	472	470
DNTTIP2	3470	2624	3651	3398
DOC2A	32	18	36	28
DOCK1	1917	1481	2155	1909
DOCK11	865	615	972	926
DOCK3	517	510	619	508
DOCK4	671	565	696	596
DOCK5	432	460	565	497
DOCK6	136	172	193	149
DOCK7	3159	2455	3404	3049
DOCK8	53	55	54	65
DOCK9	566	491	621	554
DOHH	101	69	97	98
DOK1	70	50	73	60
DOK3	27	37	43	32
DOK4	24	20	25	19
DOLK	219	181	237	173
DOLPP1	202	116	161	136
DOM3Z	216	202	265	249
DONSON	1049	783	1013	950
DOPEY1	1697	1276	1882	1684
DOPEY2	335	298	394	343
DOT1L	440	547	659	554
DPAGT1	217	186	170	172
DPCD	305	249	432	457
DPF1	91	83	97	83
DPF2	448	428	498	488
DPF3	34	22	31	35
DPH1	491	373	451	388
DPH2	717	458	716	633
DPH3	64	43	77	60
DPH5	633	400	678	641
DPH6	100	71	135	105
DPM1	686	429	686	653
DPM2	92	49	80	73
DPM3	97	55	110	108
DPP3	563	454	645	581
DPP7	48	45	42	41
DPP8	819	631	895	775
DPP9	523	535	566	520
DPY19L1	897	550	927	819
DPY19L2	42	25	42	32
DPY19L3	451	428	490	496
DPY19L4	451	325	539	453
DPY30	333	200	308	269
DPYSL2	320	337	449	342
DPYSL3	29	23	20	30
DPYSL4	135	161	177	159
DPYSL5	514	484	564	502
DQ576756	83	102	138	124
DQ786325	298	225	286	253
DR1	779	554	780	746
DRAM2	298	187	247	189
DRAP1	504	359	499	557
DRG1	2225	1498	2205	2118
DRG2	1020	746	1011	949
DROSHA	1667	2001	2448	2025
DSC2	270	209	321	270
DSC3	460	349	488	439
DSCC1	686	492	744	759
DSCR3	268	175	221	211
DSE	606	435	574	475
DSG2	1267	1179	1655	1361
DSN1	698	568	765	755
DSP	5218	4674	6439	5661
DST	5360	4650	6085	5767
DSTN	821	599	837	775
DSTYK	460	421	580	536
DTD1	530	384	585	605
DTD2	181	128	205	185
DTL	2079	1584	2214	1795
DTNA	158	140	167	132
DTNB	232	212	254	227
DTNBP1	190	192	282	263
DTWD1	170	120	187	156
DTWD2	121	94	141	109
DTX2	71	60	80	62
DTX3	60	62	48	41
DTX3L	85	78	116	87
DTYMK	767	553	881	879
DUS1L	1892	1541	2167	1972
DUS2L	285	174	331	342
DUS3L	914	737	870	839
DUS4L	136	96	146	128
DUSP1	121	86	107	67
DUSP11	438	275	424	435
DUSP12	446	304	449	469
DUSP14	159	108	132	108
DUSP16	271	257	359	309
DUSP19	40	26	33	49
DUSP2	36	23	39	33
DUSP22	98	89	92	98
DUSP3	204	141	218	180
DUSP7	72	76	116	100
DUSP9	141	101	153	135
DUT	702	446	775	830
DVL1	911	660	834	750
DVL2	714	569	706	596
DVL3	328	321	350	312
DYM	518	381	512	399
DYNC1H1	17806	16827	22315	20306
DYNC1I2	1676	1116	1670	1525
DYNC1LI1	2186	1557	2312	2267
DYNC1LI2	987	860	1145	1075
DYNC2H1	8748	6500	9746	9302
DYNC2LI1	388	268	466	416
DYNLL1	935	602	805	790
DYNLL2	127	99	129	114
DYNLRB1	198	125	149	104
DYNLT1	582	311	511	482
DYNLT3	143	80	155	146
DYRK1A	1026	802	995	874
DYRK1B	86	73	82	70
DYRK2	643	506	659	665
DYRK3	371	290	409	329
DYRK4	204	161	181	185
DYX1C1	41	43	73	54
DZANK1	51	44	49	53
DZIP1	1700	1402	2057	1829
DZIP1L	188	141	227	223
DZIP3	1653	1070	1615	1555
E2F1	691	512	628	572
E2F2	150	140	175	178
E2F3	483	472	473	405
E2F4	926	632	868	679
E2F5	272	194	361	324
E2F6	293	192	299	269
E2F7	500	454	584	530
E2F8	428	365	465	386
E4F1	698	577	731	616
EAF1	296	206	280	220
EAF2	80	47	74	59
EAPP	572	374	561	479
EARS2	578	463	622	579
EBAG9	141	110	154	143
EBF3	173	131	169	155
EBLN2	93	96	131	121
EBNA1BP2	2194	1513	2189	2282
EBP	796	527	745	693
EBPL	286	169	281	246
ECD	800	627	866	767
ECE1	255	289	325	230
ECE2	41	42	66	64
ECEL1	46	40	46	41
ECHDC1	1063	700	1111	1047
ECHS1	1789	1232	2055	1941
ECI1	581	366	608	487
ECI2	1895	1314	2058	1974
ECSIT	455	306	415	385
ECT2	2594	1867	2742	2452
EDA	34	24	46	30
EDC3	578	650	725	628
EDC4	1657	1399	1779	1369
EDEM1	551	458	634	643
EDEM2	329	220	305	249
EDEM3	1082	864	1177	1108
EDF1	1216	711	1147	973
EEA1	1040	947	1243	1041
EED	688	539	815	759
EEF1A1	237295	160150	251035	240019
EEF1A2	212	196	201	173
EEF1B2	8966	5919	8666	7069
EEF1D	4238	3138	4154	3919
EEF1E1	1316	731	1257	1112
EEF1G	36617	26604	37211	35029
EEF2	41731	31355	36863	32405
EEF2K	282	272	324	311
EEFSEC	165	187	231	165
EEPD1	92	105	115	116
EFCAB11	92	53	81	98
EFCAB14	296	308	393	353
EFCAB2	62	51	75	52
EFCAB4B	140	125	160	140
EFCAB6	82	59	72	53
EFCAB7	340	247	363	320
EFHC1	303	242	314	328
