	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
ACSL4	1993	2172	904	1142	1299	1240	1165	908
ACSM3	62	52	22	27	173	151	118	100
ACSS1	316	404	159	235	233	232	203	195
ACSS2	159	223	57	91	285	244	273	233
ACSS3	189	211	88	107	59	62	45	45
ACTA2	452	774	281	402	77	63	77	60
ACTB	30143	37370	14682	20962	17010	15507	17772	15271
ACTG1	21942	28818	11225	16580	18963	16603	23790	17390
ACTL6A	2020	2416	1004	1231	1072	1032	1170	766
ACTN1	2069	2779	1055	1515	1429	1219	1276	1290
ACTN2	7	22	5	10	194	180	131	141
ACTN4	9078	12164	4672	6591	2388	2095	2156	2152
ACTR10	1331	1446	674	773	806	792	831	580
ACTR1A	2668	3481	1293	1743	1795	1597	1751	1305
ACTR1B	230	304	125	182	523	460	472	361
ACTR2	1820	2290	880	1224	2393	2286	2053	1780
ACTR3	2662	3031	1348	1652	2590	2446	2603	1740
ACTR3B	59	80	24	35	247	178	160	158
ACTR3C	52	63	18	28	22	20	15	12
ACTR5	196	266	77	136	413	354	316	278
ACTR6	1402	1422	604	760	1029	1079	950	676
ACTR8	729	813	341	459	1761	1621	1676	1233
ACTRT3	44	32	21	20	59	75	54	43
ACVR1	162	165	81	97	130	75	86	105
ACVR1B	347	519	195	266	322	329	322	242
ACVR1C	23	29	7	15	32	36	33	33
ACVR2A	224	291	111	145	304	285	297	212
ACVR2B	93	129	33	72	496	437	426	382
ACYP1	210	202	74	117	155	158	155	96
ACYP2	60	78	22	25	37	37	45	36
AD000864.1	59	52	18	22	57	51	38	44
ADA	296	294	131	149	200	179	174	106
ADAL	123	108	49	60	184	168	199	157
ADAM10	846	916	379	546	940	875	834	717
ADAM11	102	130	40	67	131	121	133	117
ADAM15	521	675	247	354	1004	828	1036	748
ADAM17	263	363	150	188	899	862	776	606
ADAM19	42	50	20	17	51	68	58	43
ADAM22	107	103	38	68	406	346	389	308
ADAM23	180	221	70	98	292	283	270	238
ADAM32	0	0	0	0	21	33	20	21
ADAM8	3	2	1	2	36	31	28	28
ADAM9	804	885	341	457	1994	1943	1882	1347
ADAMTS1	4873	6376	2292	3036	845	758	786	620
ADAMTS10	15	10	6	12	11	12	16	15
ADAMTS13	21	8	13	15	161	111	107	128
ADAMTS15	61	76	20	32	47	22	35	14
ADAMTS17	34	60	17	20	259	241	190	219
ADAMTS19	138	183	69	95	210	196	174	173
ADAMTS2	75	86	24	28	47	27	25	34
ADAMTS20	52	49	22	48	307	252	257	194
ADAMTS3	135	164	74	98	259	275	264	200
ADAMTS6	9	5	2	3	68	68	68	58
ADAMTS7	12	19	9	10	50	43	44	49
ADAMTS9	32	35	17	12	298	280	236	232
ADAMTSL3	13	11	11	8	42	38	41	22
ADAMTSL4	9	6	1	4	40	40	48	62
ADAP1	14	24	8	8	59	60	75	59
ADAP2	49	48	21	37	83	77	63	49
ADAR	4166	4835	1835	2512	5993	5227	5372	4535
ADARB1	107	199	48	64	354	284	318	320
ADAT1	140	128	64	73	550	455	409	417
ADAT2	113	110	29	62	340	331	245	211
ADAT3	53	100	24	34	58	59	45	31
ADCK1	114	150	58	75	184	185	165	157
ADCK2	524	627	208	293	593	555	534	425
ADCK5	18	29	8	8	66	62	66	45
ADCY1	37	22	13	11	392	341	346	292
ADCY3	517	629	234	338	1217	1055	1180	1027
ADCY6	419	573	197	267	386	323	330	275
ADCY7	73	63	22	40	103	83	95	82
ADCY9	298	364	160	209	615	562	459	446
ADCYAP1R1	12	20	6	5	25	25	34	27
ADD1	1651	2058	787	1111	1370	1395	1316	1162
ADD2	336	443	121	172	479	455	407	428
ADD3	1747	1975	773	1080	1347	1188	1403	993
ADGRA2	28	38	10	17	92	65	74	63
ADGRA3	172	199	80	94	1075	942	955	761
ADGRB2	54	48	24	38	279	240	241	222
ADGRB3	14	11	8	7	363	327	326	265
ADGRE5	1085	1296	484	669	93	57	51	48
ADGRG2	48	47	21	23	53	34	19	27
ADGRG6	395	394	154	212	105	107	95	80
ADGRL1	276	287	104	124	834	640	609	730
ADGRL2	860	982	400	541	2653	2299	2672	1966
ADGRL3	80	98	27	53	515	435	481	358
ADGRV1	546	609	288	338	3356	3098	3109	2534
ADH5	777	1104	387	525	1513	1451	1578	1063
ADI1	781	1157	392	632	1237	1233	1082	831
ADIPOR1	539	711	265	353	1565	1435	1601	1174
ADIPOR2	760	973	377	486	643	627	740	572
ADK	1289	1354	582	702	862	838	800	605
ADM	89	154	44	85	38	42	57	40
ADNP	2300	2631	1125	1408	3299	2794	2310	2685
ADNP2	674	761	329	388	1432	1246	1286	1027
ADO	228	323	114	166	161	182	151	110
ADORA2A	19	7	4	6	39	25	39	31
ADORA2B	101	91	38	43	157	127	171	110
ADPGK	548	699	249	349	969	816	925	687
ADPRHL1	32	31	20	15	55	47	38	29
ADPRHL2	524	671	255	419	524	496	487	371
ADPRM	50	62	29	35	102	88	107	79
ADRA2C	9	9	9	8	44	54	67	30
ADRM1	2823	4391	1514	2230	1490	1396	1464	1173
ADSL	2915	3184	1366	1858	4094	3778	4108	2916
ADSS	1179	1589	657	750	2699	2808	2453	1761
ADSSL1	13	11	8	7	13	10	13	10
AEBP2	617	799	311	413	525	423	367	370
AEN	653	1044	409	567	655	598	737	478
AES	1393	1756	645	969	223	190	245	194
AFAP1	146	193	72	102	258	281	213	209
AFAP1L1	114	105	46	46	100	87	102	82
AFDN	1798	2196	930	1187	4857	4431	4019	3435
AFF1	629	692	304	368	536	436	384	488
AFF3	206	239	85	161	141	113	121	142
AFF4	2218	2324	1045	1283	2177	1794	1900	1799
AFG1L	165	204	85	119	183	184	179	133
AFG3L2	1204	1445	594	720	2560	2396	2213	1778
AFMID	207	300	114	139	252	233	187	166
AFTPH	320	405	156	185	783	653	718	552
AGA	306	361	125	184	261	246	233	154
AGAP1	182	266	97	151	565	567	517	519
AGAP2	57	58	25	43	83	86	91	69
AGAP3	547	736	231	323	1016	801	878	767
AGAP5	1	1	0	1	35	24	24	35
AGAP6	1	3	3	2	121	84	127	128
AGAP9	2	3	0	0	152	140	124	122
AGBL3	21	20	3	21	72	77	60	54
AGBL5	271	322	104	138	1387	1099	1330	988
AGER	5	3	1	2	68	62	39	38
AGFG1	1637	1837	777	1095	1237	973	1254	907
AGFG2	121	172	62	87	102	75	93	67
AGGF1	203	154	81	98	219	218	240	144
AGK	800	1129	466	672	1127	967	988	758
AGL	1825	1894	826	1032	2885	2468	2549	2065
AGMAT	2	2	0	2	58	47	42	36
AGO1	592	737	285	360	1139	982	929	895
AGO2	752	904	363	509	1084	864	950	896
AGO3	298	298	136	168	808	730	748	664
AGO4	116	113	42	57	306	272	273	223
AGPAT1	611	760	264	352	280	251	263	297
AGPAT2	536	694	261	374	141	128	153	135
AGPAT3	423	537	195	227	502	432	385	426
AGPAT4	210	257	114	116	337	327	296	230
AGPAT5	438	508	178	239	525	574	462	374
AGPS	1989	2308	945	1286	2017	2150	1983	1469
AGRN	1040	1668	597	804	702	571	494	540
AGTPBP1	893	1031	445	573	2811	2706	2565	1955
AGTRAP	390	579	225	292	169	133	161	129
AHCTF1	251	333	137	156	1776	1630	1613	1412
AHCY	3334	4735	1740	2388	3649	3158	4253	2865
AHCYL1	1690	1831	795	1022	1341	1192	1289	1116
AHCYL2	304	383	153	228	291	286	236	199
AHDC1	179	241	94	92	107	55	44	84
AHI1	327	344	163	172	1214	1103	1145	933
AHNAK	832	903	413	556	1967	2066	1520	1431
AHNAK2	69	108	43	79	282	223	265	225
AHR	84	69	33	38	28	13	37	15
AHSA1	2562	3164	1133	1541	3620	3401	3456	2433
AIF1L	628	699	263	402	151	131	101	92
AIFM1	2245	2685	1039	1360	2408	2329	2424	1908
AIFM2	558	730	265	325	84	95	74	56
AIG1	590	746	286	391	510	418	412	303
AIMP1	1055	1301	536	598	1217	1202	1167	888
AIMP2	1571	2052	773	1068	1482	1373	1432	967
AIP	888	1151	411	619	594	562	628	396
AJUBA	62	96	29	28	139	137	94	86
AK1	447	687	235	342	375	358	324	281
AK2	934	1059	373	547	1885	1982	1786	1331
AK3	478	461	197	248	293	266	259	191
AK4	117	146	51	80	73	87	32	23
AK5	38	34	8	16	21	22	12	12
AK6	526	578	261	358	778	725	679	484
AK7	20	16	9	11	38	37	38	24
AK8	29	37	15	19	26	29	24	18
AK9	80	87	56	42	89	96	81	61
AKAP1	556	768	290	382	2226	2028	2092	1745
AKAP10	264	262	103	132	961	797	853	669
AKAP11	1432	1811	833	910	3358	3155	2727	2459
AKAP12	2308	2397	996	1268	3951	3786	3443	2766
AKAP13	696	868	397	431	2881	2493	2373	2199
AKAP17A	246	374	135	156	470	456	441	352
AKAP5	58	67	28	40	133	119	121	80
AKAP6	24	38	15	20	167	134	126	138
AKAP7	102	106	49	60	159	180	125	119
AKAP8	613	803	316	463	941	920	887	724
AKAP8L	973	1312	481	567	1268	1192	1250	1054
AKAP9	1296	1402	622	732	5034	4878	4973	3862
AKIP1	234	252	97	139	242	163	178	128
AKIRIN1	942	1154	476	651	400	348	376	230
AKIRIN2	886	1120	427	539	196	166	175	184
AKNA	54	43	27	22	46	44	42	42
AKR1A1	740	1199	367	548	777	648	660	550
AKR1B1	2544	2933	1112	1511	1308	1194	1339	1069
AKR7A2	870	1218	395	618	603	545	612	450
AKR7A3	0	0	2	0	36	21	27	21
AKT1	604	822	269	436	1290	1120	1286	936
AKT1S1	268	391	156	245	153	140	147	128
AKT2	1110	1467	544	802	957	850	965	831
AKT3	238	258	139	134	1203	1065	970	778
AKTIP	64	68	33	43	146	158	141	96
AL022238.4	0	0	0	0	17	24	18	13
AL022312.1	191	213	77	99	178	161	137	111
AL031777.3	3833	3568	1473	2000	50	69	88	32
AL034430.1	75	64	33	33	136	135	144	98
AL034430.2	260	323	111	184	213	196	207	120
AL049629.2	166	206	72	115	57	35	51	35
AL109811.3	0	0	0	0	67	60	81	72
AL109827.1	126	174	54	74	149	118	151	100
AL121753.1	31	103	11	28	111	104	118	99
AL121768.1	131	123	51	64	1124	1106	913	776
AL135905.2	576	794	315	484	30	38	45	28
AL136295.1	30	32	8	20	31	37	33	34
AL139011.2	74	87	35	36	78	70	81	55
AL139260.3	55	114	40	53	72	60	52	23
AL139300.1	73	101	38	56	25	19	17	23
AL157935.2	0	0	0	1	44	37	40	39
AL162171.1	44	56	13	24	201	175	148	128
AL162231.1	5	10	2	6	28	23	29	17
AL358472.7	42	74	22	41	156	147	153	85
ALAD	128	152	61	74	166	134	120	108
ALAS1	773	886	294	421	1120	1061	1190	873
ALCAM	724	818	339	451	1183	1035	1190	744
ALDH16A1	339	538	169	261	633	576	505	426
ALDH18A1	1995	2713	1080	1472	4826	4327	4375	3202
ALDH1A2	1896	2392	1010	1282	1130	1083	997	726
ALDH1A3	11	11	5	6	30	37	27	24
ALDH1B1	926	1103	407	559	1148	1080	1040	761
ALDH1L2	371	343	136	146	680	645	532	497
ALDH2	914	994	359	533	229	228	265	170
ALDH3A1	11	12	8	8	21	14	21	11
ALDH3A2	1124	1318	472	679	1934	1706	1646	1258
ALDH4A1	327	423	165	223	150	120	158	140
ALDH5A1	686	874	339	464	399	469	390	288
ALDH6A1	556	641	213	343	456	395	393	324
ALDH7A1	1179	1457	545	731	980	855	780	699
ALDH8A1	1	1	0	0	32	27	22	41
ALDH9A1	2496	2914	1142	1631	1886	1736	1888	1233
ALDOA	1993	2354	873	1260	804	711	1037	556
ALDOC	52	66	21	19	53	43	52	50
ALG1	259	368	129	192	412	314	394	279
ALG10	217	264	121	131	205	163	268	165
ALG10B	111	166	73	101	99	73	116	85
ALG11	446	477	204	288	443	431	422	321
ALG12	283	415	154	215	400	312	348	266
ALG13	976	1040	452	568	1970	1746	1502	1522
ALG14	156	192	77	113	300	296	264	176
ALG1L	17	22	10	8	49	40	56	39
ALG2	284	380	131	201	377	362	387	305
ALG3	831	1062	370	543	271	230	268	230
ALG5	817	1074	462	596	802	747	748	509
ALG6	623	736	292	347	1251	1223	1305	907
ALG8	1447	1707	678	889	1487	1289	1616	1091
ALG9	12	14	7	6	15	16	32	10
ALKAL1	7	7	2	5	26	15	23	23
ALKBH1	310	330	161	176	302	219	288	217
ALKBH2	246	266	94	135	460	447	453	342
ALKBH3	248	229	109	127	464	390	416	326
ALKBH4	208	382	119	165	215	221	196	130
ALKBH5	510	735	265	346	2628	2428	2670	2184
ALKBH6	493	569	253	338	117	105	123	95
ALKBH7	247	323	101	182	167	145	124	97
ALKBH8	161	174	76	103	812	722	756	526
ALMS1	862	849	422	481	5481	4522	4813	4059
ALOX12	6	10	2	5	85	48	69	68
ALPK1	70	72	30	41	173	133	150	124
ALPL	16	13	5	12	21	19	30	27
ALS2	376	407	192	235	1137	941	1032	844
ALX1	216	220	108	139	158	136	114	99
ALX3	2	0	0	0	74	62	44	57
ALX4	68	80	35	48	57	58	46	33
ALYREF	4989	5975	2434	3197	3068	3053	2684	1904
AMACR	220	240	105	130	158	149	187	124
AMBRA1	560	735	286	393	1065	914	1011	901
AMD1	600	703	287	403	3164	2935	2899	2171
AMDHD2	123	143	62	65	115	104	115	103
AMER1	90	151	44	52	513	446	464	384
AMFR	1049	1202	460	615	1513	1299	1403	1030
AMH	39	58	16	24	163	156	106	133
AMIGO1	27	26	8	11	57	44	58	39
AMIGO3	2	1	1	0	133	108	161	126
AMMECR1	200	321	133	157	318	279	340	223
AMMECR1L	158	198	83	108	249	225	257	223
AMN1	155	112	51	81	104	87	92	55
AMOT	183	173	85	94	6733	5395	6246	5829
AMOTL1	888	1164	463	599	856	828	870	713
AMOTL2	212	369	161	200	124	109	141	118
AMPD2	561	676	243	325	741	655	748	546
AMPH	130	172	76	88	106	100	111	81
AMZ2	477	503	222	294	1085	943	1054	744
ANAPC1	343	345	145	167	1836	1638	1849	1400
ANAPC10	136	115	60	82	154	135	167	120
ANAPC11	728	927	292	395	496	493	401	270
ANAPC13	263	366	138	210	303	301	256	180
ANAPC15	156	208	68	81	302	305	320	227
ANAPC16	461	637	260	332	448	420	420	310
ANAPC2	525	839	272	366	595	555	564	499
ANAPC4	746	779	328	381	1075	994	977	706
ANAPC5	3174	3216	1372	1698	5396	4810	5129	3728
ANAPC7	2398	3195	1320	1662	2172	1867	2052	1553
ANGEL1	287	379	135	185	723	580	585	498
ANGEL2	361	431	195	213	988	930	959	712
ANGPT2	3	2	2	1	51	47	41	58
ANGPTL1	4	0	0	1	38	18	30	25
ANGPTL3	0	0	0	0	75	62	63	42
ANGPTL4	0	0	0	1	29	21	14	22
ANGPTL7	0	1	0	0	61	38	36	35
ANK1	84	140	52	62	257	221	216	211
ANK2	563	572	270	305	837	749	771	638
ANK3	385	398	180	234	744	711	621	575
ANKAR	6	0	0	1	233	244	235	220
ANKEF1	128	117	62	72	270	241	229	154
ANKFY1	1483	1715	719	833	1650	1418	1312	1228
ANKH	206	239	101	125	293	231	262	233
ANKHD1	52	66	31	44	122	131	95	98
ANKIB1	243	243	139	140	990	932	953	822
ANKLE1	4	0	0	0	39	19	19	23
ANKLE2	1316	1529	545	717	2472	2260	2144	1802
ANKMY1	22	21	6	11	203	159	184	197
ANKMY2	439	404	208	274	345	361	349	239
ANKRA2	88	87	32	41	134	118	128	87
ANKRD10	200	218	72	105	672	627	687	478
ANKRD11	581	720	296	373	2845	2444	1995	2270
ANKRD12	184	199	78	112	759	771	722	659
ANKRD13A	502	548	196	334	711	671	736	544
ANKRD13B	236	285	109	143	155	127	117	112
ANKRD13C	291	344	113	176	1426	1307	1328	1025
ANKRD13D	52	58	18	29	217	184	208	126
ANKRD16	85	125	35	62	123	122	127	128
ANKRD17	2894	3329	1500	1789	6724	5823	5828	5290
ANKRD18A	38	48	14	16	665	573	362	486
ANKRD18B	23	28	17	13	832	778	509	633
ANKRD20A4	0	1	0	1	18	17	13	10
ANKRD23	2	7	1	3	68	60	40	39
ANKRD24	4	2	2	0	24	21	16	18
ANKRD26	609	646	285	333	1585	1429	1318	1088
ANKRD27	671	750	274	349	987	996	912	801
ANKRD28	961	1034	454	614	1687	1447	1330	1120
ANKRD31	24	19	9	19	66	59	57	47
ANKRD34B	22	18	6	11	20	18	14	29
ANKRD36	16	9	3	6	1649	1587	1279	1044
ANKRD36B	16	14	4	6	516	539	413	342
ANKRD36C	15	20	11	5	1388	1318	1076	925
ANKRD37	10	14	10	6	30	16	17	20
ANKRD39	152	217	81	103	110	112	81	79
ANKRD40	347	446	194	235	815	742	799	604
ANKRD42	90	103	42	46	89	83	101	84
ANKRD44	91	100	53	48	132	118	133	102
ANKRD46	421	519	180	257	367	319	379	209
ANKRD49	50	78	33	37	233	221	230	172
ANKRD50	421	483	181	234	1255	1118	1066	945
ANKRD52	1594	1998	778	1057	1871	1478	1062	1390
ANKRD54	260	361	103	184	222	201	212	146
ANKRD6	88	71	36	48	216	172	167	140
ANKRD61	1	0	1	0	167	133	94	93
ANKRD7	14	13	7	6	31	32	25	21
ANKRD9	22	29	11	19	45	49	27	22
ANKS1A	553	722	318	404	618	483	501	430
ANKS1B	45	32	12	21	42	34	30	32
ANKS3	102	156	48	65	279	270	224	211
ANKS6	166	222	66	106	629	566	478	396
ANKZF1	322	401	151	228	534	451	456	362
ANLN	2527	2958	1306	1785	3844	3396	4000	3164
ANO10	327	380	149	213	735	656	603	535
ANO4	24	24	8	17	36	35	27	26
ANO5	429	464	234	211	599	559	533	420
ANO6	661	720	308	388	709	642	746	504
ANO8	79	91	36	41	122	112	107	88
ANP32A	1522	1942	722	963	2616	2662	2763	1779
ANP32B	1471	1985	735	1011	1659	1675	974	1189
ANP32E	2665	3375	1419	1647	1741	2022	1784	1017
ANTXR1	349	470	173	256	436	365	290	362
ANTXR2	200	239	91	110	103	105	98	61
ANXA1	923	1194	468	631	65	70	76	55
ANXA11	2122	2397	925	1270	867	774	914	744
ANXA2	1311	1661	676	825	556	546	560	360
ANXA3	277	275	134	136	19	17	17	16
ANXA4	310	397	161	203	171	147	179	107
ANXA5	3669	4475	1831	2322	3225	3096	3090	2233
ANXA6	3000	3243	1319	1829	2094	1832	2058	1398
ANXA7	2764	3073	1343	1619	1787	1467	1684	1205
ANXA9	17	12	3	6	26	29	34	16
AOC2	3	4	2	0	120	90	90	108
AP001781.2	6	8	8	2	34	31	20	14
AP002495.2	31	43	17	21	55	63	54	59
AP002748.4	10	15	7	9	58	48	43	40
AP002956.1	152	216	70	103	174	142	144	130
AP1AR	158	149	70	89	584	603	589	386
AP1B1	3646	4301	1679	2265	2378	2103	2319	1909
AP1G1	1780	2097	909	1084	2314	2009	1863	1627
AP1G2	204	187	87	109	608	537	578	514
AP1M1	1692	2111	772	1082	770	588	802	651
AP1S1	987	1171	428	589	364	357	290	221
AP1S2	175	195	74	105	108	103	109	78
