	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
ALCAM	1183	1035	925	1113
ALDH16A1	633	577	438	498
ALDH18A1	4726	4233	3564	4269
ALDH1A2	1087	1031	816	1022
ALDH1A3	30	37	23	28
ALDH1B1	1148	1080	829	1023
ALDH1L2	680	640	396	535
ALDH2	229	228	215	264
ALDH3A1	22	14	19	23
ALDH3A2	1934	1706	1302	1630
ALDH4A1	150	119	110	141
ALDH5A1	399	469	243	382
ALDH6A1	450	392	315	417
ALDH7A1	971	848	524	714
ALDH8A1	31	27	17	32
ALDH9A1	1863	1710	1413	1857
ALDOA	804	711	671	976
ALDOC	51	40	54	54
ALG1	412	314	317	398
ALG10	205	163	180	231
ALG10B	99	73	90	132
ALG11	443	431	316	462
ALG12	394	303	241	316
ALG13	1970	1746	1031	1369
ALG14	284	284	198	237
ALG1L	46	38	31	34
ALG2	382	370	296	413
ALG3	272	229	182	269
ALG5	737	695	594	741
ALG6	1251	1223	1105	1327
ALG8	1481	1272	1220	1582
ALG9	20	13	23	20
ALKAL1	23	14	20	17
ALKBH1	295	214	240	292
ALKBH2	436	439	366	478
ALKBH3	464	390	369	418
ALKBH4	214	219	110	169
ALKBH5	2628	2428	1986	2546
ALKBH6	117	107	90	129
ALKBH7	167	145	118	137
ALKBH8	809	735	559	660
ALMS1	5481	4522	3419	4471
ALOX12	85	48	29	45
ALPK1	173	133	124	139
ALPL	21	19	17	38
ALS2	1120	934	753	975
ALX1	158	136	125	153
ALX3	77	66	46	53
ALX4	58	58	34	46
ALYREF	3010	3006	2007	2576
AMACR	165	152	137	150
AMBRA1	1041	898	700	922
AMD1	3164	2935	2353	2802
AMDHD2	115	104	95	131
AMER1	513	446	334	378
AMFR	1492	1277	997	1322
AMH	163	156	80	80
AMIGO1	57	44	58	43
AMIGO3	133	108	90	131
AMMECR1	315	276	220	322
AMMECR1L	243	215	194	205
AMN1	98	85	77	103
AMOT	6630	5312	4299	6052
AMOTL1	856	828	625	837
AMOTL2	124	108	89	116
AMPD2	741	655	524	686
AMPH	104	100	71	99
AMZ2	1085	943	851	1049
ANAPC1	1817	1623	1488	1752
ANAPC10	143	130	112	168
ANAPC11	496	493	342	438
ANAPC13	291	289	177	219
ANAPC15	287	287	240	342
ANAPC16	448	420	305	355
ANAPC2	596	555	397	478
ANAPC4	1075	994	773	970
ANAPC5	5319	4740	4282	5298
ANAPC7	2163	1865	1591	1940
ANGEL1	715	579	449	507
ANGEL2	985	924	779	995
ANGPT2	51	49	26	39
ANGPTL1	37	16	13	30
ANGPTL3	75	62	23	36
ANGPTL4	29	21	21	10
ANGPTL7	61	38	21	25
ANK1	257	223	139	227
ANK2	837	749	604	730
ANK3	748	705	476	554
ANKAR	233	244	135	225
ANKEF1	270	241	170	216
ANKFY1	1656	1415	852	1057
ANKH	284	227	176	228
ANKHD1	122	131	55	87
ANKIB1	990	932	694	877
ANKLE1	39	19	12	23
ANKLE2	2479	2270	1653	2066
ANKMY1	207	167	140	148
ANKMY2	333	350	253	308
ANKRA2	124	116	95	141
ANKRD10	703	664	528	687
