	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
ABHD16B	5	4	3	0	47	44	28	19
ABHD17A	3	6	1	1	34	32	15	30
ABHD17B	333	429	212	150	410	342	301	359
ABHD17C	164	210	74	61	86	81	51	70
ABHD18	224	265	116	77	368	310	249	304
ABHD2	485	648	264	155	423	433	314	367
ABHD3	390	502	225	135	287	237	219	311
ABHD4	105	137	54	42	56	57	28	35
ABHD5	188	202	89	56	501	416	348	459
ABHD6	92	132	32	27	155	116	98	111
ABHD8	256	361	118	84	127	101	55	61
ABI1	776	873	400	274	551	486	444	565
ABI2	470	471	189	137	634	553	429	600
ABI3BP	1	4	3	2	38	40	26	35
ABL1	479	668	232	121	1011	945	601	763
ABL2	286	274	156	101	1162	1002	647	875
ABLIM1	556	584	269	179	527	508	449	548
ABLIM2	10	16	7	3	19	16	15	13
ABR	1046	1261	628	366	454	416	284	396
ABRACL	671	762	327	182	406	409	275	377
ABRAXAS1	94	107	34	19	222	211	142	186
ABRAXAS2	560	576	304	206	527	454	385	540
ABT1	601	845	445	261	1036	989	806	985
ABTB1	32	50	30	20	16	22	12	15
ABTB2	188	203	115	53	123	102	60	103
AC003665.1	67	88	43	28	28	21	14	25
AC004080.3	15	30	10	5	55	52	32	45
AC004475.1	344	529	275	174	538	481	377	517
AC004832.3	1	6	2	3	109	68	76	95
AC005324.3	2	1	0	0	18	20	11	13
AC005520.1	65	57	51	44	28	35	20	18
AC006213.1	226	305	151	105	105	80	59	53
AC007950.1	569	650	293	191	488	396	334	388
AC008403.1	24	21	17	11	40	49	12	26
AC008581.2	3	2	2	1	11	19	13	10
AC008755.1	778	972	465	323	982	939	479	644
AC008878.3	0	0	1	0	13	18	18	20
AC009133.6	150	200	125	77	28	30	22	21
AC010618.1	673	1000	302	193	425	351	261	291
AC010761.1	22	30	21	17	66	53	45	51
AC011462.1	387	431	187	104	70	52	29	42
AC011481.1	839	1137	398	246	1387	1321	1073	1354
AC011529.1	47	56	29	12	78	65	42	49
AC017083.3	128	179	120	73	44	44	17	27
AC018523.2	0	2	2	2	35	33	18	29
AC018630.2	6	7	3	4	52	39	33	37
AC022826.2	13	21	4	7	34	33	29	30
AC023055.1	42	32	15	5	55	38	43	46
AC025287.4	0	0	0	0	35	20	15	11
AC026464.4	55	98	92	26	51	46	43	49
AC026470.1	374	413	159	102	707	687	528	628
AC026786.1	20	26	32	27	38	28	20	27
AC026954.2	14	8	2	0	21	17	16	25
AC048338.1	18	25	5	3	33	34	18	17
AC068580.4	49	99	33	18	60	56	36	49
AC068790.8	65	132	72	33	146	121	98	142
AC073610.2	177	216	82	47	55	55	35	46
AC073896.1	89	99	54	39	210	170	172	191
AC074143.1	48	47	30	17	24	26	12	14
AC079447.1	234	257	240	135	84	66	36	45
AC080038.1	198	205	74	50	125	107	67	97
AC087289.1	48	47	34	15	54	55	34	50
AC090004.1	0	0	0	0	120	79	96	105
AC091551.1	73	90	87	46	18	11	12	16
AC092073.1	0	1	1	0	134	118	70	101
AC092338.1	361	443	166	139	501	445	306	385
AC092647.5	169	165	138	70	37	40	13	24
AC092835.1	54	70	21	12	81	72	49	55
AC093323.1	62	84	35	17	40	55	25	28
AC093512.2	215	184	269	128	82	70	48	51
AC099489.1	2	5	2	3	130	104	64	81
AC104109.3	386	343	246	186	81	50	43	70
AC108488.2	12	9	4	2	22	13	25	16
AC117378.1	1603	1808	1333	717	339	359	226	282
AC118549.1	394	434	149	97	4005	3671	2893	3617
AC118553.2	6	3	1	2	18	29	10	25
AC118754.1	2	5	0	0	56	37	23	34
AC124319.1	778	885	511	273	2288	1880	1142	1608
AC129492.1	148	159	101	54	322	220	154	217
AC138811.2	261	282	188	75	106	76	59	76
AC139768.1	28	32	10	19	45	37	15	26
AC245033.1	1183	1348	335	254	3943	2641	4827	6770
ACAA1	505	616	308	163	546	488	330	440
ACAA2	1453	1543	732	488	567	556	426	494
ACACA	1747	2180	963	575	4353	3895	2586	3318
ACACB	71	72	55	28	484	414	255	382
ACAD10	174	212	123	96	339	299	194	279
ACAD11	1139	1122	608	384	1535	1320	922	1262
ACAD8	142	191	109	60	424	415	292	379
ACAD9	976	1081	499	345	1103	982	747	961
ACADL	236	263	97	82	84	74	60	52
ACADM	2054	2066	947	619	1953	1987	1507	1897
ACADS	307	296	131	77	163	145	132	154
ACADSB	1275	1230	574	417	400	375	287	348
ACADVL	791	855	406	254	1201	1037	919	1116
ACAP2	748	752	337	250	882	812	590	710
ACAP3	162	241	84	49	420	369	258	329
ACAT1	3167	3323	1451	902	2467	2294	1722	2140
ACAT2	2775	3242	1447	891	2710	2475	2055	2463
ACBD3	1243	1414	681	485	1510	1482	1167	1475
ACBD4	58	65	22	17	44	42	15	32
ACBD5	627	787	304	208	346	326	234	305
ACBD6	492	561	230	185	1167	1086	868	1144
ACBD7	251	408	184	104	30	34	24	18
ACCS	17	15	4	1	65	62	28	57
ACD	370	532	226	116	230	223	208	267
ACER2	11	11	3	5	30	19	11	20
ACER3	152	164	76	48	144	127	119	152
ACIN1	2769	3372	1716	1226	4623	4390	3066	4154
ACLY	8104	9216	4259	2665	9217	8141	7372	9019
ACMSD	0	1	3	0	25	15	12	14
ACO1	1082	1290	577	331	1151	1093	854	1037
ACO2	772	1065	595	355	1661	1442	1187	1554
ACOT1	19	27	21	11	26	18	11	13
ACOT11	21	15	11	9	25	18	14	20
ACOT13	631	557	218	196	384	350	271	346
ACOT2	128	186	136	66	140	128	88	114
ACOT7	2101	2892	1192	666	546	541	324	462
ACOT8	328	399	186	102	236	179	174	210
ACOT9	851	940	400	312	583	517	422	534
ACOX1	1262	1485	647	434	968	939	739	910
ACOX3	114	168	81	48	285	260	197	233
ACP1	1301	1478	592	465	1107	976	689	902
ACP2	312	413	173	115	252	237	194	237
ACP4	1	1	0	1	27	25	35	32
ACP6	201	227	128	107	471	409	323	384
ACRV1	0	0	0	0	37	31	21	30
ACSBG2	1	2	0	0	12	15	16	16
ACSF2	193	187	88	47	149	123	137	154
ACSF3	328	407	174	101	460	416	322	413
ACSL1	965	1002	485	315	487	471	370	452
ACSL3	3216	3675	1678	1066	2675	2485	1940	2420
ACSL4	1993	2172	918	597	1299	1240	906	1168
ACSM3	62	52	25	23	173	151	114	143
ACSS1	316	404	185	112	233	232	138	206
ACSS2	159	223	80	47	285	244	226	247
ACSS3	189	211	80	72	59	62	39	51
ACTA2	452	774	287	150	77	63	49	78
ACTB	30143	37370	19553	10313	17010	15507	13117	16690
ACTG1	21942	28818	12386	7413	18963	16603	17697	23564
ACTL6A	2020	2416	1074	709	1072	1032	937	1224
ACTN1	2069	2779	1199	707	1429	1219	883	1212
ACTN2	7	22	8	2	194	180	84	121
ACTN4	9078	12164	5327	3358	2388	2095	1532	2098
ACTR10	1331	1446	633	400	806	792	661	840
ACTR1A	2668	3481	1599	931	1795	1597	1345	1710
ACTR1B	230	304	111	69	523	460	333	469
ACTR2	1820	2290	1007	681	2393	2286	1354	1984
ACTR3	2662	3031	1486	980	2590	2446	2036	2611
ACTR3B	59	80	45	20	247	178	126	136
ACTR3C	52	63	38	12	22	20	11	11
ACTR5	196	266	111	65	413	354	265	351
ACTR6	1402	1422	619	476	1029	1079	798	963
ACTR8	729	813	418	296	1761	1621	1248	1476
ACTRT3	44	32	37	19	59	75	45	53
ACVR1	162	165	84	50	130	75	61	79
ACVR1B	347	519	219	103	322	329	223	254
ACVR1C	23	29	14	14	32	36	32	31
ACVR2A	224	291	137	85	304	285	220	287
ACVR2B	93	129	62	20	496	437	301	412
ACYP1	210	202	79	59	155	158	93	176
ACYP2	60	78	27	22	37	37	30	42
AD000864.1	59	52	31	15	57	51	23	27
ADA	296	294	112	64	200	179	125	166
ADAL	123	108	43	27	184	168	159	166
ADAM10	846	916	435	241	940	875	599	840
ADAM11	102	130	38	34	131	121	95	122
ADAM15	521	675	264	135	1004	828	815	955
ADAM17	263	363	146	91	899	862	606	767
ADAM19	42	50	10	5	51	68	45	53
ADAM22	107	103	41	20	406	346	255	370
ADAM23	180	221	84	32	292	283	186	285
ADAM32	0	0	0	1	21	33	13	22
ADAM8	3	2	1	1	36	31	21	29
ADAM9	804	885	406	186	1994	1943	1497	1949
ADAMTS1	4873	6376	2589	1451	845	758	644	845
ADAMTS10	15	10	6	2	11	12	11	16
ADAMTS13	21	8	4	8	161	111	80	73
ADAMTS15	61	76	27	17	47	22	17	22
ADAMTS17	34	60	29	11	259	241	125	192
ADAMTS19	138	183	66	44	210	196	116	159
ADAMTS2	75	86	44	18	47	27	30	35
ADAMTS20	52	49	32	21	307	252	184	252
ADAMTS3	135	164	73	36	259	275	216	253
ADAMTS6	9	5	7	4	68	68	60	48
ADAMTS7	12	19	7	5	50	43	23	45
ADAMTS9	32	35	12	9	298	280	145	235
ADAMTSL3	13	11	1	8	42	38	29	26
ADAMTSL4	9	6	5	1	40	40	28	25
ADAP1	14	24	5	2	59	60	45	61
ADAP2	49	48	17	20	83	77	59	64
ADAR	4166	4835	2453	1511	5993	5227	4041	5359
ADARB1	107	199	46	32	354	284	235	319
ADAT1	140	128	74	40	550	455	349	389
ADAT2	113	110	50	30	340	331	193	216
ADAT3	53	100	47	17	58	59	26	31
ADCK1	114	150	69	35	184	185	141	158
ADCK2	524	627	245	134	593	555	427	574
ADCK5	18	29	15	5	66	62	41	53
ADCY1	37	22	19	6	392	341	238	323
ADCY3	517	629	224	134	1217	1055	850	1104
ADCY6	419	573	219	112	386	323	226	262
ADCY7	73	63	32	18	103	83	67	71
ADCY9	298	364	136	70	615	562	316	443
ADCYAP1R1	12	20	4	3	25	25	33	27
ADD1	1651	2058	872	531	1370	1395	995	1286
ADD2	336	443	144	94	479	455	278	387
ADD3	1747	1975	771	559	1347	1188	1166	1478
ADGRA2	28	38	18	4	92	65	60	70
ADGRA3	172	199	122	47	1075	942	690	999
ADGRB2	54	48	29	13	279	240	170	223
ADGRB3	14	11	9	7	363	327	206	299
ADGRE5	1085	1296	567	263	93	57	34	49
ADGRG2	48	47	22	16	53	34	19	35
ADGRG6	395	394	192	140	105	107	87	101
ADGRL1	276	287	106	52	834	640	402	538
ADGRL2	860	982	449	276	2653	2299	1961	2595
ADGRL3	80	98	48	26	515	435	318	443
ADGRV1	546	609	400	216	3356	3098	2057	2835
ADH5	777	1104	520	267	1513	1451	1352	1555
ADI1	781	1157	535	326	1237	1233	793	1118
ADIPOR1	539	711	306	175	1565	1435	1198	1561
ADIPOR2	760	973	426	261	643	627	578	641
ADK	1289	1354	591	406	862	838	601	792
ADM	89	154	82	48	38	42	47	55
ADNP	2300	2631	1239	792	3299	2794	1610	2127
ADNP2	674	761	414	259	1432	1246	921	1160
ADO	228	323	126	75	161	182	164	183
ADORA2A	19	7	4	4	39	25	27	43
ADORA2B	101	91	53	26	157	127	143	157
ADPGK	548	699	336	219	969	816	704	805
ADPRHL1	32	31	24	12	55	47	37	36
ADPRHL2	524	671	279	174	524	496	389	467
ADPRM	50	62	32	27	102	88	97	108
ADRA2C	9	9	7	0	44	54	39	62
ADRM1	2823	4391	1645	1002	1490	1396	1232	1332
ADSL	2915	3184	1156	711	4094	3778	3446	4068
ADSS	1179	1589	624	374	2699	2808	1832	2513
ADSSL1	13	11	7	3	13	10	15	10
AEBP2	617	799	376	213	525	423	278	370
AEN	653	1044	474	294	655	598	546	643
AES	1393	1756	666	430	223	190	190	247
AFAP1	146	193	89	59	258	281	141	208
AFAP1L1	114	105	46	27	100	87	86	104
AFDN	1798	2196	1002	642	4857	4431	2850	3708
AFF1	629	692	308	240	536	436	309	394
AFF3	206	239	101	80	141	113	80	106
AFF4	2218	2324	984	663	2177	1794	1312	1716
AFG1L	165	204	98	62	183	184	138	198
AFG3L2	1204	1445	614	400	2560	2396	1788	2111
AFMID	207	300	154	77	252	233	146	188
AFTPH	320	405	122	84	783	653	529	680
AGA	306	361	149	73	261	246	179	243
AGAP1	182	266	75	60	565	567	359	475
AGAP2	57	58	35	24	83	86	65	95
AGAP3	547	736	205	156	1016	801	717	831
AGAP5	1	1	1	0	35	24	17	19
AGAP6	1	3	2	1	121	84	89	107
AGAP9	2	3	3	0	152	140	71	107
AGBL3	21	20	18	4	72	77	51	56
AGBL5	271	322	97	73	1387	1099	1085	1335
AGER	5	3	3	0	68	62	36	41
AGFG1	1637	1837	889	570	1237	973	939	1233
AGFG2	121	172	85	48	102	75	62	88
AGGF1	203	154	157	64	219	218	154	207
AGK	800	1129	490	328	1127	967	779	985
AGL	1825	1894	909	570	2885	2468	1937	2505
AGMAT	2	2	2	1	58	47	33	46
AGO1	592	737	274	166	1139	982	641	852
AGO2	752	904	285	223	1084	864	647	857
AGO3	298	298	142	77	808	730	477	653
AGO4	116	113	50	40	306	272	216	246
AGPAT1	611	760	238	122	280	251	192	252
AGPAT2	536	694	356	181	141	128	116	150
AGPAT3	423	537	174	109	502	432	325	360
AGPAT4	210	257	127	74	337	327	216	301
AGPAT5	438	508	196	115	525	574	393	448
AGPS	1989	2308	1011	717	2017	2150	1524	1866
AGRN	1040	1668	571	280	702	571	323	411
AGTPBP1	893	1031	406	265	2811	2706	2038	2568
AGTRAP	390	579	237	144	169	133	166	175
AHCTF1	251	333	112	94	1776	1630	1234	1547
AHCY	3334	4735	1648	964	3649	3158	3399	4086
AHCYL1	1690	1831	796	523	1341	1192	960	1184
AHCYL2	304	383	190	101	291	286	194	227
AHDC1	179	241	85	67	107	55	29	42
AHI1	327	344	147	103	1214	1103	843	1051
AHNAK	832	903	509	354	1967	2066	1031	1437
AHNAK2	69	108	62	36	282	223	152	209
AHR	84	69	49	21	28	13	33	41
AHSA1	2562	3164	1251	832	3620	3401	2877	3651
AIF1L	628	699	282	225	151	131	80	111
AIFM1	2245	2685	1288	729	2408	2329	1838	2294
AIFM2	558	730	338	212	84	95	52	65
AIG1	590	746	315	178	510	418	344	416
AIMP1	1055	1301	490	421	1217	1202	887	1138
AIMP2	1571	2052	783	520	1482	1373	1196	1343
AIP	888	1151	470	301	594	562	508	632
AJUBA	62	96	39	19	139	137	74	86
AK1	447	687	254	181	375	358	266	314
AK2	934	1059	485	309	1885	1982	1460	1710
AK3	478	461	193	144	293	266	209	255
AK4	117	146	52	23	73	87	35	52
AK5	38	34	11	9	21	22	14	21
AK6	526	578	296	208	778	725	538	706
AK7	20	16	9	8	38	37	26	36
AK8	29	37	17	12	26	29	15	37
AK9	80	87	41	28	89	96	63	66
AKAP1	556	768	380	217	2226	2028	1574	1939
AKAP10	264	262	116	78	961	797	576	833
AKAP11	1432	1811	741	525	3358	3155	1999	2490
AKAP12	2308	2397	1099	723	3951	3786	2691	3418
AKAP13	696	868	438	277	2881	2493	1697	2122
AKAP17A	246	374	162	112	470	456	301	414
AKAP5	58	67	21	13	133	119	83	113
AKAP6	24	38	16	16	167	134	85	134
AKAP7	102	106	39	38	159	180	90	114
AKAP8	613	803	417	264	941	920	614	810
AKAP8L	973	1312	674	456	1268	1192	975	1251
AKAP9	1296	1402	621	488	5034	4878	2618	4711
AKIP1	234	252	134	96	242	163	169	155
AKIRIN1	942	1154	522	310	400	348	277	333
AKIRIN2	886	1120	578	410	196	166	100	144
AKNA	54	43	29	14	46	44	26	39
AKR1A1	740	1199	443	265	777	648	611	654
AKR1B1	2544	2933	1518	886	1308	1194	1177	1322
AKR7A2	870	1218	475	301	603	545	513	525
AKR7A3	0	0	1	0	36	21	15	12
AKT1	604	822	269	137	1290	1120	974	1235
AKT1S1	268	391	160	89	153	140	102	152
AKT2	1110	1467	501	259	957	850	788	948
AKT3	238	258	103	69	1203	1065	785	1013
AKTIP	64	68	31	23	146	158	102	130
AL022238.4	0	0	0	0	17	24	14	12
AL022312.1	191	213	88	72	178	161	106	120
AL031777.3	3833	3568	3485	1587	50	69	53	74
AL034430.1	75	64	51	45	136	135	108	136
AL034430.2	260	323	179	128	213	196	118	213
AL049629.2	166	206	69	43	57	35	55	63
AL109811.3	0	0	0	0	67	60	59	81
AL109827.1	126	174	181	84	149	118	106	137
AL121753.1	31	103	12	8	111	104	121	107
AL121768.1	131	123	57	38	1124	1106	720	909
AL135905.2	576	794	593	416	30	38	29	46
AL136295.1	30	32	30	15	31	37	19	26
AL139011.2	74	87	70	30	78	70	58	89
AL139260.3	55	114	26	26	72	60	30	48
AL139300.1	73	101	63	32	25	19	15	24
AL157935.2	0	0	0	1	44	37	31	31
AL162171.1	44	56	18	9	201	175	103	142
AL162231.1	5	10	1	0	28	23	20	17
AL358472.7	42	74	13	6	156	147	126	128
ALAD	128	152	80	46	166	134	85	110
ALAS1	773	886	442	250	1120	1061	943	1176
ALCAM	724	818	379	180	1183	1035	925	1113
ALDH16A1	339	538	209	111	633	576	438	498
ALDH18A1	1995	2713	1495	975	4826	4327	3611	4339
ALDH1A2	1896	2392	934	583	1130	1083	845	1048
ALDH1A3	11	11	2	4	30	37	23	28
ALDH1B1	926	1103	471	285	1148	1080	829	1023
ALDH1L2	371	343	175	107	680	645	396	536
ALDH2	914	994	359	262	229	228	215	264
ALDH3A1	11	12	10	4	21	14	19	23
ALDH3A2	1124	1318	586	341	1934	1706	1302	1630
ALDH4A1	327	423	155	91	150	120	110	142
ALDH5A1	686	874	386	225	399	469	243	382
ALDH6A1	556	641	271	174	456	395	321	425
ALDH7A1	1179	1457	687	423	980	855	528	724
ALDH8A1	1	1	1	0	32	27	16	33
ALDH9A1	2496	2914	1365	852	1886	1736	1441	1872
ALDOA	1993	2354	1980	1044	804	711	671	976
ALDOC	52	66	29	25	53	43	58	57
ALG1	259	368	149	91	412	314	317	398
ALG10	217	264	124	49	205	163	180	231
ALG10B	111	166	70	51	99	73	90	132
ALG11	446	477	246	154	443	431	316	462
ALG12	283	415	190	116	400	312	248	326
ALG13	976	1040	569	401	1970	1746	1031	1369
ALG14	156	192	120	73	300	296	213	246
ALG1L	17	22	14	12	49	40	35	35
ALG2	284	380	183	112	377	362	293	410
ALG3	831	1062	460	243	271	230	185	270
ALG5	817	1074	523	305	802	747	635	797
ALG6	623	736	238	149	1251	1223	1105	1327
ALG8	1447	1707	834	425	1487	1289	1228	1589
ALG9	12	14	10	7	15	16	21	14
ALKAL1	7	7	5	1	26	15	21	18
ALKBH1	310	330	164	133	302	219	244	299
ALKBH2	246	266	120	91	460	447	375	505
ALKBH3	248	229	110	50	464	390	369	418
ALKBH4	208	382	163	95	215	221	111	170
ALKBH5	510	735	283	160	2628	2428	1986	2546
ALKBH6	493	569	371	203	117	105	89	128
ALKBH7	247	323	100	71	167	145	118	137
ALKBH8	161	174	90	57	812	722	548	662
ALMS1	862	849	471	320	5481	4522	3419	4471
ALOX12	6	10	11	4	85	48	29	45
ALPK1	70	72	38	31	173	133	124	139
ALPL	16	13	7	7	21	19	17	38
ALS2	376	407	241	125	1137	941	760	981
ALX1	216	220	162	93	158	136	125	153
ALX3	2	0	0	0	74	62	47	50
ALX4	68	80	44	23	57	58	34	47
ALYREF	4989	5975	2564	1580	3068	3053	2045	2635
AMACR	220	240	117	83	158	149	137	147
AMBRA1	560	735	350	232	1065	914	713	933
AMD1	600	703	358	246	3164	2935	2353	2802
AMDHD2	123	143	72	42	115	104	95	131
AMER1	90	151	56	30	513	446	334	378
AMFR	1049	1202	476	273	1513	1299	1007	1336
AMH	39	58	25	10	163	156	80	80
AMIGO1	27	26	13	11	57	44	58	43
AMIGO3	2	1	2	0	133	108	90	131
AMMECR1	200	321	123	93	318	279	223	328
AMMECR1L	158	198	82	56	249	225	199	213
AMN1	155	112	64	46	104	87	78	103
AMOT	183	173	101	77	6733	5395	4381	6152
AMOTL1	888	1164	467	297	856	828	625	837
AMOTL2	212	369	140	95	124	109	90	115
AMPD2	561	676	298	192	741	655	524	686
AMPH	130	172	72	37	106	100	73	99
AMZ2	477	503	184	134	1085	943	851	1049
ANAPC1	343	345	188	140	1836	1638	1506	1768
ANAPC10	136	115	61	40	154	135	121	178
ANAPC11	728	927	366	232	496	493	342	438
ANAPC13	263	366	165	118	303	301	197	231
ANAPC15	156	208	99	45	302	305	257	359
ANAPC16	461	637	318	195	448	420	305	355
ANAPC2	525	839	374	210	595	555	397	477
ANAPC4	746	779	302	238	1075	994	773	970
ANAPC5	3174	3216	1695	1048	5396	4810	4306	5326
ANAPC7	2398	3195	1453	972	2172	1867	1600	1944
ANGEL1	287	379	201	124	723	580	453	510
ANGEL2	361	431	256	158	988	930	784	999
ANGPT2	3	2	1	3	51	47	25	37
ANGPTL1	4	0	2	0	38	18	12	32
ANGPTL3	0	0	0	0	75	62	23	36
ANGPTL4	0	0	0	0	29	21	21	10
ANGPTL7	0	1	0	0	61	38	21	25
ANK1	84	140	37	35	257	221	138	225
ANK2	563	572	256	184	837	749	604	730
ANK3	385	398	283	157	744	711	477	553
ANKAR	6	0	1	0	233	244	135	225
ANKEF1	128	117	67	42	270	241	170	216
ANKFY1	1483	1715	794	550	1650	1418	852	1064
ANKH	206	239	100	62	293	231	177	231
ANKHD1	52	66	44	24	122	131	55	87
ANKIB1	243	243	91	88	990	932	694	877
ANKLE1	4	0	1	2	39	19	12	23
ANKLE2	1316	1529	611	355	2472	2260	1651	2070
ANKMY1	22	21	18	9	203	159	138	147
ANKMY2	439	404	209	145	345	361	266	320
ANKRA2	88	87	48	34	134	118	105	147
ANKRD10	200	218	88	63	672	627	508	646
ANKRD11	581	720	319	210	2845	2444	1287	1733
ANKRD12	184	199	106	68	759	771	456	660
ANKRD13A	502	548	213	139	711	671	537	668
ANKRD13B	236	285	90	54	155	127	82	97
ANKRD13C	291	344	178	132	1426	1307	1019	1281
ANKRD13D	52	58	22	10	217	184	128	176
ANKRD16	85	125	52	33	123	122	107	113
ANKRD17	2894	3329	1881	1215	6724	5823	4153	5223
ANKRD18A	38	48	27	28	665	573	211	279
ANKRD18B	23	28	17	17	832	778	318	433
ANKRD20A4	0	1	0	1	18	17	19	11
ANKRD23	2	7	9	2	68	60	32	42
ANKRD24	4	2	4	5	24	21	10	13
ANKRD26	609	646	275	191	1585	1429	911	1320
ANKRD27	671	750	295	166	987	996	719	910
ANKRD28	961	1034	483	322	1687	1447	1038	1395
ANKRD31	24	19	16	11	66	59	32	61
ANKRD34B	22	18	8	12	20	18	11	20
ANKRD36	16	9	12	12	1649	1587	838	1211
ANKRD36B	16	14	8	3	516	539	291	419
ANKRD36C	15	20	17	12	1388	1318	747	963
ANKRD37	10	14	9	9	30	16	18	16
ANKRD39	152	217	106	42	110	112	92	109
ANKRD40	347	446	185	123	815	742	580	714
ANKRD42	90	103	46	18	89	83	61	88
ANKRD44	91	100	39	25	132	118	113	132
ANKRD46	421	519	205	163	367	319	320	385
ANKRD49	50	78	40	25	233	221	187	206
ANKRD50	421	483	242	158	1255	1118	706	1012
ANKRD52	1594	1998	896	523	1871	1478	702	858
ANKRD54	260	361	191	89	222	201	150	169
ANKRD6	88	71	50	30	216	172	145	215
ANKRD61	1	0	0	0	167	133	66	74
ANKRD7	14	13	13	5	31	32	27	36
ANKRD9	22	29	13	6	45	49	19	17
ANKS1A	553	722	353	234	618	483	330	461
ANKS1B	45	32	13	6	42	34	24	30
ANKS3	102	156	63	36	279	270	186	206
ANKS6	166	222	103	55	629	566	393	478
ANKZF1	322	401	187	148	534	451	327	425
ANLN	2527	2958	1574	1087	3844	3396	3059	3808
ANO10	327	380	151	92	735	656	443	608
ANO4	24	24	4	5	36	35	25	34
ANO5	429	464	248	168	599	559	474	554
ANO6	661	720	287	210	709	642	518	717
ANO8	79	91	39	30	122	112	75	108
ANP32A	1522	1942	729	473	2616	2662	2035	2721
ANP32B	1471	1985	729	485	1659	1675	750	857
ANP32E	2665	3375	1426	1049	1741	2022	1328	1691
ANTXR1	349	470	180	104	436	365	242	307
ANTXR2	200	239	80	60	103	105	73	78
ANXA1	923	1194	570	412	65	70	66	84
ANXA11	2122	2397	940	595	867	774	656	824
ANXA2	1311	1661	647	417	556	546	469	583
ANXA3	277	275	98	60	19	17	15	17
ANXA4	310	397	162	84	171	147	116	161
ANXA5	3669	4475	2013	1244	3225	3096	2649	3142
ANXA6	3000	3243	1395	840	2094	1832	1696	1969
ANXA7	2764	3073	1550	1011	1787	1467	1408	1659
ANXA9	17	12	7	5	26	29	11	19
AOC2	3	4	2	1	120	90	69	89
AP001781.2	6	8	11	3	34	31	23	19
AP002495.2	31	43	25	12	55	63	54	55
AP002748.4	10	15	8	5	58	48	44	56
AP002956.1	152	216	87	47	174	142	128	138
AP1AR	158	149	94	50	584	603	467	530
AP1B1	3646	4301	1683	1126	2378	2103	1575	2124
AP1G1	1780	2097	1111	734	2314	2009	1319	1669
AP1G2	204	187	118	70	608	537	432	493
AP1M1	1692	2111	853	552	770	588	614	795
AP1S1	987	1171	531	294	364	357	234	302
AP1S2	175	195	92	75	108	103	74	104
AP1S3	228	257	106	74	113	98	72	80
AP2A1	980	1264	463	250	1135	888	634	935
