	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
HUWE1	21657	18128	17007	18135
HYAL2	694	618	677	479
HYAL3	64	62	79	54
HYI	150	145	165	130
HYKK	284	223	247	214
HYLS1	187	152	164	112
HYOU1	3868	3560	3266	2888
HYPK	707	755	736	447
IAH1	375	287	348	266
IARS	16820	15579	15531	11428
IARS2	6836	6598	6395	4812
IBA57	239	202	224	189
IBTK	1661	1497	1564	1169
ICA1	132	116	116	109
ICA1L	136	112	96	104
ICAM3	94	70	82	74
ICAM5	74	58	66	49
ICE1	3561	3117	3435	2638
ICE2	1576	1429	1346	1050
ICK	286	266	298	232
ICMT	1095	976	1043	744
ID1	57	74	92	63
ID2	420	306	641	390
ID3	607	548	569	400
ID4	55	64	79	41
IDE	2779	2484	2611	2051
IDH1	1097	961	1124	783
IDH2	704	586	739	517
IDH3A	1460	1460	1308	950
IDH3B	2350	2064	2320	1523
IDH3G	857	791	931	704
IDI1	1172	1106	1148	804
IDI2	52	48	41	36
IDNK	54	64	49	34
IDS	249	186	223	164
IDUA	32	27	20	27
IER2	65	69	51	50
IER3	13	13	16	12
IER5	201	238	190	152
IER5L	19	16	21	16
IFFO1	303	278	268	241
IFI27L1	87	100	109	64
IFI27L2	69	47	55	36
IFI30	120	114	117	97
IFI35	22	32	12	17
IFIH1	22	21	19	15
IFIT1	69	82	67	57
IFIT5	482	464	398	302
IFNAR1	848	791	758	754
IFNAR2	61	41	37	36
IFNGR1	1099	1025	1030	676
IFNGR2	546	468	588	464
IFNLR1	104	109	84	60
IFRD1	1226	1249	1145	876
IFRD2	2113	2005	1779	1359
IFT122	497	399	523	387
IFT140	613	514	462	454
IFT172	1293	1211	1164	975
IFT20	226	204	194	139
IFT22	285	249	254	191
IFT27	457	453	350	277
IFT43	258	251	219	154
IFT46	441	375	457	361
IFT52	846	711	732	521
IFT57	2096	2054	1782	1319
IFT74	583	546	626	444
IFT80	207	202	182	152
IFT81	655	626	556	421
IFT88	228	268	213	146
IGBP1	674	703	643	474
IGDCC3	38	33	47	34
IGDCC4	52	47	28	34
IGF1R	975	858	749	935
IGF2BP1	2287	1840	1716	1928
IGF2BP2	474	404	320	377
IGF2BP3	636	599	678	471
IGF2R	4657	4106	3281	3618
IGFBP2	519	541	461	311
IGFBP5	39	29	25	29
IGFBP7	35	34	31	10
IGFLR1	39	43	40	22
IGHMBP2	437	393	371	356
IGSF10	51	41	46	33
IGSF3	246	236	208	205
IGSF6	30	13	15	31
IGSF8	341	285	260	242
IGSF9	29	10	22	26
IGSF9B	148	89	82	103
IK	1721	1625	1870	1195
IKBIP	912	925	798	585
IKBKB	708	635	554	513
IKBKG	89	91	68	60
IKZF2	36	40	39	43
IKZF4	40	34	24	44
IKZF5	308	256	309	253
IL10RB	119	114	89	93
IL11RA	37	28	30	31
IL12A	29	28	19	14
IL12RB2	144	105	108	134
IL13RA1	434	409	408	317
IL17RA	234	211	222	194
IL17RB	376	351	331	293
IL17RC	83	70	65	50
IL17RD	54	65	64	53
IL18BP	36	24	39	33
IL18R1	76	82	67	47
IL1RAP	87	68	85	57
IL20RB	25	15	28	14
IL27RA	86	80	73	64
IL4R	107	76	72	63
IL6R	10	13	15	11
IL6ST	1057	968	1052	819
ILDR2	86	55	66	42
ILF2	10269	9825	9799	7029
ILF3	8963	8128	8126	7390
ILK	892	770	881	674
ILKAP	912	816	748	618
ILVBL	604	461	557	395
IMMP1L	163	163	179	123
IMMP2L	127	132	115	103
IMMT	3308	3130	3254	2466
IMP3	320	308	316	230
IMP4	923	952	934	677
IMPA1	533	497	472	376
IMPA2	129	116	99	64
IMPACT	539	503	477	317
IMPAD1	1113	1035	990	700
IMPDH1	1465	1313	1277	977
IMPDH2	9771	8836	9942	6900
IMPG2	14	14	18	17
INA	274	225	203	184
INAVA	22	12	11	15
INCA1	27	21	32	29
INCENP	1534	1367	1352	1138
INF2	492	398	298	359
ING1	89	105	126	106
ING2	183	206	183	156
ING3	613	459	742	547
ING4	162	158	137	113
ING5	381	387	339	291
INIP	109	93	96	80
INKA2	17	18	13	18
INO80	1360	1256	1193	1023
INO80C	104	79	84	68
INO80D	388	332	315	387
INO80E	460	436	489	362
INPP1	113	93	121	92
INPP4A	903	752	848	793
INPP4B	55	62	62	45
INPP5A	387	330	403	281
INPP5B	747	695	636	522
INPP5E	311	248	290	233
INPP5F	446	414	430	326
INPP5J	127	83	83	88
INPP5K	271	228	259	234
INPPL1	1431	1266	1403	1189
INSIG1	908	800	899	642
INSIG2	150	138	74	102
INSR	583	480	478	469
INSYN1	64	67	73	54
INSYN2	48	42	39	32
INTS1	2707	2369	2148	2243
INTS10	1520	1382	1363	972
INTS11	962	877	973	799
INTS12	551	436	549	441
INTS13	1987	2001	1962	1406
INTS14	1702	1512	1721	1175
INTS2	1439	1304	1311	1002
INTS3	2274	1968	1757	1683
INTS4	627	531	593	451
INTS5	679	569	659	546
INTS6	865	871	862	736
INTS6L	431	442	480	344
INTS7	2814	2496	2699	2235
INTS8	2603	2347	2608	1758
INTS9	313	279	346	223
INTU	734	699	660	518
INVS	873	747	717	644
IP6K1	751	668	633	605
IP6K2	1457	1313	1551	1120
IPMK	170	153	160	124
IPO11	2710	2370	2371	1868
IPO13	833	763	816	667
IPO4	3926	3438	3183	2784
IPO5	13849	12606	13153	9745
IPO7	5922	5079	5179	4449
IPO8	2212	2083	1682	1538
IPO9	3491	3028	3307	3098
IPP	273	225	259	174
IPPK	376	330	355	257
IQCA1	40	35	33	43
IQCB1	1401	1401	1271	956
IQCC	400	348	336	275
IQCD	24	24	32	34
IQCE	261	274	226	210
IQCG	101	81	89	69
IQCH	187	153	163	152
IQCJ-SCHIP1	75	82	42	31
IQCK	63	50	63	42
IQGAP1	4652	4219	4170	3503
IQGAP2	1000	849	871	706
IQGAP3	1548	1322	1364	1296
IQSEC1	631	501	395	562
IQSEC2	44	37	26	41
IQUB	21	21	23	13
IRAK1	3968	3711	4112	3105
IRAK1BP1	105	101	88	74
IRAK2	71	74	66	59
IRAK4	155	145	136	110
IREB2	3563	3451	2852	2590
IRF1	66	46	44	41
IRF2	40	39	30	25
IRF2BP1	435	441	401	313
IRF2BP2	950	866	987	790
IRF2BPL	164	127	106	109
IRF3	610	528	557	429
IRF7	76	53	41	51
IRF8	32	39	19	26
IRF9	49	35	53	40
IRGQ	254	249	189	169
IRS1	69	48	62	52
IRS2	38	28	31	26
IRS4	20981	18996	19390	16408
IRX3	48	40	29	27
IRX5	41	45	41	29
ISCA2	194	202	198	121
ISCU	470	437	418	266
ISG15	43	32	34	43
ISG20L2	746	567	663	551
ISL1	78	86	99	47
ISL2	137	129	97	85
ISM1	27	16	23	29
ISOC1	512	505	556	452
ISOC2	470	384	404	288
ISPD	72	72	49	43
IST1	856	910	766	589
ISY1-RAB43	116	130	114	91
ISYNA1	755	597	793	618
ITCH	2016	1804	1864	1439
ITFG1	792	657	784	557
ITFG2	318	281	241	254
ITGA1	242	212	251	165
ITGA2	237	234	223	181
ITGA2B	32	42	31	28
ITGA3	60	56	55	65
ITGA4	275	289	220	219
ITGA5	303	271	211	198
ITGA6	545	479	448	319
ITGA7	86	87	82	68
ITGA8	196	194	177	149
ITGA9	38	46	46	38
ITGAD	13	17	24	22
ITGAE	361	359	330	239
ITGAV	996	922	1006	725
ITGB1	1754	1710	1703	1264
ITGB1BP1	678	700	666	447
ITGB1BP2	37	42	31	50
ITGB3BP	968	766	911	664
ITGB5	400	379	399	297
ITGB7	23	23	14	24
ITIH4	95	90	85	105
ITM2B	1039	788	1058	690
ITM2C	403	367	348	248
ITPA	624	693	638	465
ITPK1	340	300	368	293
ITPKA	28	26	17	26
ITPKB	109	97	70	64
ITPKC	177	143	134	92
ITPR1	846	705	750	673
ITPR2	1437	1299	1369	1102
ITPR3	1083	857	815	922
ITPRID2	1946	1837	1711	1285
ITPRIP	83	49	64	77
