	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
AKT1	604	822	555	512
AKT1S1	268	391	244	202
AKT2	1110	1467	999	951
AKT3	238	258	218	180
AKTIP	64	68	48	51
AL022238.4	0	0	0	0
AL022312.1	191	213	130	137
AL031777.3	3833	3568	2692	3232
AL034430.1	75	64	33	39
AL034430.2	260	323	193	236
AL049629.2	166	206	126	137
AL109811.3	0	0	0	0
AL109827.1	126	174	113	117
AL121753.1	31	103	31	20
AL121768.1	131	123	123	114
AL135905.2	576	794	407	519
AL136295.1	30	32	29	32
AL139011.2	74	87	38	57
AL139260.3	55	114	58	56
AL139300.1	73	101	54	61
AL157935.2	0	0	3	1
AL162171.1	44	56	26	35
AL162231.1	5	10	2	6
AL358472.7	42	74	56	45
ALAD	128	152	127	106
ALAS1	773	886	498	530
ALCAM	724	818	714	766
ALDH16A1	339	538	339	303
ALDH18A1	1995	2713	2047	2090
ALDH1A2	1896	2392	1706	1659
ALDH1A3	11	11	14	14
ALDH1B1	926	1103	745	721
ALDH1L2	371	343	296	279
ALDH2	914	994	683	713
ALDH3A1	11	12	9	6
ALDH3A2	1124	1318	991	913
ALDH4A1	327	423	267	248
ALDH5A1	686	874	569	609
ALDH6A1	556	641	453	499
ALDH7A1	1179	1457	1063	1090
ALDH8A1	1	1	3	2
ALDH9A1	2496	2914	2065	2019
ALDOA	1993	2354	1071	1599
ALDOC	52	66	33	45
ALG1	259	368	247	283
ALG10	217	264	206	198
ALG10B	111	166	123	122
ALG11	446	477	384	411
ALG12	283	415	305	284
ALG13	976	1040	808	885
ALG14	156	192	158	138
ALG1L	17	22	10	17
ALG2	284	380	243	218
ALG3	831	1062	679	610
ALG5	817	1074	846	894
ALG6	623	736	510	582
ALG8	1447	1707	1247	1216
ALG9	12	14	6	13
ALKAL1	7	7	7	3
ALKBH1	310	330	214	224
ALKBH2	246	266	153	170
ALKBH3	248	229	186	176
ALKBH4	208	382	163	214
ALKBH5	510	735	411	392
ALKBH6	493	569	376	416
ALKBH7	247	323	215	172
ALKBH8	161	174	131	146
ALMS1	862	849	789	781
ALOX12	6	10	5	2
ALPK1	70	72	72	67
ALPL	16	13	11	11
ALS2	376	407	301	294
ALX1	216	220	149	185
ALX3	2	0	4	0
ALX4	68	80	49	44
ALYREF	4989	5975	3551	3820
AMACR	220	240	165	197
AMBRA1	560	735	489	506
AMD1	600	703	544	532
AMDHD2	123	143	80	89
AMER1	90	151	72	79
AMFR	1049	1202	894	878
AMH	39	58	46	42
AMIGO1	27	26	24	18
AMIGO3	2	1	9	2
AMMECR1	200	321	160	162
AMMECR1L	158	198	128	112
AMN1	155	112	102	102
AMOT	183	173	118	122
AMOTL1	888	1164	683	672
AMOTL2	212	369	210	236
AMPD2	561	676	439	412
AMPH	130	172	104	102
AMZ2	477	503	334	381
ANAPC1	343	345	295	312
ANAPC10	136	115	77	81
ANAPC11	728	927	532	588
ANAPC13	263	366	277	296
ANAPC15	156	208	137	115
ANAPC16	461	637	416	455
ANAPC2	525	839	425	494
ANAPC4	746	779	571	624
ANAPC5	3174	3216	2587	2437
ANAPC7	2398	3195	2048	2211
ANGEL1	287	379	273	272
ANGEL2	361	431	287	328
ANGPT2	3	2	1	3
