	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
ADNP	2300	2631	1239	792
ADNP2	674	761	414	259
ADO	228	323	126	75
ADORA2A	19	7	4	4
ADORA2B	101	91	53	26
ADPGK	548	699	336	219
ADPRHL1	32	31	24	12
ADPRHL2	524	671	279	174
ADPRM	50	62	32	27
ADRA2C	9	9	7	0
ADRM1	2823	4391	1645	1002
ADSL	2915	3184	1156	711
ADSS	1179	1589	624	374
ADSSL1	13	11	7	3
AEBP2	617	799	376	213
AEN	653	1044	474	294
AES	1393	1756	666	430
AFAP1	146	193	89	59
AFAP1L1	114	105	46	27
AFDN	1798	2196	1002	642
AFF1	629	692	308	240
AFF3	206	239	101	80
AFF4	2218	2324	984	663
AFG1L	165	204	98	62
AFG3L2	1204	1445	614	400
AFMID	207	300	154	77
AFTPH	320	405	122	84
AGA	306	361	149	73
AGAP1	182	266	75	60
AGAP2	57	58	35	24
AGAP3	547	736	205	156
AGAP5	1	1	1	0
AGAP6	1	3	2	1
AGAP9	2	3	3	0
AGBL3	21	20	18	4
AGBL5	271	322	97	73
AGER	5	3	3	0
AGFG1	1637	1837	889	570
AGFG2	121	172	85	48
AGGF1	203	154	157	64
AGK	800	1129	490	328
AGL	1825	1894	909	570
AGMAT	2	2	2	1
AGO1	592	737	274	166
AGO2	752	904	285	223
AGO3	298	298	142	77
AGO4	116	113	50	40
AGPAT1	611	760	238	122
AGPAT2	536	694	356	181
AGPAT3	423	537	174	109
AGPAT4	210	257	127	74
AGPAT5	438	508	196	115
AGPS	1989	2308	1011	717
AGRN	1040	1668	571	280
AGTPBP1	893	1031	406	265
AGTRAP	390	579	237	144
AHCTF1	251	333	112	94
AHCY	3334	4735	1648	964
AHCYL1	1690	1831	796	523
AHCYL2	304	383	190	101
AHDC1	179	241	85	67
AHI1	327	344	147	103
AHNAK	832	903	509	354
AHNAK2	69	108	62	36
AHR	84	69	49	21
AHSA1	2562	3164	1251	832
AIF1L	628	699	282	225
AIFM1	2245	2685	1288	729
AIFM2	558	730	338	212
AIG1	590	746	315	178
AIMP1	1055	1301	490	421
AIMP2	1571	2052	783	520
AIP	888	1151	470	301
AJUBA	62	96	39	19
AK1	447	687	254	181
AK2	934	1059	485	309
AK3	478	461	193	144
AK4	117	146	52	23
AK5	38	34	11	9
AK6	526	578	296	208
AK7	20	16	9	8
AK8	29	37	17	12
AK9	80	87	41	28
AKAP1	556	768	380	217
AKAP10	264	262	116	78
AKAP11	1432	1811	741	525
AKAP12	2308	2397	1099	723
AKAP13	696	868	438	277
AKAP17A	246	374	162	112
AKAP5	58	67	21	13
AKAP6	24	38	16	16
AKAP7	102	106	39	38
AKAP8	613	803	417	264
AKAP8L	973	1312	674	456
AKAP9	1296	1402	621	488
AKIP1	234	252	134	96
AKIRIN1	942	1154	522	310
AKIRIN2	886	1120	578	410
AKNA	54	43	29	14
AKR1A1	740	1199	443	265
AKR1B1	2544	2933	1518	886
AKR7A2	870	1218	475	301
AKR7A3	0	0	1	0
AKT1	604	822	269	137
AKT1S1	268	391	160	89
AKT2	1110	1467	501	259
AKT3	238	258	103	69
AKTIP	64	68	31	23
AL022238.4	0	0	0	0
AL022312.1	191	213	88	72
AL031777.3	3833	3568	3485	1587
AL034430.1	75	64	51	45
AL034430.2	260	323	179	128
AL049629.2	166	206	69	43
AL109811.3	0	0	0	0
AL109827.1	126	174	181	84
AL121753.1	31	103	12	8
AL121768.1	131	123	57	38
AL135905.2	576	794	593	416
AL136295.1	30	32	30	15
AL139011.2	74	87	70	30
AL139260.3	55	114	26	26
AL139300.1	73	101	63	32
AL157935.2	0	0	0	1
AL162171.1	44	56	18	9
AL162231.1	5	10	1	0
AL358472.7	42	74	13	6
ALAD	128	152	80	46
ALAS1	773	886	442	250
ALCAM	724	818	379	180
ALDH16A1	339	538	209	111
ALDH18A1	1995	2713	1495	975
ALDH1A2	1896	2392	934	583
ALDH1A3	11	11	2	4
ALDH1B1	926	1103	471	285
ALDH1L2	371	343	175	107
ALDH2	914	994	359	262
ALDH3A1	11	12	10	4
ALDH3A2	1124	1318	586	341
ALDH4A1	327	423	155	91
ALDH5A1	686	874	386	225
ALDH6A1	556	641	271	174
ALDH7A1	1179	1457	687	423
ALDH8A1	1	1	1	0
ALDH9A1	2496	2914	1365	852
ALDOA	1993	2354	1980	1044
ALDOC	52	66	29	25
ALG1	259	368	149	91
ALG10	217	264	124	49
ALG10B	111	166	70	51
ALG11	446	477	246	154
ALG12	283	415	190	116
ALG13	976	1040	569	401
ALG14	156	192	120	73
ALG1L	17	22	14	12
ALG2	284	380	183	112
ALG3	831	1062	460	243
ALG5	817	1074	523	305
ALG6	623	736	238	149
ALG8	1447	1707	834	425
ALG9	12	14	10	7
ALKAL1	7	7	5	1
ALKBH1	310	330	164	133
ALKBH2	246	266	120	91
