	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b
FAM168B	742	844	378	459
FAM169A	395	526	200	235
FAM171A1	317	403	137	198
FAM171A2	150	186	60	120
FAM171B	129	126	56	74
FAM172A	240	264	104	104
FAM174A	102	115	54	72
FAM174C	250	380	128	219
FAM177A1	217	263	105	113
FAM184A	301	280	144	169
FAM184B	68	69	32	33
FAM185A	41	65	18	34
FAM186B	4	5	6	4
FAM189B	296	351	142	178
FAM192A	319	447	139	230
FAM193A	353	438	198	224
FAM193B	165	190	78	110
FAM199X	983	1049	413	547
FAM200A	189	176	88	89
FAM200B	39	43	17	20
FAM204A	335	400	163	204
FAM207A	181	278	105	151
FAM20B	163	228	91	113
FAM210A	260	355	120	167
FAM210B	215	230	104	146
FAM214A	225	207	106	152
FAM216A	1257	1184	527	601
FAM217B	54	73	31	31
FAM219A	190	244	81	116
FAM219B	103	141	38	66
FAM221A	228	265	123	116
FAM222B	166	208	68	110
FAM227A	10	3	4	3
FAM229B	96	151	43	72
FAM234A	318	396	130	205
FAM234B	506	591	255	285
FAM241A	216	241	84	102
FAM32A	331	469	178	267
FAM3A	156	171	65	107
FAM3C	2	1	0	1
FAM49B	1068	1229	585	696
FAM50A	1828	2275	881	1174
FAM53B	97	141	54	74
FAM53C	481	594	202	279
FAM71E1	41	51	11	24
FAM72B	15	15	2	6
FAM76A	141	174	80	86
FAM76B	107	135	64	68
FAM81A	23	17	7	10
FAM83B	243	294	124	138
FAM83D	1422	1802	769	965
FAM83G	224	280	88	169
FAM83H	264	442	185	251
FAM89A	188	248	63	127
FAM89B	41	72	22	35
FAM8A1	410	516	203	287
FAM91A1	416	458	197	244
FAM92A	239	270	112	184
FAM98A	1114	1458	592	778
FAM98B	1439	1505	696	846
FAM98C	121	201	73	99
FAN1	308	366	136	195
FANCA	999	1154	444	663
FANCB	310	378	177	168
FANCC	240	271	127	166
FANCD2	1321	1504	637	727
FANCE	291	310	127	159
FANCG	264	360	132	172
FANCI	2377	2690	1132	1454
FANCL	914	1040	458	543
FANCM	356	460	154	213
FAR1	1806	2204	892	1139
FAR2	609	658	322	350
FARP1	513	603	248	351
FARP2	964	1167	447	550
FARS2	207	194	88	132
FARSA	3690	4810	1754	2373
FARSB	4285	4594	1948	2566
FAS	234	288	115	147
FASN	15869	23297	8291	11230
FASTK	165	270	85	120
FASTKD1	405	382	190	265
FASTKD2	1243	1369	645	754
FASTKD3	381	393	184	182
FASTKD5	1080	1309	555	719
FAT1	2148	2660	1055	1377
FAT2	0	2	0	4
FAT3	238	320	160	194
FAT4	400	495	213	250
FAU	3571	4878	1859	2644
FAXC	63	71	21	40
FAXDC2	14	16	6	12
FBF1	44	43	16	33
FBH1	972	1166	461	603
FBL	7678	11081	3833	5262
FBLIM1	180	230	96	133
FBLN1	623	838	286	433
FBN1	322	531	170	278
FBN2	3532	4949	1955	2596
FBRS	562	735	280	350
FBRSL1	526	719	252	350
FBXL12	118	210	65	84
FBXL13	16	9	7	9
FBXL14	256	343	91	165
FBXL15	150	188	63	92
FBXL17	249	321	129	182
FBXL18	250	324	142	190
FBXL19	156	178	56	74
FBXL2	50	64	23	37
FBXL20	178	194	95	105
FBXL3	433	551	234	312
FBXL4	253	279	118	146
FBXL5	413	412	188	233
FBXL6	92	115	46	81
FBXL8	11	8	1	5
FBXO10	130	159	62	106
FBXO11	882	994	467	557
FBXO16	143	200	64	82
FBXO17	364	452	135	228
FBXO21	1134	1330	555	709
FBXO22	495	587	241	268
FBXO25	222	272	102	149
FBXO28	615	689	298	421
FBXO3	792	838	402	445
FBXO30	529	552	274	321
FBXO31	153	211	77	105
FBXO32	247	246	102	142
FBXO33	312	388	151	209
FBXO34	222	281	109	137
FBXO38	741	784	349	398
FBXO4	123	178	60	76
FBXO42	404	522	174	291
FBXO44	143	219	66	122
FBXO45	148	156	69	68
FBXO46	124	157	62	95
FBXO5	961	1101	514	593
FBXO7	1540	1676	711	885
FBXO8	141	173	61	89
FBXO9	483	553	192	309
FBXW11	731	839	366	462
FBXW2	175	194	77	91
FBXW4	135	158	65	94
FBXW5	248	335	110	175
FBXW7	121	148	64	64
FBXW8	171	289	95	168
FBXW9	281	363	155	192
FCF1	321	412	167	191
FCGRT	316	351	128	185
FCHO2	450	512	227	272
FCHSD1	47	54	21	23
FCHSD2	200	242	102	124
FCSK	100	138	37	66
FDFT1	3168	3716	1531	1979
FDPS	2424	2821	1168	1481
FDX1	501	620	221	282
FDX2	42	56	19	27
FDXACB1	12	30	8	6
FDXR	333	479	211	215
FECH	841	849	342	450
FEM1A	384	459	174	255
FEM1B	945	1047	433	583
FEM1C	489	473	212	285
FEN1	1727	2496	969	1289
FER	278	335	174	175
FERMT1	195	259	108	132
FERMT2	1446	1583	680	872
FEZ1	79	83	32	35
FEZ2	470	498	174	258
FGD1	208	250	79	111
FGD4	147	160	60	78
FGD6	113	140	50	65
FGF2	93	95	28	50
FGFR1	370	420	185	226
FGFR1OP	518	689	288	293
FGFR1OP2	320	385	171	231
FGFR2	208	251	110	111
FGFR3	176	181	67	102
FGFR4	71	81	29	36
FGFRL1	239	279	118	137
FGGY	21	25	11	22
FH	1831	2016	826	1081
FHAD1	26	28	18	17
FHIT	48	51	21	19
FHL1	3194	4223	1664	2357
FHL2	458	576	203	290
FHOD1	508	630	249	328
FHOD3	121	158	63	91
FIBP	469	545	202	267
FICD	59	65	29	36
FIG4	813	809	319	465
FIGN	93	106	38	60
FIGNL1	639	791	362	415
FILIP1L	23	26	9	13
FIP1L1	637	654	334	393
FIS1	608	772	312	423
FITM2	209	261	89	114
FJX1	117	122	55	72
FKBP10	747	933	354	537
FKBP11	315	397	168	206
FKBP14	147	185	91	104
FKBP15	408	516	223	283
FKBP1A	61	133	46	81
FKBP3	3087	3336	1394	1834
FKBP4	6780	8284	3179	4336
FKBP5	950	1127	441	601
FKBP7	99	109	38	58
FKBP8	1819	2181	809	1087
FKBP9	183	181	88	136
FKBPL	122	166	80	90
FKRP	60	132	30	71
FKTN	65	94	37	50
FLAD1	712	772	347	394
FLCN	149	198	79	100
FLII	1763	2278	822	1149
FLNA	12461	17738	6878	9678
FLNB	1045	1907	697	975
FLNC	4	3	3	1
FLOT1	946	939	398	534
FLOT2	872	1158	404	573
FLRT3	50	67	51	32
FLT1	619	726	324	454
FLT4	384	500	137	251
FLVCR1	297	368	143	168
FLYWCH1	220	278	96	147
FLYWCH2	90	173	83	90
FMC1	182	214	67	98
FMN2	183	240	95	121
FMNL2	436	504	206	258
FMNL3	145	197	59	82
FMO4	39	41	16	36
FMR1	1447	1737	722	923
FN1	2141	2894	1136	1493
FN3KRP	339	437	167	214
FNBP1	791	843	356	451
FNBP1L	448	548	214	268
FNBP4	539	679	298	356
FNDC3A	1223	1461	605	717
FNDC3B	658	732	321	385
FNIP1	452	557	235	302
FNIP2	238	280	117	137
FNTA	691	748	340	411
FOCAD	918	978	401	526
FOPNL	453	467	237	253
FOXA1	283	351	144	162
FOXC1	1690	2559	984	1445
FOXD1	93	130	53	62
FOXF2	225	352	105	154
FOXG1	139	218	72	79
FOXJ2	103	137	43	70
FOXJ3	860	966	462	552
FOXK1	542	712	275	362
FOXK2	494	657	204	313
FOXM1	598	687	297	403
FOXN2	219	234	83	122
FOXN3	59	83	36	36
FOXO1	535	651	248	324
FOXO3	177	210	68	104
FOXO3B	21	36	3	6
FOXO4	70	85	34	41
FOXP2	198	157	73	83
FOXP4	363	517	213	285
FOXRED1	515	649	195	306
FOXRED2	968	1131	439	603
FP565260.1	0	0	0	0
FPGS	491	662	227	388
FPGT	196	240	95	135
FRA10AC1	567	635	308	339
FRAS1	618	898	339	424
FRAT2	95	153	46	83
FREM2	863	1089	465	603
FRG1	144	263	97	119
FRMD4A	208	210	91	99
FRMD4B	140	155	54	84
FRMD5	87	96	29	43
FRMD6	315	347	154	203
FRMD8	107	162	62	83
FRRS1	193	197	83	108
FRS2	206	249	118	140
FRY	69	65	33	38
FRYL	566	751	322	395
FSBP	31	31	20	20
FSCN1	1308	1496	582	816
FSD1	283	350	160	187
FSD1L	41	38	27	25
FSIP2	3	1	1	1
FSTL1	2177	3090	1159	1567
FTH1	120	141	49	67
FTL	382	487	131	263
FTO	787	911	378	503
FTSJ1	399	519	172	229
FTSJ3	2276	3043	1124	1596
FUBP1	3566	4763	2041	2566
FUBP3	1792	2406	945	1316
FUCA1	294	389	137	190
FUCA2	1500	1660	705	854
FUNDC1	369	417	191	242
FUNDC2	162	225	76	112
FUOM	41	51	14	37
FURIN	278	323	110	170
FUS	12371	16569	6976	8910
FUT10	76	99	40	37
FUT11	197	266	94	139
FUT8	157	163	77	89
FUZ	253	313	97	120
FXN	67	100	34	43
FXR1	2076	2250	956	1213
FXR2	1066	1434	568	756
FXYD5	2235	2659	1089	1521
FYCO1	373	417	177	201
FYN	530	658	260	359
FYTTD1	732	797	376	434
FZD1	172	176	83	105
FZD2	212	213	74	119
FZD3	342	444	172	223
FZD4	65	82	38	27
FZD5	214	270	100	139
FZD6	374	459	190	208
FZD7	253	278	133	169
FZD8	438	609	206	271
FZD9	37	61	17	17
FZR1	524	660	250	334
G2E3	552	634	264	341
G3BP1	5456	8322	3239	4204
G3BP2	1487	1829	813	974
G6PC3	1111	1514	495	667
G6PD	1858	2218	809	1109
GAA	329	403	149	199
GAB1	221	287	100	160
GAB2	84	87	32	49
GABARAP	1489	1603	676	863
GABARAPL1	221	298	109	135
GABARAPL2	1170	1371	570	723
GABBR1	47	36	15	16
GABBR2	11	16	8	11
GABPA	292	364	123	188
GABPB1	360	436	193	280
GABPB2	141	152	68	94
GABRB3	217	311	102	165
GAD1	99	100	41	52
GADD45A	241	314	134	172
GADD45B	46	83	25	52
GADD45GIP1	2225	3039	1052	1489
GAK	795	972	387	537
GAL	8	3	0	2
GALC	74	119	54	63
GALE	546	659	282	340
GALK1	547	671	242	320
GALK2	307	338	144	162
GALM	347	436	166	255
GALNS	135	165	47	66
GALNT1	454	468	166	295
GALNT10	94	124	48	65
GALNT11	163	177	78	110
GALNT12	56	75	14	21
GALNT13	123	117	57	76
GALNT16	86	87	41	56
GALNT18	130	141	53	68
GALNT2	608	877	341	463
GALNT6	136	166	53	98
GALNT7	819	991	399	583
GALT	82	98	36	54
GAMT	298	451	153	187
GAN	219	281	125	166
GANAB	7295	9555	3534	4853
GANC	131	140	52	67
GAPDH	16723	20439	8015	11384
GAPDHS	27	18	11	14
GAPVD1	2313	2544	1086	1369
GAR1	787	967	425	483
GAREM1	37	43	21	20
GAREM2	82	71	35	35
GARNL3	13	11	15	6
GARS	3271	3589	1458	1865
GART	6853	8142	3260	4153
GAS1	184	263	99	129
GAS2L3	355	360	165	222
GAS6	65	72	29	43
GAS8	88	119	49	70
GASK1A	19	41	12	27
GATA2	402	461	219	268
GATA4	245	354	117	167
GATA6	653	982	380	550
GATAD1	234	244	99	126
GATAD2A	809	1095	387	488
GATAD2B	1545	1816	731	961
GATB	387	419	165	228
GATD1	464	656	197	309
GBA	392	515	188	256
GBA2	170	251	83	121
GBE1	404	544	213	295
GBF1	2407	3178	1234	1556
GCA	396	478	193	265
GCAT	222	323	128	182
GCC1	300	382	147	213
GCC2	1153	1056	513	623
GCDH	672	875	330	435
GCFC2	622	712	299	340
GCH1	270	331	111	162
GCHFR	181	227	72	117
GCLC	824	1025	450	575
GCLM	861	1063	458	570
GCN1	5657	7438	2713	3588
GCNA	1	4	0	1
GCNT1	57	57	34	35
GCNT7	0	0	0	0
GDAP1	408	430	195	230
GDAP2	539	551	219	257
GDE1	244	340	131	196
GDF11	165	189	68	86
GDI1	2157	2813	1078	1369
GDI2	6208	7788	3337	4143
GDPD1	195	218	103	81
GDPGP1	16	15	8	6
GEMIN2	423	504	174	242
GEMIN4	2360	2861	1168	1483
GEMIN5	2783	3139	1231	1684
GEMIN6	428	534	221	272
GEMIN7	229	279	95	163
GEMIN8	307	317	123	157
GEN1	234	311	126	145
GET1	40	45	16	28
GET3	1303	1539	603	839
GET4	587	800	277	366
GFER	173	284	111	130
GFI1	169	196	74	117
GFM1	908	1165	477	638
GFM2	606	679	317	373
