	ribo_untr_a	ribo_untr_b	ribo_isrib_a	ribo_isrib_b	untr_a_hek	untr_b_hek	isrib_a_hek	isrib_b_hek
ACSS1	304	387	154	226	234	231	203	198
ACSS2	159	223	57	91	285	244	273	233
ACSS3	189	211	88	107	59	62	45	45
ACTA2	430	700	255	375	73	63	75	59
ACTB	26215	31722	12573	17995	16750	15306	17460	15090
ACTG1	20400	26150	10242	15317	18478	16213	23162	17022
ACTL6A	2022	2417	1003	1234	1072	1032	1170	766
ACTN1	2007	2716	1023	1476	1412	1199	1260	1280
ACTN2	7	23	5	10	194	180	131	141
ACTN4	9082	12175	4679	6598	2389	2093	2156	2151
ACTR10	1333	1446	675	776	806	792	831	580
ACTR1A	2516	3190	1183	1608	1736	1539	1702	1259
ACTR1B	214	286	114	170	522	459	467	364
ACTR2	1819	2289	879	1224	2387	2284	2049	1774
ACTR3	2666	3033	1347	1653	2590	2447	2603	1739
ACTR3B	59	80	24	34	247	176	160	158
ACTR5	196	266	77	135	413	354	316	278
ACTR6	1399	1425	605	760	1029	1079	950	676
ACTR8	721	798	336	455	1741	1611	1663	1217
ACTRT3	41	26	17	20	57	76	53	44
ACVR1	162	159	76	94	127	75	85	103
ACVR1B	347	519	195	267	322	329	322	242
ACVR1C	18	26	6	14	33	36	33	33
ACVR2A	224	291	111	145	304	285	296	212
ACVR2B	93	130	33	72	496	437	426	382
ACYP1	213	212	78	120	147	156	150	92
ACYP2	60	78	22	25	37	36	45	36
ADA	286	285	125	139	197	179	173	106
ADAL	123	107	49	60	184	168	199	157
ADAM10	853	906	381	549	930	873	831	716
ADAM11	103	131	40	67	131	121	133	117
ADAM15	522	676	248	354	1003	828	1036	748
ADAM17	259	357	148	184	881	850	764	601
ADAM19	43	51	19	17	51	69	59	43
ADAM22	107	103	38	68	406	346	389	308
ADAM23	180	220	70	98	292	283	270	238
ADAM9	804	886	342	458	1994	1943	1881	1347
ADAMTS1	4767	6229	2251	2969	833	746	776	610
ADAMTS13	21	9	13	16	161	112	107	128
ADAMTS17	35	59	15	20	256	241	191	219
ADAMTS19	138	185	69	95	210	196	174	173
ADAMTS2	73	80	25	28	47	27	25	34
ADAMTS20	51	48	22	49	305	252	257	193
ADAMTS3	144	162	75	92	257	272	263	200
ADAMTS6	9	5	2	3	66	67	67	57
ADAMTS9	32	35	17	12	298	279	235	232
ADAMTSL4	8	5	1	4	40	40	48	62
ADAP1	13	24	8	8	57	60	77	61
ADAP2	49	49	21	37	83	77	63	49
ADAR	4150	4812	1831	2512	5930	5169	5333	4494
ADARB1	107	199	49	64	354	284	318	320
ADAT1	135	124	62	65	537	445	397	412
ADAT2	116	112	30	59	357	357	262	223
ADAT3	53	100	25	34	58	59	45	31
ADCK1	114	150	58	75	185	185	167	157
ADCK2	524	627	208	293	593	555	534	425
ADCK5	19	29	8	8	66	62	66	45
ADCY1	37	22	13	11	392	341	346	292
ADCY3	501	618	229	329	1229	1058	1197	1034
ADCY6	414	556	190	262	381	322	328	270
ADCY7	73	62	22	41	103	83	95	82
ADCY9	297	361	159	207	614	560	453	444
ADCYAP1R1	12	20	6	5	25	25	34	27
ADD1	1652	2061	789	1113	1370	1395	1316	1162
ADD2	338	444	124	172	463	441	396	423
ADD3	1748	1973	776	1082	1347	1188	1403	993
ADGRA2	28	38	10	17	92	65	74	63
ADGRA3	170	195	76	95	1070	941	953	761
ADGRB2	54	48	24	38	279	237	241	220
ADGRB3	14	11	8	7	363	327	326	265
ADGRE5	1085	1292	483	669	93	57	51	48
ADGRG6	394	394	155	212	105	107	95	80
ADGRL1	276	285	104	125	816	624	604	724
ADGRL2	859	983	401	545	2653	2300	2672	1966
ADGRL3	79	98	27	52	515	435	481	359
ADGRV1	547	609	288	339	3356	3097	3108	2534
ADH5	712	1008	350	490	1525	1461	1591	1068
ADI1	695	1016	351	557	1169	1163	1006	783
ADIPOR1	448	558	211	291	1484	1341	1522	1110
ADIPOR2	760	976	377	487	643	627	740	572
ADK	1294	1349	580	704	862	838	799	604
ADM	89	152	44	85	38	42	57	40
ADNP	2255	2584	1104	1377	3281	2782	2305	2669
ADNP2	675	763	330	388	1432	1246	1286	1027
ADO	229	324	114	167	161	182	151	110
ADORA2A	19	7	4	6	39	25	39	31
ADORA2B	101	91	38	43	157	127	171	110
ADPGK	527	676	235	335	944	797	906	672
ADPRHL1	32	32	20	16	55	45	37	30
ADPRHL2	525	672	256	420	524	496	487	371
ADPRM	51	62	27	36	102	88	107	79
ADRA2C	9	9	9	8	44	54	67	30
ADRM1	2825	4403	1517	2236	1490	1397	1465	1173
ADSL	2920	3194	1368	1860	4094	3775	4108	2917
ADSS	1122	1515	622	714	2662	2759	2402	1735
AEBP2	619	800	311	414	525	422	366	370
AEN	650	1047	410	566	655	598	737	478
AFAP1	141	186	69	101	257	280	213	208
AFAP1L1	115	106	46	46	100	87	102	82
AFDN	1800	2194	932	1189	4857	4429	4020	3435
AFF1	627	694	304	370	536	436	384	488
AFF3	204	236	85	159	140	112	121	141
AFF4	2216	2312	1036	1282	2153	1772	1873	1784
AFG1L	166	204	86	119	183	185	178	133
AFG3L2	1193	1422	595	707	2549	2389	2208	1770
AFMID	207	298	114	140	252	233	187	166
AFTPH	321	405	156	185	783	654	718	552
AGA	297	342	123	181	252	239	229	148
AGAP1	183	266	97	152	565	567	517	519
AGAP2	55	59	25	43	84	86	91	69
AGAP3	548	737	232	324	1017	800	877	768
AGAP6	1	3	3	2	120	83	126	128
AGAP9	2	3	0	0	152	140	124	121
AGBL3	20	20	3	21	72	77	60	54
AGBL5	271	322	105	138	1387	1099	1330	988
AGER	5	3	1	2	66	60	39	38
AGFG1	1639	1839	781	1096	1237	973	1254	907
AGFG2	121	174	62	87	102	75	93	67
AGGF1	202	154	81	98	219	218	240	144
AGK	802	1132	466	675	1128	966	988	758
AGL	1826	1892	825	1035	2884	2467	2549	2064
AGMAT	2	3	0	3	59	47	42	36
AGO1	593	738	286	362	1139	983	929	896
AGO2	734	884	358	502	1077	857	941	889
AGO3	298	299	136	168	808	731	748	664
AGO4	116	114	42	57	306	273	273	223
AGPAT1	584	718	254	337	271	248	256	291
AGPAT2	495	626	247	365	138	126	149	132
AGPAT3	424	539	194	228	502	432	385	426
AGPAT4	199	234	107	108	331	317	284	231
AGPAT5	438	508	179	239	525	574	462	374
AGPS	1990	2308	945	1287	2017	2150	1983	1469
AGRN	1045	1667	596	805	702	571	494	540
AGTPBP1	892	1019	439	570	2802	2692	2548	1944
AGTRAP	390	583	226	293	169	133	162	129
AHCTF1	252	333	137	156	1768	1630	1606	1407
AHCY	3027	4262	1588	2163	3579	3096	4179	2820
AHCYL1	1695	1833	796	1028	1343	1194	1289	1117
AHCYL2	305	385	153	229	290	286	236	199
AHDC1	178	241	94	92	107	55	44	84
AHI1	324	331	161	171	1214	1107	1141	940
AHNAK	826	903	414	556	1951	2049	1504	1426
AHNAK2	63	106	38	76	281	222	264	225
AHSA1	2567	3171	1140	1545	3620	3401	3456	2433
AIF1L	629	700	263	403	151	131	101	92
AIFM1	2236	2603	1033	1346	2363	2270	2365	1868
AIFM2	544	700	260	309	81	88	71	52
AIG1	591	746	286	391	512	418	412	303
AIMP1	1055	1303	537	597	1223	1208	1174	892
AIMP2	1575	2057	775	1072	1483	1373	1432	967
AIP	887	1150	414	619	594	562	628	396
AJUBA	60	96	28	27	134	131	92	86
AK1	475	703	244	350	367	356	314	272
AK2	1023	1142	405	590	1904	1992	1792	1373
AK3	456	430	183	237	253	239	237	176
AK6	495	561	252	341	745	703	662	465
AK9	74	84	51	40	89	95	81	60
AKAP1	557	765	289	382	2226	2028	2092	1745
AKAP10	267	263	103	134	952	796	850	673
AKAP11	1429	1809	833	912	3358	3155	2727	2459
AKAP12	2308	2402	1000	1274	3951	3785	3443	2766
AKAP13	697	869	399	432	2881	2493	2372	2199
AKAP17A	246	374	135	157	470	456	441	352
AKAP5	58	67	28	40	133	119	121	80
AKAP6	24	39	15	20	167	134	126	138
AKAP7	103	106	49	60	159	180	125	119
AKAP8	611	799	310	453	937	906	876	720
AKAP8L	941	1274	464	546	1263	1178	1250	1054
AKAP9	1300	1407	624	732	5033	4878	4973	3861
AKIP1	234	251	97	139	242	163	178	128
AKIRIN1	948	1159	480	654	401	348	378	230
AKIRIN2	826	1027	404	489	191	167	171	180
AKNA	52	44	26	22	46	43	42	42
AKR1A1	741	1201	370	549	777	648	660	550
AKR1B1	2336	2729	1020	1419	1398	1274	1401	1117
AKR7A2	848	1188	386	611	578	535	594	439
AKT1	599	785	259	426	1289	1150	1295	939
AKT1S1	281	390	156	249	145	134	144	124
AKT2	1105	1448	541	799	954	842	948	815
AKT3	226	238	137	126	1168	1034	940	771
AKTIP	66	74	36	45	136	146	130	92
AL022312.1	192	214	77	98	178	161	137	111
AL031777.3	3344	3694	1552	2121	1166	666	1925	1026
AL034430.1	75	64	33	33	136	135	144	98
AL034430.2	260	323	111	184	213	196	206	120
AL049650.1	1155	1271	501	698	81	87	98	25
AL109811.3	0	0	0	0	67	60	81	72
AL109827.1	170	212	78	104	134	123	138	95
AL121753.1	235	233	103	184	140	139	124	114
AL135905.2	594	814	327	494	33	44	49	30
AL713999.1	149	189	79	115	225	127	383	185
ALAD	126	154	62	72	161	130	115	107
ALAS1	774	884	293	421	1120	1060	1190	873
ALCAM	726	815	340	453	1183	1035	1190	744
ALDH16A1	341	539	169	262	633	577	504	426
ALDH18A1	1893	2614	1037	1424	4727	4233	4305	3129
ALDH1A2	1841	2270	984	1236	1088	1031	973	700
ALDH1B1	929	1104	408	562	1148	1080	1040	761
ALDH1L2	367	341	133	141	680	640	526	497
ALDH2	916	995	359	533	229	228	265	170
ALDH3A2	1129	1323	476	684	1942	1711	1652	1259
ALDH4A1	322	410	160	220	150	119	159	139
ALDH5A1	688	876	342	465	399	469	390	288
ALDH6A1	561	632	223	337	450	392	390	315
ALDH7A1	1188	1426	535	721	971	847	775	700
ALDH9A1	2449	2909	1127	1612	1863	1710	1878	1229
ALDOA	1995	2356	873	1261	803	712	1037	556
ALDOC	52	65	19	16	51	40	50	49
ALG1	259	368	129	192	410	313	391	276
ALG10	216	264	121	132	205	162	268	165
ALG10B	111	165	74	102	98	73	115	85
ALG11	446	478	203	288	443	431	422	319
ALG12	250	373	142	195	394	303	336	262
ALG13	976	1039	453	566	1986	1763	1515	1525
ALG14	149	163	66	95	284	284	252	168
ALG1L	14	19	9	8	46	38	51	37
ALG2	281	363	131	200	382	370	393	316
ALG3	801	1008	353	508	272	229	266	230
ALG5	755	947	424	538	737	695	705	480
ALG6	624	736	295	348	1251	1223	1304	907
ALG8	1410	1692	674	873	1480	1272	1614	1079
ALKBH1	295	314	152	171	295	214	284	212
ALKBH2	252	267	97	131	436	439	444	328
ALKBH3	248	228	109	127	462	388	415	324
ALKBH4	207	367	116	160	214	219	195	129
ALKBH5	510	735	265	347	2628	2428	2670	2184
ALKBH6	491	570	254	337	117	107	123	95
ALKBH7	247	322	102	183	167	145	124	97
ALKBH8	160	175	76	101	809	735	751	533
ALMS1	862	848	422	484	5479	4521	4813	4059
ALOX12	6	10	2	5	84	48	69	68
ALPK1	71	72	30	41	173	133	150	124
ALS2	369	403	189	233	1120	934	1023	839
ALX1	216	221	108	139	158	136	114	99
ALX3	2	0	0	0	77	66	47	61
ALX4	67	80	34	46	58	58	46	33
ALYREF	4877	5812	2357	3074	3017	3009	2613	1877
AMACR	195	220	95	116	165	152	186	124
AMBRA1	544	704	279	380	1041	898	999	889
AMD1	604	710	290	402	4081	3826	3659	2750
AMDHD2	123	143	62	66	114	104	115	103
AMER1	90	152	44	52	513	446	464	384
AMFR	1029	1166	448	600	1492	1277	1393	1017
AMH	39	58	16	25	163	156	106	133
AMIGO1	27	26	8	11	57	44	58	39
AMIGO3	2	1	1	0	133	108	161	126
AMMECR1	204	322	126	151	315	276	339	223
AMMECR1L	152	193	81	105	243	215	248	215
AMN1	145	96	51	70	98	85	91	55
AMOT	177	166	84	91	6630	5312	6147	5726
AMOTL1	888	1165	464	601	856	828	870	713
AMOTL2	216	373	162	203	124	108	141	118
AMPD2	560	679	242	326	734	650	746	546
AMPH	132	162	74	86	104	100	108	81
AMZ2	476	503	222	295	1085	942	1053	744
ANAPC1	342	343	145	166	1816	1620	1824	1379
ANAPC10	126	92	50	64	143	130	152	103
ANAPC11	731	926	294	398	496	493	401	270
ANAPC13	239	309	104	181	291	288	235	161
ANAPC15	148	192	62	70	287	287	305	219
ANAPC16	461	638	261	335	448	420	420	310
ANAPC2	530	844	274	365	596	555	565	498
ANAPC4	748	779	328	381	1075	994	977	706
ANAPC5	3125	3132	1330	1676	5319	4739	5095	3706
ANAPC7	2397	3210	1334	1673	2163	1865	2049	1547
ANGEL1	283	372	142	182	715	579	582	495
ANGEL2	368	431	194	214	985	924	959	711
ANGPT2	3	1	2	1	51	49	43	59
ANK1	84	141	53	62	257	223	217	212
ANK2	565	574	270	306	837	750	771	640
ANK3	384	395	180	234	748	705	620	570
ANKAR	6	0	0	1	233	244	235	220
ANKEF1	128	117	62	72	270	241	229	154
ANKFY1	1482	1718	722	840	1656	1415	1307	1224
ANKH	201	225	94	120	284	227	252	230
ANKHD1	52	66	31	44	122	131	95	98
ANKIB1	237	233	128	135	991	932	953	822
ANKLE2	1319	1494	533	711	2479	2269	2148	1809
ANKMY1	22	22	6	11	207	167	188	203
ANKMY2	441	391	203	269	333	350	330	230
ANKRA2	88	82	32	44	124	116	125	83
ANKRD10	197	208	70	102	702	664	720	507
ANKRD11	580	718	297	371	2812	2421	1992	2258
ANKRD12	185	200	78	112	758	771	722	659
ANKRD13A	500	546	195	335	707	671	737	542
ANKRD13B	236	284	110	143	155	127	117	112
ANKRD13C	288	340	109	176	1390	1267	1298	1001
ANKRD13D	52	58	18	29	217	184	208	126
ANKRD16	86	119	34	60	114	113	119	120
ANKRD17	2880	3288	1489	1764	6704	5807	5811	5286
ANKRD18A	35	47	14	15	638	555	346	470
ANKRD18B	23	28	17	13	831	777	507	632
ANKRD23	3	7	1	2	70	62	40	39
ANKRD26	609	648	284	329	1574	1421	1305	1083
ANKRD27	640	716	256	334	977	977	905	796
ANKRD28	940	1015	450	605	1665	1435	1325	1105
ANKRD31	23	19	9	19	66	58	57	46
ANKRD36	17	9	3	6	1640	1578	1269	1042
ANKRD36B	16	14	3	6	514	535	405	341
ANKRD36C	13	16	9	3	1367	1306	1058	914
ANKRD39	147	205	81	100	108	108	75	77
ANKRD40	339	429	192	234	812	741	796	602
ANKRD42	90	104	42	47	89	83	101	84
ANKRD44	88	95	48	47	130	120	134	103
ANKRD46	374	494	164	235	339	292	356	202
ANKRD49	50	78	33	37	233	221	230	172
ANKRD50	426	486	183	233	1230	1094	1037	927
ANKRD52	1533	1908	731	996	1869	1476	1061	1389
ANKRD54	260	359	105	184	208	180	200	140
ANKRD6	88	71	36	48	216	172	166	140
ANKRD61	1	0	1	0	167	133	94	93
ANKS1A	557	726	320	404	618	483	501	430
ANKS3	94	150	47	62	278	271	225	208
ANKS6	166	212	66	105	635	564	487	401
ANKZF1	324	402	151	228	534	451	455	362
ANLN	2529	2962	1309	1790	3864	3424	4018	3188
ANO10	321	364	147	209	722	649	596	531
ANO4	24	24	8	17	36	35	27	26
ANO5	429	464	234	212	599	558	533	420
ANO6	662	722	309	389	709	642	746	504
ANO8	79	91	36	41	121	110	108	88
ANP32A	1560	2025	741	990	2470	2512	2668	1714
ANP32B	1469	1974	727	1018	1655	1673	972	1191
ANP32E	2442	3062	1303	1498	1670	1959	1735	1001
ANTKMT	90	131	46	63	261	229	190	124
ANTXR1	350	471	173	257	436	365	290	362
ANTXR2	200	234	91	109	103	106	98	63
ANXA1	926	1196	470	632	65	70	76	55
ANXA11	2075	2276	901	1228	844	739	893	725
ANXA2	1252	1463	621	764	553	544	556	359
ANXA4	310	396	161	203	171	147	179	107
ANXA5	3555	4220	1741	2213	3111	2983	2993	2178
ANXA6	2903	3117	1278	1745	2071	1801	2031	1388
ANXA7	2716	3017	1333	1604	1780	1463	1677	1199
AOC2	3	4	2	0	120	90	90	108
AOPEP	79	109	21	43	468	376	340	319
AP002495.1	25	32	13	17	54	62	55	58
AP002748.5	10	15	7	9	58	48	43	40
AP1AR	158	149	71	89	583	602	589	386
AP1B1	3664	4326	1682	2273	2344	2072	2296	1892
AP1G1	1750	2053	892	1064	2292	1990	1837	1604
AP1G2	201	185	86	108	606	533	575	510
AP1M1	1699	2117	776	1086	770	587	803	651
AP1S1	987	1172	428	589	364	357	290	221
AP1S2	229	233	88	125	184	182	149	119
AP1S3	206	234	90	141	105	95	94	74
AP2A1	980	1264	491	639	1135	888	923	916
AP2A2	1255	1448	541	760	1060	865	896	824
AP2B1	2495	2846	1224	1648	2172	1852	1560	1728
AP2M1	3310	3834	1548	2016	3327	3181	3503	2555
AP2S1	1810	2209	806	1040	1192	1149	1219	717
AP3B1	1748	2001	866	1050	2170	2152	1987	1562
AP3B2	34	47	22	25	57	56	46	46
AP3D1	2649	3369	1284	1773	2698	2362	2468	2326
AP3M1	1981	2195	950	1276	974	872	919	745
AP3M2	382	450	193	214	595	545	508	397
AP3S1	647	662	306	339	617	585	549	416
AP3S2	103	94	52	49	94	72	69	58
AP4B1	369	435	163	221	649	609	534	451
AP4E1	320	392	162	191	691	620	572	507
AP4M1	148	229	97	116	132	124	100	102
AP4S1	37	44	25	28	61	72	56	71
AP5B1	213	286	104	169	353	314	307	259
AP5M1	271	281	124	164	713	638	714	556
AP5S1	168	236	96	143	145	97	96	93
AP5Z1	119	202	72	118	311	255	290	243
APAF1	810	861	316	433	839	821	708	609
APBA2	254	350	130	156	502	434	438	392
APBA3	89	116	37	57	162	154	159	126
APBB1	620	725	293	401	842	740	743	625
APBB2	205	223	72	133	188	169	168	156
APBB3	52	62	16	25	118	103	118	97
APC	844	971	452	586	3064	2576	2749	2297
APC2	31	39	11	9	88	76	68	55
APEH	1347	1480	565	719	2133	1889	2035	1464
APEX1	2388	3358	1225	1694	2005	2058	2163	1629
APEX2	355	465	153	242	571	502	533	443
APH1A	819	1013	404	510	1106	889	1263	824
API5	1287	1478	613	830	2661	2649	2520	1886
APIP	287	301	119	143	564	556	539	336
APLF	21	22	13	15	92	84	91	63
APLP1	489	615	254	329	68	60	52	52
APLP2	6131	7015	2710	3694	5746	5529	5753	4290
APMAP	702	1096	379	505	1141	992	1037	774
APOBEC3C	478	552	189	291	45	37	47	59
APOC1	114	126	56	70	72	80	84	65
APOL2	425	563	206	253	203	168	161	116
APOM	25	30	20	25	29	30	31	29
APOO	393	462	199	265	272	198	261	175
APOOL	332	321	156	205	296	272	245	228
APP	7518	9018	3214	4742	4637	4827	4043	3535
APPBP2	932	1084	405	529	963	855	873	628
APPL1	1337	1400	629	800	2012	1705	1990	1426
APPL2	459	524	220	274	549	487	450	402
APRT	2423	3078	1074	1575	2420	2070	2310	1683
APTX	463	570	261	265	781	785	694	496
AQR	1506	1719	750	933	2109	1871	2107	1558
ARAF	455	567	193	314	598	521	618	522
ARAP1	513	562	211	300	844	743	641	667
ARAP2	158	185	80	103	419	417	372	242
ARCN1	3721	4188	1783	2254	3158	3021	2869	2255
AREL1	187	213	91	122	722	647	823	624
ARF1	5198	6499	2409	3398	2885	2627	3700	2636
ARF3	223	339	102	175	140	130	113	90
ARF4	1139	1431	611	727	1121	976	1056	820
ARF5	2442	2643	1115	1485	916	877	854	584
ARF6	643	877	309	457	423	379	469	309
ARFGAP1	670	973	367	453	829	700	728	550
ARFGAP2	625	888	303	484	1024	969	926	754
ARFGAP3	776	897	327	450	468	422	455	366
ARFGEF1	836	845	362	445	1973	1749	1798	1478
ARFGEF2	799	951	357	460	2472	1987	2069	1762
ARFGEF3	557	628	268	328	460	400	385	410
ARFIP1	614	595	257	320	480	440	485	325
ARFIP2	649	771	295	443	1139	1049	1108	841
ARFRP1	239	302	107	130	214	213	175	121
ARG2	732	721	296	376	462	407	476	331
ARGLU1	570	673	247	363	829	946	864	575
ARHGAP1	527	669	267	356	279	212	188	212
ARHGAP10	285	333	133	195	578	532	491	404
ARHGAP11A	889	918	417	488	2069	1874	1834	1545
ARHGAP12	424	404	195	234	594	503	548	391
ARHGAP17	1024	1415	563	741	802	602	489	619
ARHGAP18	235	238	92	116	311	291	242	203
ARHGAP20	91	114	33	57	77	72	62	61
ARHGAP21	265	232	114	156	1503	1268	1364	1139
ARHGAP22	111	147	41	78	244	221	204	160
ARHGAP24	33	40	15	16	56	59	53	46
ARHGAP26	209	219	94	115	247	208	181	179
ARHGAP27	79	118	42	69	47	55	45	36
ARHGAP28	121	152	56	63	64	50	64	42
ARHGAP29	333	316	118	144	494	394	451	394
ARHGAP31	67	65	31	52	128	110	109	115
ARHGAP32	163	158	79	98	500	389	387	442
ARHGAP35	614	652	277	375	2174	1868	1760	1674
ARHGAP39	173	203	77	86	198	165	164	146
ARHGAP42	76	76	43	46	165	118	137	100
ARHGAP44	92	80	45	50	171	155	157	132
ARHGAP45	41	45	17	27	73	50	61	52
ARHGAP5	527	565	286	281	4091	3654	3589	2875
ARHGDIA	3195	3782	1492	1891	1160	1083	738	980
ARHGDIG	52	65	24	46	86	92	70	50
ARHGEF1	664	813	316	445	447	384	432	335
ARHGEF10	251	330	153	140	539	483	446	389
ARHGEF10L	56	85	30	47	91	63	84	63
