	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b
SNX2	3065	3259	1509	996
SNX21	67	94	40	28
SNX24	111	101	43	28
SNX25	149	145	47	38
SNX27	1102	1286	515	331
SNX29	32	39	21	14
SNX3	1646	1914	633	447
SNX30	184	213	86	54
SNX33	77	77	31	23
SNX4	753	840	342	224
SNX5	491	580	232	146
SNX6	1407	1488	634	444
SNX7	293	339	154	84
SNX8	191	214	114	62
SNX9	851	914	426	276
SOAT1	973	1144	557	317
SOBP	91	118	46	24
SOCS2	31	17	7	7
SOCS4	187	181	73	68
SOCS5	84	73	47	31
SOCS6	90	141	68	34
SOCS7	54	106	50	15
SOD1	6826	9297	3723	2321
SOD2	502	634	364	212
SOGA1	191	257	105	77
SON	8229	9995	6056	4145
SORBS1	92	132	67	45
SORBS3	463	545	350	177
SORCS1	1	13	12	11
SORD	261	315	131	94
SORL1	220	233	95	57
SORT1	1189	1384	567	314
SOS1	458	483	185	154
SOS2	190	183	100	62
SOX12	324	344	138	77
SOX13	129	158	83	52
SOX4	1168	1664	687	457
SOX6	39	47	20	9
SP1	1934	2103	900	622
SP2	382	488	243	137
SP3	922	1014	510	311
SP4	291	305	161	114
SP9	142	215	94	60
SPA17	198	180	80	62
SPACA9	63	93	33	20
SPAG1	335	379	163	110
SPAG16	471	539	181	131
SPAG5	1362	1686	906	589
SPAG7	478	640	293	167
SPAG9	2579	2952	1215	846
SPART	3164	3812	1680	1124
SPAST	361	399	169	124
SPATA17	16	30	11	7
SPATA18	48	69	22	11
SPATA2	124	150	68	45
SPATA20	150	174	63	31
SPATA24	90	130	50	35
SPATA2L	117	195	76	55
SPATA33	48	60	41	24
SPATA5	481	603	289	211
SPATA5L1	532	645	345	217
SPATA6	117	126	39	37
SPATA7	84	74	17	24
SPATC1L	4	2	1	1
SPATS2	460	463	160	107
SPATS2L	563	666	267	179
SPC24	768	945	416	237
SPC25	1041	1219	580	382
SPCS1	1163	1337	740	461
SPCS2	93	84	77	48
SPCS3	1150	1252	496	331
SPDL1	1694	1839	877	613
SPDYA	0	1	1	0
SPECC1	332	344	216	111
SPECC1L	156	207	90	52
SPEF2	60	71	32	29
SPEG	98	84	59	25
SPEN	3522	3861	2476	1528
SPG11	853	900	450	304
SPG21	560	588	203	125
SPG7	317	366	166	99
SPHK1	53	48	34	15
SPHK2	105	142	68	34
SPIDR	383	480	217	140
SPIN1	353	399	207	111
SPIN3	21	36	19	8
SPIN4	276	382	163	124
SPINDOC	295	419	113	79
SPINK5	2	2	2	2
SPINT2	1583	1789	758	382
SPIRE1	272	332	113	79
SPIRE2	75	58	17	22
SPNS1	427	560	170	120
SPON1	419	577	221	106
SPOP	581	666	297	188
SPOPL	147	163	66	45
SPOUT1	479	609	295	163
SPPL2A	485	654	212	128
SPPL2B	106	171	66	36
SPPL3	431	521	167	101
SPR	260	338	114	72
SPRED1	114	129	54	36
SPRED2	110	124	58	39
SPRTN	650	815	433	325
SPRY1	96	117	55	40
SPRY2	221	320	176	103
SPRYD3	234	341	170	100
SPRYD4	375	487	200	127
SPRYD7	583	637	272	176
SPSB1	80	97	51	20
SPSB2	17	23	15	18
SPSB3	132	217	95	50
SPTAN1	3218	4394	2151	1357
SPTB	114	146	93	42
SPTBN1	1315	2082	1273	687
SPTBN2	581	744	363	211
SPTLC1	832	1037	402	233
SPTLC2	678	863	336	217
SPTSSA	265	313	199	117
SPTY2D1	386	503	235	219
SQLE	2141	2499	1102	651
SQSTM1	1999	3377	1531	909
SRA1	589	758	373	226
SRBD1	589	673	322	253
SRC	449	561	144	112
SRCAP	84	113	55	24
SRD5A1	59	68	36	13
SRD5A3	236	335	138	60
SREBF1	528	632	285	166
SREBF2	1196	1387	558	334
SREK1	741	857	387	279
SREK1IP1	143	143	90	56
SRF	375	503	214	107
SRFBP1	690	817	366	287
SRGAP1	178	230	85	52
SRGAP2	225	297	118	86
SRGAP2B	15	12	5	11
SRGAP2C	40	45	16	9
SRGAP3	42	38	30	11
SRI	1538	1414	685	448
SRM	2381	3092	821	489
SRP14	2593	2888	1475	969
SRP19	744	831	352	247
SRP54	2037	2263	1028	786
SRP68	1573	1928	810	533
SRP72	1528	1812	687	491
SRP9	110	132	56	47
SRPK1	3651	3898	1902	1330
SRPK2	1003	1302	613	397
SRPK3	2	0	1	2
SRPRA	1637	2024	841	590
SRPRB	1533	1850	707	462
SRR	177	221	101	60
SRRD	329	348	175	96
SRRM1	2521	2815	1450	1054
SRRM2	12021	14519	7020	4693
SRRT	2190	3421	1409	922
SRSF1	1374	1884	720	523
SRSF10	1464	1648	737	563
SRSF11	1926	2415	1016	843
SRSF12	226	192	80	46
SRSF2	3844	5914	2846	1969
SRSF3	3371	5020	2111	1574
SRSF4	1787	2480	976	691
SRSF5	2527	3001	1538	1172
SRSF6	604	877	476	324
SRSF7	4806	6067	2426	1849
SRSF8	345	455	233	138
SRSF9	3429	4331	1803	1108
SRXN1	203	271	131	63
SS18	783	971	473	348
SS18L1	70	109	35	26
SS18L2	138	118	83	63
SSB	3085	3636	1570	1056
SSBP1	5046	5594	2760	2063
SSBP2	179	219	110	75
SSBP3	150	216	72	40
SSBP4	205	225	106	56
SSH1	76	92	28	20
SSH2	216	253	95	59
SSH3	45	62	29	15
SSNA1	295	381	188	111
SSR1	2285	2669	1155	690
SSR2	1706	2414	981	596
SSR3	1315	1448	542	346
SSR4	3677	4341	1589	888
SSRP1	6390	8217	2783	1761
SSU72	1348	1473	614	419
SSX2IP	1237	1213	497	333
ST13	281	364	111	51
ST3GAL1	22	33	16	5
ST3GAL2	28	41	14	4
ST3GAL3	15	12	13	7
ST3GAL4	89	112	41	31
ST3GAL5	77	61	39	20
ST3GAL6	64	85	32	20
ST5	65	59	33	12
ST6GAL1	62	60	33	21
ST6GALNAC3	65	64	35	21
ST6GALNAC4	76	82	32	14
ST7	403	415	207	118
ST7L	326	434	179	140
STAG1	453	483	257	148
STAG2	5744	6233	3114	2063
STAG3	4	6	3	4
STAM	807	994	477	298
STAM2	472	501	210	150
STAMBP	598	584	321	204
STAMBPL1	167	186	83	45
STARD10	36	36	14	8
STARD13	142	162	91	47
STARD3	183	239	92	35
STARD3NL	198	246	91	43
STARD4	389	380	180	124
STARD5	14	19	11	5
STARD7	995	1274	621	395
STARD9	85	33	63	21
STAT1	1379	1616	670	492
STAT2	327	369	201	114
STAT3	1273	1576	694	483
STAT5B	435	426	161	105
STAT6	25	32	19	8
STAU1	3309	3817	1659	1188
STAU2	448	468	203	139
STBD1	72	89	38	11
STC2	596	674	321	165
STEAP1	101	119	50	32
STEAP2	316	348	151	92
STEAP3	508	636	252	148
STIL	916	1022	539	355
STIM1	428	534	190	128
STIM2	317	335	162	96
STIP1	4601	6319	2768	1707
STK10	259	336	144	115
STK11	105	135	46	42
STK11IP	444	596	265	164
STK16	80	105	53	44
STK17A	572	695	298	211
STK17B	438	427	277	170
STK19	220	290	167	109
STK24	882	998	308	237
STK25	862	917	379	243
STK26	2330	2764	1039	743
STK3	434	519	245	191
STK32C	92	108	37	28
STK33	164	192	71	74
STK35	366	444	220	119
STK36	229	310	143	98
STK38	456	518	213	132
STK38L	585	628	268	179
STK39	524	650	256	155
STK4	925	1104	385	283
STK40	148	186	66	37
STKLD1	2	3	2	1
STMN1	6737	8556	3713	2545
STMN3	410	627	271	160
STMP1	215	290	152	107
STN1	124	150	61	45
STOM	471	576	227	134
STOML1	120	164	92	285
STOML2	2690	3563	1525	972
STON2	157	208	119	59
STOX1	131	140	66	62
STOX2	160	151	77	54
STPG1	150	179	82	48
STRADA	350	420	205	135
STRADB	55	63	29	21
STRAP	4272	5260	2027	1287
STRBP	742	870	317	219
STRIP1	756	935	444	287
STRIP2	156	210	81	62
STRN	616	666	259	169
STRN3	871	975	426	267
STRN4	817	1001	314	200
STS	0	2	1	0
STT3A	3082	3852	1570	848
STT3B	1932	2186	1036	629
STUB1	1773	2443	922	538
STX10	250	313	120	70
STX12	752	901	352	252
STX16	42	39	15	11
STX17	238	285	108	70
STX18	233	270	118	64
STX1A	30	26	14	14
STX2	138	157	53	36
STX3	183	213	90	57
STX4	219	259	129	81
STX5	359	493	218	130
STX6	241	303	112	84
STX7	1144	1165	509	328
STX8	222	224	87	58
STXBP1	438	469	203	140
STXBP2	638	776	315	214
STXBP3	1146	1337	594	400
STXBP4	345	415	203	140
STXBP5	288	333	142	95
STXBP5L	53	63	27	22
STYX	178	151	70	46
STYXL1	350	380	162	97
SUB1	2778	3098	1337	929
SUCLA2	1147	1393	607	416
SUCLG1	1623	1836	817	531
SUCLG2	282	291	137	82
SUCO	280	283	150	93
SUDS3	247	275	102	59
SUFU	560	593	226	177
SUGCT	36	32	19	8
SUGP1	340	523	276	167
SUGP2	959	1144	557	340
SUGT1	910	1167	457	294
SULF1	25	24	8	5
SULF2	790	1147	457	235
SULT4A1	55	64	21	20
SUMF1	110	137	51	28
SUMF2	566	657	251	158
SUMO1	371	356	172	112
SUMO2	455	619	263	195
SUMO3	326	424	172	103
SUN1	1546	1801	941	573
SUN2	833	1137	445	252
SUOX	171	213	116	83
SUPT16H	3974	4941	2357	1586
SUPT20H	1922	2072	744	531
SUPT3H	200	241	105	66
SUPT4H1	591	944	450	235
SUPT5H	3773	4891	2335	1417
SUPT6H	1895	2508	1174	752
SUPT7L	433	501	259	189
SUPV3L1	1333	1337	617	362
SURF1	290	319	126	75
SURF2	372	560	205	141
SURF4	2348	3063	1239	727
SURF6	698	1027	512	311
SUSD1	123	175	61	37
SUSD5	213	320	134	81
SUV39H1	505	654	364	238
SUV39H2	474	514	275	188
SUZ12	797	921	380	215
SV2A	734	905	394	187
SVBP	88	122	40	25
SVEP1	202	215	100	78
SVIL	339	502	241	141
SVIP	99	87	53	43
SWAP70	496	615	298	170
SWI5	171	235	153	86
SWSAP1	113	168	76	45
SWT1	85	73	47	29
SYAP1	2906	3340	1581	978
SYBU	127	205	71	53
SYCP2	2	3	1	1
SYCP2L	123	149	60	42
SYCP3	3	2	2	0
SYDE1	297	356	143	91
SYDE2	319	324	179	150
SYF2	975	1389	539	421
SYK	223	278	109	75
SYMPK	917	1096	473	318
SYN2	160	204	101	43
SYNC	4	17	4	5
SYNCRIP	3730	4286	2286	1449
SYNE1	782	811	422	268
SYNE2	963	1296	725	437
SYNE3	88	141	59	25
SYNGAP1	40	47	24	16
SYNGR1	369	425	160	100
SYNGR2	478	606	261	147
SYNJ1	412	528	217	153
SYNJ2	294	374	172	107
SYNJ2BP	62	91	40	22
SYNM	39	34	28	13
SYNRG	788	897	457	327
SYP	55	81	43	31
SYPL1	2123	2568	1108	730
SYS1	72	121	33	26
SYT1	138	132	49	36
SYT14	94	78	46	28
SYTL4	58	76	26	20
SYTL5	85	68	33	12
SYVN1	471	708	280	140
SZRD1	381	572	318	175
SZT2	369	371	241	127
TAB1	454	531	236	137
TAB2	650	687	319	185
TAB3	120	136	70	33
TACC1	759	913	400	252
TACC2	247	244	122	74
TACC3	2856	3824	1691	1123
TACO1	1123	1177	507	328
TADA1	486	548	266	159
TADA2A	246	283	124	86
TADA2B	169	221	79	42
TADA3	472	690	287	175
TAF1	510	647	338	225
TAF10	454	670	207	134
TAF11	530	566	194	158
TAF12	169	178	72	56
TAF13	366	412	154	108
TAF15	3779	4586	2206	1435
TAF1A	165	202	76	64
TAF1B	885	1024	405	322
TAF1C	139	216	109	53
TAF1D	244	286	174	95
TAF2	890	918	480	295
TAF3	309	415	135	97
TAF4	349	391	160	115
TAF4B	121	134	70	32
TAF5	497	646	207	142
TAF5L	242	323	138	69
TAF6	699	839	255	204
TAF6L	306	439	192	129
TAF7	1844	2088	1043	774
TAF8	379	464	220	138
TAF9	486	552	252	159
TAF9B	791	914	446	272
TAGLN2	3121	4113	1946	1133
TALDO1	3280	3951	1566	1010
TAMM41	466	521	241	176
TANC1	713	865	445	252
TANC2	384	416	158	112
TANGO2	101	122	59	41
TANGO6	336	408	152	119
TANK	190	210	114	88
TAOK1	743	847	404	254
TAOK2	445	695	289	187
TAOK3	241	294	90	54
TAP1	365	569	188	108
TAPBP	327	428	204	105
TAPT1	269	326	152	85
TARBP1	823	979	429	285
TARBP2	297	347	147	92
TARDBP	375	589	234	128
TARS	7474	8879	3534	2435
TARS2	1484	1726	953	562
TARSL2	390	447	174	135
TAS2R13	0	0	0	0
TAS2R14	0	3	1	1
TAS2R19	0	0	0	0
TAS2R20	0	0	0	0
TAS2R3	0	0	1	0
TAS2R30	1	0	0	0
TAS2R31	0	0	0	0
TAS2R4	0	0	0	0
TAS2R43	1	0	0	0
TAS2R46	0	0	0	0
TAS2R50	0	0	0	0
TASOR	923	967	459	314
TASOR2	2381	2718	1237	882
TASP1	64	68	49	32
TATDN1	335	367	179	126
TATDN2	118	162	57	28
TATDN3	242	257	106	83
TAX1BP1	2095	2063	887	602
TAX1BP3	252	288	122	65
TAZ	147	221	127	67
TBC1D1	462	480	162	110
TBC1D10A	58	90	30	19
TBC1D10B	645	781	266	185
TBC1D12	144	206	59	56
TBC1D13	419	563	260	120
TBC1D14	236	283	127	81
TBC1D15	1794	2035	990	709
TBC1D16	89	120	62	33
TBC1D17	159	220	96	66
TBC1D19	159	165	91	56
TBC1D20	224	283	123	74
TBC1D22A	289	328	139	93
TBC1D22B	165	195	63	37
TBC1D23	765	812	373	247
TBC1D24	86	122	31	39
TBC1D25	117	155	63	30
TBC1D2B	188	232	98	56
TBC1D30	376	386	207	95
TBC1D31	397	340	174	122
TBC1D32	311	352	183	130
TBC1D4	923	1054	417	299
TBC1D5	395	399	175	116
TBC1D7	397	459	168	124
TBC1D8	63	74	38	11
TBC1D8B	131	132	72	32
TBC1D9	212	245	109	60
TBC1D9B	781	970	377	255
TBCA	1689	2071	877	636
TBCB	3094	4005	1538	948
TBCC	368	513	286	172
TBCCD1	108	114	71	48
TBCD	1131	1335	607	414
TBCE	1	4	1	0
TBCEL	69	75	21	23
TBCK	116	162	107	44
TBK1	942	1071	454	300
TBKBP1	162	199	114	60
TBL1X	167	173	62	42
TBL1XR1	931	972	366	223
TBL2	390	515	209	117
TBL3	1087	1473	584	397
TBP	436	463	169	158
TBPL1	289	279	107	77
TBRG1	65	91	63	36
TBRG4	1178	1381	795	421
TBX1	271	318	117	73
TBX18	598	713	340	219
TBX2	191	208	84	50
TBX20	86	124	63	37
TBX3	381	562	268	184
TC2N	358	349	139	98
TCAF1	341	482	231	149
TCAIM	166	167	79	73
TCEA1	121	214	74	41
TCEA2	157	160	80	45
TCEAL1	218	294	110	98
TCEAL4	688	1013	457	308
TCEAL8	379	559	239	138
TCEAL9	353	391	219	144
TCEANC	32	20	20	9
TCEANC2	200	206	128	83
TCERG1	2564	2886	1508	1026
TCF12	737	721	303	190
TCF19	186	222	121	83
TCF20	952	1022	463	322
TCF25	663	894	299	198
TCF3	463	611	179	129
TCF4	545	701	387	222
TCF7	239	273	72	61
TCF7L2	601	730	397	259
TCFL5	41	57	31	15
TCHP	185	243	113	79
TCIRG1	45	50	22	13
TCOF1	4377	5774	2430	1617
TCP1	6930	8538	3695	2263
TCP11L1	223	196	95	57
TCP11L2	339	324	151	101
TCTA	80	140	51	32
TCTN1	220	276	97	65
TCTN2	216	234	99	53
TCTN3	643	766	409	242
TDG	1000	1193	536	331
TDP1	526	559	292	175
TDP2	809	954	389	310
TDRD3	353	356	148	80
TDRD6	1	0	1	0
TDRD7	528	553	269	187
TDRKH	387	492	240	159
TEAD1	444	582	216	145
TEAD2	84	95	35	27
TEAD4	371	409	210	120
TEC	90	68	32	28
TECPR1	182	256	96	55
TECPR2	338	424	163	87
TECR	1672	2208	988	608
TECTA	14	11	7	8
TEDC1	233	312	138	79
TEDC2	279	298	149	94
TEF	44	42	12	17
TEFM	271	353	174	120
TELO2	882	1303	497	301
TENM1	2	2	1	0
TENM3	714	924	539	272
TENT2	554	536	248	191
TENT4A	273	409	134	78
TENT4B	354	473	203	149
TENT5A	186	254	103	63
TENT5C	245	318	142	95
TEP1	140	153	91	43
TEPSIN	116	172	92	58
TERF1	257	369	167	110
TERF2	625	679	333	202
TERF2IP	945	1317	543	360
TERT	4	4	5	0
TES	1354	1827	814	544
TESC	188	223	104	80
TESK1	30	54	12	15
TESK2	35	35	13	17
TET1	371	381	181	110
TET2	198	233	97	65
TET3	128	215	75	48
TEX10	1817	1972	941	672
TEX14	6	11	11	14
TEX15	298	282	142	103
TEX2	276	331	152	97
TEX261	137	151	58	28
TEX264	429	606	210	142
TEX30	285	297	123	89
TEX9	144	174	73	62
TFAM	2046	2291	1039	815
TFAP2A	559	843	398	243
TFAP2C	143	149	61	38
TFAP4	286	432	155	117
TFB1M	228	226	86	83
TFB2M	369	424	205	177
TFCP2	716	900	466	272
