	ribo_untr_a	ribo_untr_b	ribo_tmisrib_a	ribo_tmisrib_b
CHCHD5	216	257	178	193
CHCHD6	228	308	192	183
CHCHD7	309	311	257	255
CHD1	2163	2446	1578	1848
CHD1L	967	1141	923	890
CHD2	315	444	310	273
CHD3	698	811	743	595
CHD4	1189	1330	909	942
CHD6	550	769	557	522
CHD7	864	1005	770	779
CHD8	1976	2410	1741	1718
CHD9	483	514	400	401
CHDH	178	226	165	149
CHEK1	883	1033	822	858
CHEK2	937	868	693	737
CHERP	2252	3267	1804	1953
CHFR	203	239	186	180
CHIC1	39	74	32	34
CHIC2	134	151	119	134
CHID1	754	906	653	573
CHKA	360	384	276	367
CHKB	42	58	61	51
CHM	351	454	234	323
CHML	456	460	339	325
CHMP1A	667	902	591	569
CHMP1B	483	628	408	417
CHMP2A	938	1183	810	747
CHMP2B	1033	1071	852	866
CHMP4A	39	92	47	47
CHMP4B	637	707	505	452
CHMP4C	194	183	151	162
CHMP5	1195	1288	834	907
CHMP6	140	154	99	124
CHMP7	507	554	387	371
CHN1	218	253	169	182
CHORDC1	321	519	218	276
CHP1	377	467	268	286
CHPF	447	665	375	411
CHPF2	232	373	260	260
CHPT1	764	819	635	651
CHRAC1	281	320	212	225
CHRNA3	8	11	8	6
CHRNA5	356	398	384	349
CHRNG	0	0	0	1
CHST10	215	270	187	194
CHST11	341	441	280	309
CHST12	184	240	165	158
CHST14	366	565	348	324
CHST15	99	100	72	64
CHST2	3	2	7	2
CHST3	90	106	80	79
CHSY1	130	143	120	104
CHSY3	115	144	137	120
CHTF18	320	441	312	271
CHTF8	176	225	145	160
CHTOP	1332	1873	1111	1220
CHUK	678	890	654	681
CIAO1	1211	1388	909	923
CIAO2A	228	190	164	158
CIAO2B	767	834	566	565
CIAO3	263	351	208	246
CIAPIN1	627	773	512	569
CIB1	561	657	417	435
CIB2	23	26	26	24
CIC	390	549	387	335
CIDEB	1	0	2	3
CILP2	157	244	185	167
CINP	609	735	530	542
CIP2A	1412	1461	1091	1105
CIPC	156	176	101	106
CIR1	309	397	225	267
CIRBP	546	849	601	574
CISD1	406	582	314	379
CISD2	596	727	484	482
CISD3	178	213	128	144
CIT	1153	1346	1040	1047
CITED1	8	15	4	3
CITED2	491	682	365	353
CIZ1	1068	1400	754	915
CKAP2	4967	5758	4133	4804
CKAP2L	527	625	398	493
CKAP4	1737	2388	1752	1664
CKAP5	7576	8507	6648	6628
CKB	25396	32806	21159	21180
CKLF	69	109	76	98
CKMT1A	21	39	31	21
CKMT1B	16	42	24	23
CKMT2	13	18	10	16
CKS2	1184	1272	861	934
CLASP1	756	860	631	669
CLASP2	1004	1145	855	841
CLASRP	323	455	287	273
CLBA1	54	65	42	30
CLCC1	838	1012	727	766
CLCN2	52	57	63	66
CLCN3	471	534	425	377
CLCN5	135	177	121	110
CLCN6	77	90	74	66
CLCN7	403	513	356	317
CLDN12	262	303	218	184
CLDN15	13	7	10	3
CLDND1	461	462	414	424
CLEC16A	131	205	155	160
CLEC2D	5	1	6	2
CLGN	440	469	394	386
CLHC1	23	19	17	10
CLIC1	1803	2145	1419	1439
CLIC4	1101	1341	1036	1014
CLINT1	2861	3379	2272	2477
CLIP1	775	892	705	642
CLIP2	30	29	23	34
CLIP4	139	159	111	122
CLK1	367	471	280	324
CLK2	215	266	167	180
CLK3	608	743	460	458
CLK4	204	221	124	140
CLMN	186	176	141	151
CLN5	113	131	92	101
CLN6	496	660	390	432
CLN8	34	49	41	37
CLNS1A	2169	2494	1841	1887
CLOCK	161	145	92	101
CLP1	304	418	280	254
CLPB	1002	1182	799	715
CLPP	1341	1629	1021	982
CLPTM1	1501	1991	1488	1353
CLPTM1L	1109	1464	1051	955
CLPX	1280	1283	957	1001
CLSPN	2228	2793	1782	1934
CLSTN1	2126	2731	2128	1923
CLSTN3	405	433	439	383
CLTA	1995	2447	1506	1621
CLTB	727	996	550	530
CLTC	22367	26752	19084	20289
CLTCL1	280	324	262	257
CLU	2150	2446	1861	1758
CLUAP1	271	320	243	240
CLUH	2895	3825	2409	2203
CLYBL	46	54	39	49
CMAS	1273	1381	1048	1113
CMBL	1541	1659	1213	1190
CMC1	250	334	234	243
CMC2	171	252	133	156
CMC4	97	96	70	80
CMIP	411	454	328	326
CMPK1	1208	1538	1102	1071
CMSS1	631	643	532	500
CMTM3	132	173	80	69
CMTM4	134	127	122	101
CMTM6	758	813	627	674
CMTM7	167	263	149	149
CMTM8	186	259	170	129
CMTR1	1490	1762	1294	1334
CMTR2	277	295	204	213
CMYA5	7	4	6	4
CNBP	5196	6993	4694	4694
CNDP2	1055	1392	902	897
CNIH1	1039	1396	892	941
CNIH4	1219	1347	966	1003
CNKSR3	49	69	33	27
CNN2	772	962	660	649
CNN3	4031	4318	2949	3227
CNNM1	262	370	273	247
CNNM2	161	214	170	124
CNNM3	306	360	229	227
CNNM4	201	243	177	189
CNOT1	4776	5318	4153	3929
CNOT10	1224	1381	1004	1113
CNOT11	991	1111	687	748
CNOT2	950	1099	807	890
CNOT3	1111	1440	931	983
CNOT4	368	458	262	295
CNOT6	504	536	377	421
CNOT6L	161	157	112	114
CNOT7	226	231	164	164
CNOT8	611	775	527	547
CNOT9	1387	1404	1047	1096
CNP	1303	1757	1065	995
CNPPD1	381	645	316	345
CNPY2	169	171	136	160
CNPY3	350	393	289	270
CNPY4	67	96	81	68
CNRIP1	46	70	37	49
CNST	110	114	84	88
CNTF	4	2	0	1
CNTLN	317	367	295	310
