	ribo_untr_a	ribo_untr_b	ribo_tm_a	ribo_tm_b	untr_a_hek	untr_b_hek	tm_a_hek	tm_b_hek
ADGRV1	547	609	400	216	3356	3097	2058	2835
ADH5	712	1008	444	230	1525	1461	1359	1562
ADI1	695	1016	430	281	1169	1163	745	1049
ADIPOR1	448	558	199	124	1484	1341	1139	1463
ADIPOR2	760	976	426	261	643	627	578	641
ADK	1294	1349	591	406	862	838	602	792
ADM	89	152	82	48	38	42	47	55
ADNP	2255	2584	1208	770	3281	2782	1595	2119
ADNP2	675	763	417	260	1432	1246	921	1161
ADO	229	324	127	75	161	182	164	183
ADORA2A	19	7	4	4	39	25	27	43
ADORA2B	101	91	53	26	157	127	143	157
ADPGK	527	676	311	207	944	797	693	794
ADPRHL1	32	32	25	12	55	45	36	36
ADPRHL2	525	672	279	174	524	496	389	467
ADPRM	51	62	32	27	102	88	97	108
ADRA2C	9	9	7	0	44	54	39	62
ADRM1	2825	4403	1650	1004	1490	1397	1231	1331
ADSL	2920	3194	1155	713	4094	3775	3446	4067
ADSS	1122	1515	534	315	2662	2759	1802	2459
AEBP2	619	800	377	214	525	422	278	370
AEN	650	1047	474	293	655	598	546	643
AFAP1	141	186	78	55	257	280	141	207
AFAP1L1	115	106	46	27	100	87	86	104
AFDN	1800	2194	1003	644	4857	4429	2850	3708
AFF1	627	694	308	240	536	436	309	394
AFF3	204	236	102	78	140	112	80	106
AFF4	2216	2312	979	659	2153	1772	1294	1703
AFG1L	166	204	98	62	183	185	138	198
AFG3L2	1193	1422	591	388	2549	2389	1789	2107
AFMID	207	298	154	78	252	233	146	188
AFTPH	321	405	122	84	783	654	529	680
AGA	297	342	131	66	252	239	175	237
AGAP1	183	266	76	60	565	567	359	475
AGAP2	55	59	35	24	84	86	65	95
AGAP3	548	737	205	156	1017	800	717	831
AGAP6	1	3	2	1	120	83	87	107
AGAP9	2	3	3	0	152	140	70	107
AGBL3	20	20	18	4	72	77	51	56
AGBL5	271	322	97	73	1387	1099	1085	1335
AGER	5	3	3	0	66	60	35	41
AGFG1	1639	1839	895	571	1237	973	939	1233
AGFG2	121	174	85	48	102	75	62	88
AGGF1	202	154	157	64	219	218	154	207
AGK	802	1132	488	328	1128	966	779	985
AGL	1826	1892	910	574	2884	2467	1937	2504
AGMAT	2	3	2	1	59	47	33	46
AGO1	593	738	276	170	1139	983	641	852
AGO2	734	884	267	217	1077	857	645	851
AGO3	298	299	143	77	808	731	477	653
AGO4	116	114	50	41	306	273	216	246
AGPAT1	584	718	216	111	271	248	182	239
AGPAT2	495	626	306	159	138	126	109	146
AGPAT3	424	539	174	109	502	432	325	360
AGPAT4	199	234	115	72	331	317	213	299
AGPAT5	438	508	196	115	525	574	393	448
AGPS	1990	2308	1011	719	2017	2150	1524	1866
AGRN	1045	1667	572	280	702	571	324	411
AGTPBP1	892	1019	402	261	2802	2692	2024	2561
AGTRAP	390	583	236	144	169	133	166	175
AHCTF1	252	333	112	94	1768	1630	1229	1544
AHCY	3027	4262	1379	825	3579	3096	3339	4027
AHCYL1	1695	1833	799	523	1343	1194	961	1185
AHCYL2	305	385	191	101	290	286	194	227
AHDC1	178	241	85	67	107	55	29	42
AHI1	324	331	140	99	1214	1107	835	1040
AHNAK	826	903	508	354	1951	2049	1023	1424
AHNAK2	63	106	54	42	281	222	152	209
AHSA1	2567	3171	1257	832	3620	3401	2877	3651
AIF1L	629	700	283	227	151	131	80	111
AIFM1	2236	2603	1243	719	2363	2270	1788	2237
AIFM2	544	700	314	192	81	88	47	59
AIG1	591	746	316	178	512	418	345	417
AIMP1	1055	1303	489	421	1223	1208	889	1141
AIMP2	1575	2057	792	524	1483	1373	1196	1343
AIP	887	1150	472	301	594	562	508	632
AJUBA	60	96	37	19	134	131	72	84
AK1	475	703	259	186	367	356	255	312
AK2	1023	1142	518	324	1904	1992	1469	1715
AK3	456	430	154	134	253	239	191	240
AK6	495	561	270	195	745	703	516	682
AK9	74	84	36	28	89	95	63	66
AKAP1	557	765	379	217	2226	2028	1574	1938
AKAP10	267	263	116	77	952	796	574	830
AKAP11	1429	1809	741	525	3358	3155	1999	2489
AKAP12	2308	2402	1102	723	3951	3785	2691	3418
AKAP13	697	869	441	278	2881	2493	1697	2123
AKAP17A	246	374	162	112	470	456	301	414
AKAP5	58	67	21	13	133	119	83	113
AKAP6	24	39	17	16	167	134	85	134
AKAP7	103	106	38	38	159	180	90	114
AKAP8	611	799	403	260	937	906	610	802
AKAP8L	941	1274	637	425	1263	1178	970	1247
AKAP9	1300	1407	624	490	5033	4878	2618	4711
AKIP1	234	251	135	96	242	163	169	155
AKIRIN1	948	1159	528	310	401	348	278	333
AKIRIN2	826	1027	504	380	191	167	94	144
AKNA	52	44	28	14	46	43	26	40
AKR1A1	741	1201	448	265	777	648	611	654
AKR1B1	2336	2729	1324	771	1398	1274	1212	1374
AKR7A2	848	1188	462	297	578	535	499	513
AKT1	599	785	253	137	1289	1150	973	1248
AKT1S1	281	390	160	90	145	134	98	151
AKT2	1105	1448	495	259	954	842	772	930
AKT3	226	238	89	59	1168	1034	758	997
AKTIP	66	74	32	23	136	146	94	122
AL022312.1	192	214	88	73	178	161	106	120
AL031777.3	3344	3694	2621	1652	1166	666	1760	2145
AL034430.1	75	64	51	44	136	135	108	136
AL034430.2	260	323	179	129	213	196	118	213
AL049650.1	1155	1271	1354	600	81	87	43	82
AL109811.3	0	0	0	0	67	60	59	81
AL109827.1	170	212	236	124	134	123	90	116
AL121753.1	235	233	124	56	140	139	103	129
AL135905.2	594	814	611	424	33	44	33	53
AL713999.1	149	189	78	50	225	127	320	428
ALAD	126	154	76	43	161	130	85	102
ALAS1	774	884	442	250	1120	1060	943	1176
ALCAM	726	815	380	180	1183	1035	925	1113
ALDH16A1	341	539	210	113	633	577	437	498
ALDH18A1	1893	2614	1358	893	4727	4233	3562	4268
ALDH1A2	1841	2270	844	540	1088	1031	816	1021
ALDH1B1	929	1104	471	287	1148	1080	829	1023
ALDH1L2	367	341	174	103	680	640	397	535
ALDH2	916	995	360	262	229	228	215	264
ALDH3A2	1129	1323	594	344	1942	1711	1301	1633
ALDH4A1	322	410	153	90	150	119	110	141
ALDH5A1	688	876	387	227	399	469	243	382
ALDH6A1	561	632	267	170	450	392	315	417
ALDH7A1	1188	1426	659	414	971	847	523	715
ALDH9A1	2449	2909	1311	822	1863	1710	1413	1857
ALDOA	1995	2356	1982	1047	803	712	671	976
ALDOC	52	65	24	23	51	40	54	54
ALG1	259	368	150	91	410	313	315	397
ALG10	216	264	123	49	205	162	180	231
ALG10B	111	165	70	50	98	73	90	132
ALG11	446	478	249	154	443	431	316	462
ALG12	250	373	172	97	394	303	241	316
ALG13	976	1039	569	402	1986	1763	1046	1371
ALG14	149	163	94	59	284	284	198	237
ALG1L	14	19	12	10	46	38	31	34
ALG2	281	363	174	106	382	370	296	413
ALG3	801	1008	436	228	272	229	182	269
ALG5	755	947	433	255	737	695	594	741
ALG6	624	736	238	149	1251	1223	1105	1328
ALG8	1410	1692	805	412	1480	1272	1220	1582
ALKBH1	295	314	154	128	295	214	240	292
ALKBH2	252	267	120	90	436	439	366	478
ALKBH3	248	228	110	51	462	388	368	417
ALKBH4	207	367	153	90	214	219	110	169
ALKBH5	510	735	284	160	2628	2428	1986	2546
ALKBH6	491	570	371	200	117	107	90	129
ALKBH7	247	322	100	71	167	145	118	137
ALKBH8	160	175	87	57	809	735	558	660
ALMS1	862	848	474	320	5479	4521	3419	4470
ALOX12	6	10	11	4	84	48	29	45
ALPK1	71	72	38	31	173	133	124	139
ALS2	369	403	222	120	1120	934	752	975
ALX1	216	221	162	93	158	136	125	153
ALX3	2	0	0	0	77	66	46	53
ALX4	67	80	39	22	58	58	34	46
ALYREF	4877	5812	2437	1501	3017	3009	2011	2578
AMACR	195	220	92	63	165	152	137	150
AMBRA1	544	704	340	220	1041	898	700	922
AMD1	604	710	372	250	4081	3826	2983	3534
AMDHD2	123	143	72	42	114	104	95	131
AMER1	90	152	56	30	513	446	334	378
AMFR	1029	1166	456	259	1492	1277	997	1322
AMH	39	58	25	10	163	156	80	79
AMIGO1	27	26	13	10	57	44	58	43
AMIGO3	2	1	2	0	133	108	90	131
AMMECR1	204	322	118	91	315	276	220	322
AMMECR1L	152	193	77	56	243	215	194	205
AMN1	145	96	52	42	98	85	77	103
AMOT	177	166	97	75	6630	5312	4301	6052
AMOTL1	888	1165	465	298	856	828	625	837
AMOTL2	216	373	144	95	124	108	89	116
AMPD2	560	679	300	192	734	650	517	682
AMPH	132	162	69	35	104	100	71	99
AMZ2	476	503	185	134	1085	942	852	1050
ANAPC1	342	343	188	140	1816	1620	1488	1752
ANAPC10	126	92	40	31	143	130	112	168
ANAPC11	731	926	367	233	496	493	342	438
ANAPC13	239	309	119	81	291	288	177	219
ANAPC15	148	192	84	39	287	287	240	342
ANAPC16	461	638	318	195	448	420	305	355
ANAPC2	530	844	374	214	596	555	397	479
ANAPC4	748	779	302	238	1075	994	773	970
ANAPC5	3125	3132	1637	1025	5319	4739	4281	5298
ANAPC7	2397	3210	1471	985	2163	1865	1592	1940
ANGEL1	283	372	197	118	715	579	449	507
ANGEL2	368	431	254	155	985	924	779	995
ANGPT2	3	1	1	3	51	49	26	39
ANK1	84	141	38	34	257	223	139	227
ANK2	565	574	256	189	837	750	605	729
ANK3	384	395	281	158	748	705	476	554
ANKAR	6	0	1	0	233	244	135	225
ANKEF1	128	117	69	42	270	241	170	216
ANKFY1	1482	1718	800	553	1656	1415	853	1057
ANKH	201	225	90	58	284	227	176	228
ANKHD1	52	66	44	24	122	131	55	87
ANKIB1	237	233	82	79	991	932	694	875
ANKLE2	1319	1494	597	350	2479	2269	1653	2066
ANKMY1	22	22	21	11	207	167	140	148
ANKMY2	441	391	201	135	333	350	253	308
ANKRA2	88	82	45	34	124	116	95	141
ANKRD10	197	208	86	59	702	664	527	686
ANKRD11	580	718	319	209	2812	2421	1287	1724
ANKRD12	185	200	107	68	758	771	456	659
ANKRD13A	500	546	213	139	707	671	537	668
ANKRD13B	236	284	90	54	155	127	82	97
ANKRD13C	288	340	174	132	1390	1267	996	1249
ANKRD13D	52	58	22	10	217	184	128	176
ANKRD16	86	119	50	32	114	113	104	110
ANKRD17	2880	3288	1858	1201	6704	5807	4147	5204
ANKRD18A	35	47	26	28	638	555	203	275
ANKRD18B	23	28	17	17	831	777	319	432
ANKRD23	3	7	9	2	70	62	31	42
ANKRD26	609	648	275	187	1574	1421	909	1310
ANKRD27	640	716	274	146	977	977	710	898
ANKRD28	940	1015	471	314	1665	1435	1036	1387
ANKRD31	23	19	15	11	66	58	32	60
ANKRD36	17	9	11	12	1640	1578	836	1201
ANKRD36B	16	14	8	3	514	535	288	415
ANKRD36C	13	16	16	8	1367	1306	733	940
ANKRD39	147	205	101	40	108	108	90	105
ANKRD40	339	429	184	116	812	741	577	713
ANKRD42	90	104	46	18	89	83	61	88
ANKRD44	88	95	35	25	130	120	113	131
ANKRD46	374	494	176	140	339	292	305	370
ANKRD49	50	78	40	25	233	221	187	204
ANKRD50	426	486	243	160	1230	1094	695	999
ANKRD52	1533	1908	816	488	1869	1476	702	856
ANKRD54	260	359	182	85	208	180	144	161
ANKRD6	88	71	49	30	216	172	144	215
ANKRD61	1	0	0	0	167	133	66	74
ANKS1A	557	726	355	236	618	483	330	462
ANKS3	94	150	50	31	278	271	185	206
ANKS6	166	212	95	53	635	564	402	488
ANKZF1	324	402	187	148	534	451	327	425
ANLN	2529	2962	1580	1088	3864	3424	3079	3836
ANO10	321	364	141	89	722	649	441	604
ANO4	24	24	4	5	36	35	25	34
ANO5	429	464	247	168	599	558	474	554
ANO6	662	722	287	210	709	642	518	717
ANO8	79	91	37	30	121	110	75	111
ANP32A	1560	2025	745	489	2470	2512	1965	2631
ANP32B	1469	1974	728	484	1655	1673	748	857
ANP32E	2442	3062	1258	895	1670	1959	1283	1627
ANTKMT	90	131	51	36	261	229	189	187
ANTXR1	350	471	180	104	436	365	242	307
ANTXR2	200	234	78	60	103	106	74	78
ANXA1	926	1196	573	413	65	70	66	84
ANXA11	2075	2276	865	548	844	739	641	814
ANXA2	1252	1463	603	395	553	544	465	578
ANXA4	310	396	165	84	171	147	116	161
ANXA5	3555	4220	1841	1153	3111	2983	2585	3050
ANXA6	2903	3117	1303	780	2071	1801	1679	1952
ANXA7	2716	3017	1451	967	1780	1463	1404	1655
AOC2	3	4	2	1	120	90	69	89
AOPEP	79	109	48	28	468	376	236	336
AP002495.1	25	32	20	11	54	62	54	54
AP002748.5	10	15	8	5	58	48	44	56
AP1AR	158	149	94	50	583	602	467	529
AP1B1	3664	4326	1691	1131	2344	2072	1563	2112
AP1G1	1750	2053	1074	725	2292	1990	1302	1647
AP1G2	201	185	113	68	606	533	429	490
AP1M1	1699	2117	858	555	770	587	614	796
AP1S1	987	1172	531	293	364	357	234	302
AP1S2	229	233	112	78	184	182	121	139
AP1S3	206	234	87	59	105	95	72	78
AP2A1	980	1264	464	250	1135	888	634	935
AP2A2	1255	1448	505	332	1060	865	688	867
AP2B1	2495	2846	1212	808	2172	1852	1192	1458
AP2M1	3310	3834	1505	905	3327	3181	2743	3508
AP2S1	1810	2209	950	618	1192	1149	923	1180
AP3B1	1748	2001	798	499	2170	2152	1489	1907
AP3B2	34	47	39	12	57	56	34	27
AP3D1	2649	3369	1279	809	2698	2362	1649	2327
AP3M1	1981	2195	917	684	974	872	675	923
AP3M2	382	450	212	137	595	545	405	507
AP3S1	647	662	276	176	617	585	461	552
AP3S2	103	94	98	47	94	72	47	51
AP4B1	369	435	217	133	649	609	455	521
AP4E1	320	392	189	147	691	620	462	589
AP4M1	148	229	95	70	132	124	104	126
AP4S1	37	44	11	12	61	72	50	68
AP5B1	213	286	110	83	353	314	231	268
AP5M1	271	281	159	114	713	638	591	726
AP5S1	168	236	112	67	145	97	82	116
AP5Z1	119	202	88	59	311	255	211	282
APAF1	810	861	456	289	839	821	516	699
APBA2	254	350	124	81	502	434	349	428
APBA3	89	116	53	29	162	154	126	121
APBB1	620	725	335	162	842	740	600	772
APBB2	205	223	96	48	188	169	117	154
APBB3	52	62	32	11	118	103	82	101
APC	844	971	531	358	3064	2576	1917	2577
APC2	31	39	21	15	88	76	61	62
APEH	1347	1480	629	367	2133	1889	1723	1961
APEX1	2388	3358	1289	855	2005	2058	1413	2354
APEX2	355	465	197	109	571	502	453	538
APH1A	819	1013	360	230	1106	889	1085	1266
API5	1287	1478	719	510	2661	2649	1921	2346
APIP	287	301	129	81	564	556	386	492
APLF	21	22	8	7	92	84	66	92
APLP1	489	615	278	133	68	60	39	55
APLP2	6131	7015	3102	1811	5746	5529	4144	5527
APMAP	702	1096	457	241	1141	992	859	1086
APOBEC3C	478	552	239	192	45	37	31	56
APOC1	114	126	48	44	72	80	60	73
APOL2	425	563	307	179	203	168	114	145
APOM	25	30	18	11	29	30	27	40
APOO	393	462	210	152	272	198	179	237
APOOL	332	321	172	120	296	272	162	232
APP	7518	9018	3635	2040	4637	4827	2995	3924
APPBP2	932	1084	558	343	963	855	691	832
APPL1	1337	1400	523	370	2012	1705	1535	1937
APPL2	459	524	185	113	549	487	337	437
APRT	2423	3078	1332	745	2420	2070	1858	2272
APTX	463	570	297	179	781	785	542	711
AQR	1506	1719	830	575	2109	1871	1673	2054
ARAF	455	567	232	130	598	521	434	598
ARAP1	513	562	275	148	844	743	458	560
ARAP2	158	185	78	60	419	417	258	359
ARCN1	3721	4188	1992	1260	3158	3021	2107	2655
AREL1	187	213	77	48	722	647	598	751
ARF1	5198	6499	2912	1822	2885	2627	2535	3831
ARF3	223	339	113	67	140	130	74	85
ARF4	1139	1431	690	464	1121	976	953	1135
ARF5	2442	2643	1080	745	916	877	658	846
ARF6	643	877	364	247	423	379	299	441
ARFGAP1	670	973	393	239	829	700	557	726
ARFGAP2	625	888	447	287	1024	969	734	919
ARFGAP3	776	897	322	219	468	422	371	491
ARFGEF1	836	845	371	230	1973	1749	1392	1697
ARFGEF2	799	951	367	231	2472	1987	1647	2066
ARFGEF3	557	628	236	159	460	400	263	345
ARFIP1	614	595	287	198	480	440	390	442
ARFIP2	649	771	383	216	1139	1049	890	1115
ARFRP1	239	302	146	79	214	213	130	169
ARG2	732	721	336	185	462	407	392	484
ARGLU1	570	673	351	202	829	946	698	862
ARHGAP1	527	669	293	172	279	212	140	199
ARHGAP10	285	333	124	93	578	532	392	489
ARHGAP11A	889	918	460	297	2069	1874	1304	1668
ARHGAP12	424	404	152	103	594	503	411	529
ARHGAP17	1024	1415	641	399	802	602	301	417
ARHGAP18	235	238	96	56	311	291	203	252
ARHGAP20	91	114	46	40	77	72	61	64
ARHGAP21	265	232	136	83	1503	1268	1140	1429
ARHGAP22	111	147	54	34	244	221	137	194
ARHGAP24	33	40	16	17	56	59	45	43
ARHGAP26	209	219	120	65	247	208	118	145
ARHGAP27	79	118	69	31	47	55	27	58
ARHGAP28	121	152	61	43	64	50	47	58
ARHGAP29	333	316	98	105	494	394	333	465
ARHGAP31	67	65	28	33	128	110	74	98
ARHGAP32	163	158	88	63	500	389	280	375
ARHGAP35	614	652	289	211	2174	1868	1186	1621
ARHGAP39	173	203	87	50	198	165	120	125
ARHGAP42	76	76	27	24	165	118	85	135
ARHGAP44	92	80	40	20	171	155	115	147
ARHGAP45	41	45	20	13	73	50	51	63
ARHGAP5	527	565	262	175	4091	3654	2725	3463
ARHGDIA	3195	3782	1612	1045	1160	1083	477	706
ARHGDIG	52	65	30	22	86	92	55	64
ARHGEF1	664	813	400	271	447	384	316	420
ARHGEF10	251	330	133	93	539	483	306	416
ARHGEF10L	56	85	26	17	91	63	66	62
ARHGEF11	324	375	132	95	1155	966	686	876
ARHGEF12	832	910	352	230	4432	3726	3070	3870
